"locus","mean","median","lower","upper","subgroup"
"KL10",0.0172540165749673,0.017086709953214,0.0117689706134103,0.0236408444457651,"Global"
"KL102",0.182940255646517,0.182920272708599,0.16615516161248,0.200278850321476,"Global"
"KL104",0.0345068092919248,0.0343121881733535,0.0268517159282784,0.0429283369432644,"Global"
"KL105",0.00216363230618528,0.00199351341987182,0.000576533136200236,0.00475484931708951,"Global"
"KL106",0.00160949394635635,0.00142461607036311,0.000332119728169153,0.00387943764020989,"Global"
"KL108",0.0220964777981715,0.0219118474586626,0.0160294834475933,0.0291959150923876,"Global"
"KL109",0.00107787029660383,0.000912996880577894,0.000125083362588258,0.00297716330736497,"Global"
"KL11",0.000547325870315549,0.000379276160618848,1.2834405946653e-05,0.00205039132026225,"Global"
"KL110",0.00379715982183117,0.00360604376020568,0.00152719628763416,0.00713802275000025,"Global"
"KL111",0.0021732136213681,0.00200728440590234,0.000606476307108543,0.00470283757495557,"Global"
"KL112",0.0150674091138182,0.0149149002419528,0.0100686689921487,0.0209917241309746,"Global"
"KL113",0.000542533183928474,0.000376507380220686,1.53971974446595e-05,0.00198917736663919,"Global"
"KL114",0.000542222502347214,0.000379735610323805,1.33179716705385e-05,0.00198167019646122,"Global"
"KL116",0.00322180342565813,0.00306860617486639,0.0012007682516082,0.006112622932177,"Global"
"KL117",0.00324041466932014,0.00306760239398644,0.00120904838919788,0.00627181051604141,"Global"
"KL118",0.00108263810437376,0.000906405231098683,0.000131287866951548,0.00307765912880061,"Global"
"KL12",0.00107991164545801,0.000904025380515807,0.000123258565011089,0.00303052384555446,"Global"
"KL122",0.0151032669651408,0.0149544497966536,0.0100062647883256,0.0211289297783614,"Global"
"KL123",0.000538294225541957,0.000372669250412495,1.35210186941119e-05,0.00199321918652589,"Global"
"KL124",0.00164021225618464,0.00146044685055846,0.000332167428571496,0.0039263243696176,"Global"
"KL125",0.00161697066724548,0.00144233391432485,0.000315859039909723,0.00391619142514935,"Global"
"KL127",0.00591106519281861,0.00571682689890498,0.00297088298058882,0.0099021947633667,"Global"
"KL128",0.0016175255536941,0.00145254987085425,0.000327769549932868,0.00385352237684974,"Global"
"KL13",0.00160738790659382,0.00142369056232405,0.000328360025495144,0.00385625389885778,"Global"
"KL131",0.00109812230829995,0.00091814840193239,0.000128768128110557,0.00310335066103064,"Global"
"KL136",0.00595972152767151,0.00580319402058631,0.00302603341935615,0.00980706840392937,"Global"
"KL137",0.000541011759853965,0.000376938640035772,1.31359822672994e-05,0.00198105344746607,"Global"
"KL139",0.000543016687335135,0.000377400354764763,1.43827531693805e-05,0.00197958207101669,"Global"
"KL14",0.00268215345128546,0.00250107331875708,0.000904230846694473,0.00546810694493704,"Global"
"KL140",0.000541544919313342,0.000380620937976072,1.44173274043457e-05,0.00194431623230034,"Global"
"KL141",0.00108467792076635,0.00091341886613711,0.000130958391114476,0.00302380405432925,"Global"
"KL142",0.00160904608538923,0.00143477516316833,0.000336324858560299,0.00382076425939127,"Global"
"KL143",0.00109329257542359,0.000918847035382885,0.000142198173963365,0.00295704441746254,"Global"
"KL144",0.000533193157471257,0.000371041861461452,1.38876121674017e-05,0.00196736904649432,"Global"
"KL145",0.00321350882495257,0.00305582868341702,0.00117438864465589,0.00623551416719915,"Global"
"KL146",0.00107950856759457,0.000901285720379447,0.000133195445782614,0.00300285501452222,"Global"
"KL149",0.0269565794585544,0.0268590378856345,0.0204776582329935,0.0340560465393821,"Global"
"KL15",0.0943041707634923,0.0941703062055223,0.0820587025973719,0.107279001585219,"Global"
"KL151",0.00593391285694661,0.00576063259814769,0.00301411954288379,0.00996849931237024,"Global"
"KL155",0.00218823297114379,0.0020094564541964,0.00057552941170621,0.00474979895027221,"Global"
"KL157",0.0156208476277783,0.0154550201219895,0.0105013727986215,0.0218193040794193,"Global"
"KL158",0.000532439941865975,0.000366356371081171,1.27527156581153e-05,0.0019769052060867,"Global"
"KL16",0.00972009397787353,0.00958099572190142,0.00582692741786141,0.0144650298556293,"Global"
"KL163",0.00053476287795966,0.000370401340323802,1.23009523225025e-05,0.00198099977153942,"Global"
"KL169",0.00107819626222607,0.000903922416129152,0.000132258501420765,0.00294377933228426,"Global"
"KL17",0.0183319761023133,0.0181747306993535,0.0127577959199973,0.0249844262643232,"Global"
"KL171",0.00108266681078303,0.000917053839097863,0.000133850328947155,0.0029576591898201,"Global"
"KL179",0.000548179468713747,0.000375020421051971,1.21631676766381e-05,0.00204818143927096,"Global"
"KL18",0.00272365904472022,0.00253596964874977,0.00089550770468542,0.00555262065332972,"Global"
"KL180",0.00268850242471779,0.00252216079532821,0.000893558434332232,0.00549194868027914,"Global"
"KL183",0.000535146712153279,0.000374993810844546,1.29493890772093e-05,0.00196742165372529,"Global"
"KL186",0.000542405900941314,0.000375480258289394,1.53078681960909e-05,0.00199615046360296,"Global"
"KL19",0.0123846404601174,0.0122092497072314,0.00784959809132081,0.0179878308199413,"Global"
"KL2",0.121318843807271,0.121154543604949,0.107093601457923,0.136479088330884,"Global"
"KL20",0.00271309590646769,0.00253697734933874,0.000910890734034965,0.00546325196406558,"Global"
"KL21",0.0010819140348225,0.000898295045183101,0.000123397414037009,0.0030099932680617,"Global"
"KL22",0.000541872803949914,0.000371710713535392,1.36320238546077e-05,0.00204373441323221,"Global"
"KL23",0.0248773900620458,0.0246854659868287,0.0181985583220656,0.0324238632249889,"Global"
"KL24",0.0129828186680172,0.0128129985474913,0.00841556689243342,0.0185085863687195,"Global"
"KL25",0.0544713353223786,0.0543341958688879,0.0448495862316082,0.0647945252222284,"Global"
"KL27",0.00214393534482717,0.00196246665371401,0.000593221873567149,0.00467658272042499,"Global"
"KL28",0.0139927803864713,0.0138414364596088,0.00922854224451084,0.0196987428663198,"Global"
"KL3",0.00974716715269216,0.00958503523001061,0.00575511062729576,0.0147560871349274,"Global"
"KL30",0.0279802283675514,0.027811635655703,0.0210737287527775,0.0358495378573406,"Global"
"KL31",0.00161476684750691,0.00144689007681422,0.000346420317696641,0.00385512658126826,"Global"
"KL34",0.00108511275788309,0.000917377025697779,0.000139035715021681,0.00294775357809998,"Global"
"KL35",0.00109336839229849,0.000923221412668071,0.000129206418346995,0.00304895793053173,"Global"
"KL36",0.00484402833915475,0.00467726096978198,0.00224752632651823,0.00841915741766395,"Global"
"KL38",0.00592718083038098,0.00574578849188845,0.00294428581006719,0.00994985626877091,"Global"
"KL39",0.0145950426704161,0.0144052727898003,0.00950611041240304,0.0205895904676283,"Global"
"KL43",0.00161802189303995,0.00144409411779444,0.000320041873317819,0.00396276133841558,"Global"
"KL45",0.000540326517470439,0.000383218226844592,1.45494977545275e-05,0.00197886014311225,"Global"
"KL46",0.00106864980592964,0.000886785319389505,0.000120296746415059,0.00298684841827131,"Global"
"KL47",0.00216859916852642,0.00200010922293133,0.000608180829129923,0.00468675953370548,"Global"
"KL48",0.0112680231352311,0.0111275710490355,0.00709020616235245,0.0164065738513277,"Global"
"KL49",0.00268248919548768,0.00249291421282331,0.000850285139857933,0.00549844786063129,"Global"
"KL51",0.012432214659316,0.0122505116005482,0.00796377561434049,0.0177973360375991,"Global"
"KL52",0.00701696146997087,0.00683198564684441,0.0037405986728481,0.0111764776490978,"Global"
"KL53",0.0043033292479655,0.00413427310566355,0.00191186629511831,0.00758337791137408,"Global"
"KL54",0.010222919464311,0.0100555086758848,0.0062294994647647,0.0151378699683552,"Global"
"KL55",0.00217379073102287,0.001987673650719,0.000578058360360945,0.00481214937264886,"Global"
"KL57",0.00703437991787814,0.00686207916193538,0.00374281642296716,0.0113454270133482,"Global"
"KL61",0.000540772501732358,0.000367566674741216,1.40434174895189e-05,0.00200404251150367,"Global"
"KL62",0.037252181604529,0.0370729818183307,0.0291245587756701,0.0463755835003592,"Global"
"KL64",0.0123547784784561,0.0121723979975481,0.00791931511927725,0.0179970386596224,"Global"
"KL67",0.00215202808662532,0.00197431453133689,0.000574710007535685,0.00473070790238271,"Global"
"KL7",0.00217021635270814,0.00200078660138922,0.000630478574526304,0.00473957498524931,"Global"
"KL8",0.00757137914834108,0.0073785597870259,0.00412994493391386,0.0120040712935783,"Global"
"KL81",0.0259109225348093,0.0257490076519401,0.0194681119527039,0.0331797520475798,"Global"
"KL9",0.0118327334715018,0.011646882032204,0.00745499254079674,0.0171708148611779,"Global"
