"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.00851700879396451,0.00820956628494988,0.0039794170354434,0.014759718124649
"KL10","Southern Africa",0.013292181601634,0.0119137165151033,0.00287691487070847,0.0315032518473374
"KL10","Southern Asia",0.0390236733555508,0.0383993782226662,0.0236457310759846,0.0579257220768039
"KL10","Western Africa",0.0146688239735123,0.0111166529328756,0.00112975947565684,0.0482560885312245
"KL102","Eastern Africa",0.247931568404298,0.247838398497088,0.222918075343723,0.273925178272866
"KL102","Southern Africa",0.142764011852413,0.14164104048473,0.0997249897124775,0.192972532229536
"KL102","Southern Asia",0.063171705021221,0.0624356479449545,0.0434785083045441,0.086631272732866
"KL102","Western Africa",0.131765580988145,0.128362915861257,0.0672055300028779,0.213967194854883
"KL104","Eastern Africa",0.0538742274182919,0.053581160705933,0.0413724072374193,0.0679663999102694
"KL104","Southern Africa",0.00189923672089932,0.00103673071995488,3.35651317325888e-05,0.00883220987421445
"KL104","Southern Asia",0.0103320034664896,0.00971607335671863,0.00347032925298848,0.0209499045510866
"KL104","Western Africa",0.00459503976596976,0.00229852316909982,6.71496047125932e-05,0.0223877772566834
"KL105","Eastern Africa",0.00174960405829169,0.00146754015565415,0.000236961158121717,0.00485875115782962
"KL105","Southern Africa",0.000872868964089492,0.000325761033306603,6.65240619254049e-06,0.00501579804914422
"KL105","Southern Asia",0.00368791439028236,0.00305850982826429,0.00045543231759264,0.0104152646833818
"KL105","Western Africa",0.0020369834902481,0.000670468309153117,1.27561362327407e-05,0.0125790103313373
"KL106","Eastern Africa",0.00228263486456384,0.00198587683438099,0.000418190782826951,0.00584061469615988
"KL106","Southern Africa",0.00056871425782825,0.000155393303872321,1.59069207249543e-06,0.00388328276567691
"KL106","Southern Asia",0.000619182982933199,0.000282147110962618,5.43610432524671e-06,0.00318950125743185
"KL106","Western Africa",0.00125991743084582,0.000319934231789283,3.61945095855414e-06,0.00849365366620298
"KL108","Eastern Africa",0.0354742231356289,0.0351243603346545,0.0255512831218972,0.0470593567971302
"KL108","Southern Africa",0.00457486775378519,0.00335464929290486,0.000281663033601995,0.0159682388948292
"KL108","Southern Asia",0.00154923659413047,0.00104972955309514,6.3534512248766e-05,0.00583563154123509
"KL108","Western Africa",0.0116961318784268,0.00841323560069664,0.0007444719505018,0.0404071044269256
"KL109","Eastern Africa",0.000861705515244623,0.000617015652132776,4.36564311298291e-05,0.00306265973893117
"KL109","Southern Africa",0.000606986320932354,0.0001709289718359,2.19990835522222e-06,0.00390041565328394
"KL109","Southern Asia",0.00173358889182067,0.00119937053672852,7.1474517528041e-05,0.00630087742444821
"KL109","Western Africa",0.00132599951402699,0.000333511006198683,4.5445405062792e-06,0.00915355301829829
"KL11","Eastern Africa",0.000230252569728939,8.37113631265679e-05,7.06242856870952e-07,0.00132691768139363
"KL11","Southern Africa",0.000337746601657058,6.80001133824708e-05,4.37204460836803e-07,0.00253353700992571
"KL11","Southern Asia",0.00131813835551374,0.00078502853341676,1.93663159212872e-05,0.00564240660819763
"KL11","Western Africa",0.000761591170712559,0.000130098822272748,7.16555287978971e-07,0.00574102908444972
"KL110","Eastern Africa",0.00287374986261562,0.00257797987532603,0.00065813186015336,0.00674450519117596
"KL110","Southern Africa",0.00732526603077245,0.00598629265695149,0.000896759596347903,0.0214345823253823
"KL110","Southern Asia",0.00434883450141061,0.00372169333596573,0.000703404722088893,0.011385695626702
"KL110","Western Africa",0.00345184581436198,0.00153050751776389,4.17949023634586e-05,0.0182346365649494
"KL111","Eastern Africa",0.00251421371300171,0.00223493584848538,0.000513887732883698,0.00609845656715995
"KL111","Southern Africa",0.000825232452983575,0.000289371274172132,5.3462365223667e-06,0.00497863723579646
"KL111","Southern Asia",0.00205538199799184,0.00151201982922709,0.000126198379468523,0.00694936072729805
"KL111","Western Africa",0.00188360433997459,0.00059837509522607,1.01318644913737e-05,0.0120385976869772
"KL112","Eastern Africa",0.00388052641915461,0.00357353903386542,0.00119710482178477,0.00819528525880845
"KL112","Southern Africa",0.00467088627847137,0.00345768571840079,0.000312660787109078,0.0159358237784065
"KL112","Southern Asia",0.0464382209242211,0.0457316045597271,0.0295833268349816,0.067029673176416
"KL112","Western Africa",0.00464032108640563,0.00237792116981091,7.56559073103164e-05,0.0222865344162441
"KL113","Eastern Africa",0.000631203665212429,0.00039337272309991,1.26143096547098e-05,0.00259586623479574
"KL113","Southern Africa",0.00033866562586392,5.87618260816646e-05,3.87911825156674e-07,0.00262840908640617
"KL113","Southern Asia",0.000408083614405567,0.000129497728422466,1.03234023946301e-06,0.00257405972653997
"KL113","Western Africa",0.000710736173743798,0.000116875300243152,6.65622066243878e-07,0.00531777890067997
"KL114","Eastern Africa",0.000229097636292686,8.36806082655653e-05,8.04782232331162e-07,0.00132096065856206
"KL114","Southern Africa",0.000354000954729908,6.65782029015561e-05,3.56027850955863e-07,0.00276517874527092
"KL114","Southern Asia",0.00128880580357083,0.00077557052975315,1.96094577114024e-05,0.00545995253312292
"KL114","Western Africa",0.000793570683306204,0.000123063026393876,7.0665076450717e-07,0.00618779205229655
"KL116","Eastern Africa",0.000511167644385241,0.000304788106621356,1.26897147544748e-05,0.00215912428563871
"KL116","Southern Africa",0.00104248002993441,0.000423166368828527,8.88337568652839e-06,0.00578452004020791
"KL116","Southern Asia",0.0009958416781066,0.000571041480267324,2.21915746898775e-05,0.00438454425627438
"KL116","Western Africa",0.0620595056882426,0.0585232300526704,0.0204074880076925,0.124015275468928
"KL117","Eastern Africa",0.00183495430546854,0.00155479877199216,0.000278983265301875,0.00495266164783603
"KL117","Southern Africa",0.00104951842128699,0.000411576061502948,8.35654630973378e-06,0.00604004516894345
"KL117","Southern Asia",0.00751670813002951,0.00685180810274643,0.00199152562790012,0.0168415887121332
"KL117","Western Africa",0.00230846596654127,0.000887966758178982,1.70613490609539e-05,0.0132467533466686
"KL118","Eastern Africa",0.00144468317588574,0.00116857268551063,0.000135697367366857,0.00432799108209846
"KL118","Southern Africa",0.000468597734278733,0.000116353482124614,1.27136215431232e-06,0.00321830724524425
"KL118","Southern Asia",0.000551056747760174,0.00022834994322964,3.81152135233767e-06,0.00308912697072936
"KL118","Western Africa",0.00104145614587024,0.000233043841973054,2.53058061149016e-06,0.00759570137080329
"KL12","Eastern Africa",0.000391897803272424,0.000207557020778175,5.96866028770183e-06,0.0018258072648378
"KL12","Southern Africa",0.00251537024664331,0.001436248235862,5.78254557853914e-05,0.0109834833247167
"KL12","Southern Asia",0.00189405554385301,0.00134250773876719,9.68489532902344e-05,0.00682124468746404
"KL12","Western Africa",0.00164178013389745,0.000477882921383097,6.70698142358609e-06,0.0110093696121724
"KL122","Eastern Africa",0.016590901119995,0.0163357492723619,0.00988705335341049,0.0249634192664195
"KL122","Southern Africa",0.00924156244648644,0.00785591258665425,0.00146106516381076,0.0241689125238537
"KL122","Southern Asia",0.0128939208386849,0.0122248895887245,0.00489243783227623,0.0245480031365004
"KL122","Western Africa",0.0245379877949441,0.0209245478068985,0.00392539098625034,0.0652597135754639
"KL123","Eastern Africa",0.000633140502260996,0.000387118344263125,1.06141298852686e-05,0.00263485501121762
"KL123","Southern Africa",0.000317085444665765,5.71511386683011e-05,2.94996227854686e-07,0.00230468791658705
"KL123","Southern Asia",0.000400846841545655,0.00012371975600035,9.83284101349139e-07,0.00245607207100396
"KL123","Western Africa",0.000686724512927713,0.000114710106343452,5.88440211782059e-07,0.005397503265118
"KL124","Eastern Africa",0.000967533111809938,0.000717988408964056,5.57316118892617e-05,0.00332096213635804
"KL124","Southern Africa",0.000750520514912389,0.00025099541480966,3.59203912600631e-06,0.00473615799881038
"KL124","Southern Asia",0.00353713564351846,0.00291901220815787,0.000417531711668965,0.0101855268328158
"KL124","Western Africa",0.00169459129233832,0.000520296793827987,7.84178070088846e-06,0.0109442028238574
"KL125","Eastern Africa",0.000447114677159783,0.000249121496832773,8.68492692993818e-06,0.00202730692172333
"KL125","Southern Africa",0.0028097961929278,0.00175148372234169,7.73814588605437e-05,0.0114501777206567
"KL125","Southern Asia",0.00365277645577654,0.00300597390860877,0.000450776337097029,0.0105795955202706
"KL125","Western Africa",0.00197089760394236,0.000640019352427051,1.14961233940895e-05,0.0125466281836727
"KL127","Eastern Africa",0.00799377143398653,0.00770556018265857,0.00365598994141035,0.0141003007610156
"KL127","Southern Africa",0.00144187734081504,0.000673756523772964,2.10535071031294e-05,0.00750080428811057
"KL127","Southern Asia",0.00261836789577182,0.00201996469257981,0.000235695971013661,0.0082198925710732
"KL127","Western Africa",0.00981303938564484,0.00662840209189164,0.00044339355700098,0.0368109085275472
"KL128","Eastern Africa",0.000349609122205606,0.000174207943024934,4.44593947331709e-06,0.00170462204636126
"KL128","Southern Africa",0.000605712407800331,0.000173673350777934,2.26692048057309e-06,0.00407498843213264
"KL128","Southern Asia",0.00495084176752376,0.00435225704843989,0.000868746433494879,0.0125576567450553
"KL128","Western Africa",0.00137409231343517,0.000360933383575025,4.49559166308304e-06,0.0092793625932361
"KL13","Eastern Africa",0.0017275527872846,0.00144930005429792,0.000227837209538121,0.00470248684859391
"KL13","Southern Africa",0.000841063064808165,0.000311008155565687,5.31479041974066e-06,0.00497053913725146
"KL13","Southern Asia",0.000853794609182541,0.000449159337859158,1.38160097369013e-05,0.00397799775601628
"KL13","Western Africa",0.0068454612527703,0.00410602212266528,0.000178133519384654,0.0296352859137258
"KL131","Eastern Africa",0.000309008939742114,0.0001402701640831,2.96982072701679e-06,0.00163092746944176
"KL131","Southern Africa",0.000504907357001808,0.000132182620533632,1.44761929648897e-06,0.00358613048034594
"KL131","Southern Asia",0.00312728841162967,0.00247127785793009,0.000250263856421125,0.00961031990039001
"KL131","Western Africa",0.00113121052060521,0.000258917988671436,2.62277987625136e-06,0.00812515058707646
"KL136","Eastern Africa",0.000587246577484787,0.000361717409372495,1.69658263341824e-05,0.00242713733738655
"KL136","Southern Africa",0.00357397838390792,0.00241820072718726,0.000155081925307686,0.0132763684366175
"KL136","Southern Asia",0.0195578142101068,0.0190135161091212,0.00939518460131943,0.0335018094943574
"KL136","Western Africa",0.00288471526618731,0.00120847903618788,2.74744543900298e-05,0.016599562617856
"KL137","Eastern Africa",0.00028130676516641,0.000119525350409814,1.57072657966851e-06,0.00155826212249006
"KL137","Southern Africa",0.00046376398371932,0.000103469414506253,6.66103542835201e-07,0.00336532307319166
"KL137","Southern Asia",0.000527791357155203,0.000205301454135064,2.27438887038993e-06,0.00303704509571458
"KL137","Western Africa",0.00453734867073553,0.00212563004130121,2.9426040090637e-05,0.0231729479501507
"KL139","Eastern Africa",0.000633620151229218,0.00039890705610727,1.07144473438204e-05,0.00254743912165132
"KL139","Southern Africa",0.000319707978557338,5.95518268660948e-05,3.36129417925294e-07,0.00234584185783474
"KL139","Southern Asia",0.000410936575075078,0.000133074034889193,9.96905986706003e-07,0.00254350929450424
"KL139","Western Africa",0.000723696187691332,0.000117439950232175,6.1750071971183e-07,0.00559283006630005
"KL14","Eastern Africa",0.00190423535888161,0.00164392033652736,0.000318508957190372,0.005063325735039
"KL14","Southern Africa",0.00341148990910967,0.00233379568242625,0.000154913852981304,0.0127260923430368
"KL14","Southern Asia",0.0040798042148892,0.00344998693486307,0.000615052658864635,0.0109477120217377
"KL14","Western Africa",0.00281971202232948,0.00114330809185435,2.62226375364894e-05,0.0164405921428354
"KL140","Eastern Africa",0.000223345868340531,8.12332883909552e-05,8.71354639612789e-07,0.0012632944093227
"KL140","Southern Africa",0.000347834204137345,6.48107349352044e-05,3.77331737341563e-07,0.00266309934004186
"KL140","Southern Asia",0.00130386873319161,0.000774133689709848,2.297371754839e-05,0.00555689350982201
"KL140","Western Africa",0.000780767282143915,0.000126406796519059,7.10494904766436e-07,0.00605358683216347
"KL141","Eastern Africa",0.000865674624646834,0.000618056795687367,4.3647826896156e-05,0.00306573540767118
"KL141","Southern Africa",0.000601291548021282,0.000169011499510979,2.22760536279308e-06,0.00405022467574293
"KL141","Southern Asia",0.00174920688725213,0.00119274143548696,7.63639895414744e-05,0.00651914119563377
"KL141","Western Africa",0.00135267359707214,0.000341716315763851,4.50537413549119e-06,0.0091612966592409
"KL142","Eastern Africa",0.00228017885567714,0.00201242554051359,0.00040612796745359,0.0057020771216073
"KL142","Southern Africa",0.000560525300508234,0.00015402143212153,1.87747429800476e-06,0.00377579311350881
"KL142","Southern Asia",0.000622050598853454,0.00028283247670801,5.58836907594783e-06,0.00324305363625554
"KL142","Western Africa",0.00128890488247393,0.000314840487612722,3.74873063716688e-06,0.00886281398685547
"KL143","Eastern Africa",0.00145312608502978,0.00118567280447705,0.00014799274972877,0.0041906148291959
"KL143","Southern Africa",0.000480772553865784,0.000123012854182847,1.09391217260178e-06,0.00323545385184383
"KL143","Southern Asia",0.00056072203148716,0.000227377562423736,3.52555061201246e-06,0.00310201775601674
"KL143","Western Africa",0.00108553971921297,0.000240070973495378,2.18949093432953e-06,0.00806385639887965
"KL144","Eastern Africa",0.000224849751424598,8.1146195682189e-05,8.19709408101245e-07,0.00134090984148639
"KL144","Southern Africa",0.000336511749121451,6.31572386021418e-05,4.09212659799525e-07,0.00252626602011551
"KL144","Southern Asia",0.00128229428240822,0.000763854878122499,2.08620710183772e-05,0.00549480646034069
"KL144","Western Africa",0.000724495558945358,0.000123405536210273,8.25974483515725e-07,0.00550196135773462
"KL145","Eastern Africa",0.000407438666722609,0.000220883303921924,6.68936531162394e-06,0.00190022383037993
"KL145","Southern Africa",0.000757646722991043,0.000246133457670043,3.9610913096448e-06,0.00458010078156661
"KL145","Southern Asia",0.0108323713148133,0.0101963619706244,0.00366597212837921,0.0215476679455006
"KL145","Western Africa",0.00175404136252384,0.000514503549597931,8.09271254657395e-06,0.0116070783296
"KL146","Eastern Africa",0.000390405515901773,0.00020505687834223,5.45345308931867e-06,0.00183022637371992
"KL146","Southern Africa",0.00254482046633884,0.00147547384682201,5.73526400731523e-05,0.0113164448724997
"KL146","Southern Asia",0.00188296846239795,0.00134237838575224,9.33664524166284e-05,0.00667533024907217
"KL146","Western Africa",0.00164017529594545,0.000453038934596881,6.78837188715247e-06,0.0109323193467627
"KL149","Eastern Africa",0.00154926452219878,0.00127422759770912,0.000197161160299189,0.00440816457956198
"KL149","Southern Africa",0.207500796142353,0.206709346796686,0.155416777715624,0.264384046298997
"KL149","Southern Asia",0.00680986453789175,0.00619481826975599,0.00164727349847392,0.0156477508339896
"KL149","Western Africa",0.00536470381307089,0.00287310253650148,9.13623252330635e-05,0.0252604343237755
"KL15","Eastern Africa",0.0516029255799843,0.0513050726084633,0.0392038445710392,0.0656203004456508
"KL15","Southern Africa",0.00690891512916935,0.00558474815929094,0.000710166395848239,0.020495822402409
"KL15","Southern Asia",0.239441231520103,0.239303473853709,0.202092135102512,0.277707953775697
"KL15","Western Africa",0.0284352591854021,0.0244698324906987,0.004925928941298,0.0731443085407358
"KL151","Eastern Africa",0.00204395132515862,0.00177288006856511,0.000345341365434582,0.00532177861793195
"KL151","Southern Africa",0.0368382809413381,0.0353868787948656,0.0161557454122691,0.065995442745667
"KL151","Southern Asia",0.00127230089144342,0.000796782364681474,4.06725144100274e-05,0.00514685077910309
"KL151","Western Africa",0.00340110029235692,0.00151874612269506,3.60394367582419e-05,0.0178526186408609
"KL155","Eastern Africa",0.000500407687879017,0.000289867625655898,1.15192508831497e-05,0.00214891475304871
"KL155","Southern Africa",0.000983304371434264,0.000377885027713499,7.78636487944489e-06,0.0058030840170712
"KL155","Southern Asia",0.00561782495981154,0.00497723195918286,0.00112682549341649,0.0137805677673848
"KL155","Western Africa",0.0078531729923136,0.00474770898666825,0.000231035577604896,0.0332354771976127
"KL157","Eastern Africa",0.0259254062921933,0.0256651438771205,0.0173024610389792,0.0362302808134528
"KL157","Southern Africa",0.00110540334980893,0.000444413153105965,8.28244020207067e-06,0.00618484174348551
"KL157","Southern Asia",0.00104569369068671,0.000588024364515032,2.13716590942603e-05,0.00455873516579217
"KL157","Western Africa",0.00255264764368614,0.000984673547499299,1.81047486586704e-05,0.0146477509820797
"KL158","Eastern Africa",0.000266753905259343,0.000112917030841867,1.26465781347512e-06,0.00143860072710982
"KL158","Southern Africa",0.00176727707376272,0.000850877640444056,1.62783153225921e-05,0.0087517071335226
"KL158","Southern Asia",0.000503429340874491,0.000192622951241505,2.13690072353632e-06,0.00288824113404903
"KL158","Western Africa",0.00100217325623263,0.000197185281499151,1.33594661440401e-06,0.00742941063803423
"KL16","Eastern Africa",0.0118416445048752,0.0115940821149144,0.00641331638628489,0.0189368201140463
"KL16","Southern Africa",0.00813106845245738,0.00676025678152288,0.00110900051254489,0.0224057858196392
"KL16","Southern Asia",0.00650312644781295,0.00587857294615298,0.00156552330841267,0.0149497450801842
"KL16","Western Africa",0.00444144552741188,0.00228150965310242,7.21001318234267e-05,0.0222593177995287
"KL163","Eastern Africa",0.000624721773334262,0.000392740771624323,1.12170423193893e-05,0.00258328519477215
"KL163","Southern Africa",0.000320504686122019,5.7321992835632e-05,3.33032979974235e-07,0.00241785244482475
"KL163","Southern Asia",0.000401450832267462,0.000125946588933632,8.64577926454475e-07,0.00249668492607981
"KL163","Western Africa",0.000706820132812146,0.000112327047461275,6.48906381196693e-07,0.00560339285332019
"KL169","Eastern Africa",0.000396082020822191,0.000212620480414547,6.05331266438175e-06,0.00187114368897446
"KL169","Southern Africa",0.000711150252761208,0.00023677815585272,3.7389085392748e-06,0.00453052501095198
"KL169","Southern Asia",0.00194281888392891,0.00137370625968944,9.3882777453972e-05,0.00708650597327923
"KL169","Western Africa",0.00633519999027562,0.0035572854291533,0.000122257843306689,0.0286329646309521
"KL17","Eastern Africa",0.0167589504479611,0.0164697938114002,0.0100657846218444,0.0249778518960077
"KL17","Southern Africa",0.0138392777554444,0.0123793113556468,0.00309707936356853,0.0326140385763847
"KL17","Southern Asia",0.0170835783650239,0.0163946653579781,0.0076569281830315,0.0301180407046864
"KL17","Western Africa",0.0613332732905369,0.057794325343349,0.0199915221995979,0.123582828666164
"KL171","Eastern Africa",0.000310584150552366,0.00014209668962686,2.56033974641112e-06,0.00161640528343782
"KL171","Southern Africa",0.000493578607573883,0.000126860051146747,1.53421178834571e-06,0.00351535050020207
"KL171","Southern Asia",0.00306553823993768,0.002472675633017,0.000305311767339436,0.00904021866846331
"KL171","Western Africa",0.00115544694955625,0.000261743572105538,2.65385879751016e-06,0.00835083593773476
"KL179","Eastern Africa",0.000644173804276656,0.000396483852795618,1.02431998901398e-05,0.00266477100159978
"KL179","Southern Africa",0.000328002739593908,5.70730817598402e-05,3.41418245379313e-07,0.00242790425209883
"KL179","Southern Asia",0.000404445546180563,0.000127198746068171,9.04549545006936e-07,0.00245141027945272
"KL179","Western Africa",0.00071723039869079,0.000118569916392149,5.5655671320558e-07,0.00554068250871245
"KL18","Eastern Africa",0.00273637307360858,0.00244267407779467,0.000620145585179863,0.00655927159894924
"KL18","Southern Africa",0.00116243672323352,0.000511038925348557,1.35205136386772e-05,0.00625181518671561
"KL18","Southern Asia",0.00242965334119897,0.00185263545815183,0.000187057100833615,0.00786929440023812
"KL18","Western Africa",0.00882404961035918,0.00582467372075368,0.000350973663244477,0.0349892326066991
"KL180","Eastern Africa",0.00404552481883591,0.00375469140580777,0.00127177197403149,0.00844818530224122
"KL180","Southern Africa",0.00068031435255997,0.000215976566745036,2.9544802076979e-06,0.00433982241718907
"KL180","Southern Asia",0.000721684836371461,0.00035553868490695,8.27605895264574e-06,0.00354090333246342
"KL180","Western Africa",0.00154146696491747,0.000453113993154541,6.7667099510568e-06,0.0098158133133416
"KL183","Eastern Africa",0.000225114714165349,8.49836077725765e-05,7.76281028355168e-07,0.00126610218630118
"KL183","Southern Africa",0.000353777520937725,6.48075254134774e-05,3.41823225385698e-07,0.00261797244039224
"KL183","Southern Asia",0.00127884809188187,0.000780069684445016,1.83874812132784e-05,0.0053526779604579
"KL183","Western Africa",0.00074139540829958,0.000129487451143244,7.2006594709243e-07,0.00556094655974557
"KL186","Eastern Africa",0.000225459850077383,8.53665547835325e-05,7.23525874406676e-07,0.00127941484089583
"KL186","Southern Africa",0.000349961204345673,6.7067675935189e-05,4.06847356319615e-07,0.00257557029771224
"KL186","Southern Asia",0.0013080391387457,0.000771891607802293,2.11998020601993e-05,0.00543675514190862
"KL186","Western Africa",0.000739235771076272,0.000127139781926056,7.0271191645093e-07,0.00571128255711888
"KL19","Eastern Africa",0.0128029581567131,0.0125091487295407,0.00704061064445422,0.0202842687930288
"KL19","Southern Africa",0.00506568730750627,0.00381392229814438,0.000362274542497957,0.0168181453542629
"KL19","Southern Asia",0.0145471967337771,0.0139630340262266,0.00606961545914444,0.0267583020117208
"KL19","Western Africa",0.0134243953796891,0.00995254325413138,0.000869964769743305,0.0452001242233705
"KL2","Eastern Africa",0.182704207497333,0.182400460754742,0.159971166924808,0.207028592888582
"KL2","Southern Africa",0.0777403219431832,0.0765827476018597,0.0461927777127374,0.116502120372163
"KL2","Southern Asia",0.0137601087959203,0.0130160715613064,0.00554227320473588,0.0261566598400595
"KL2","Western Africa",0.0536229796926961,0.0498295666674493,0.0160421436517084,0.113144799554262
"KL20","Eastern Africa",0.00259138630111804,0.00230834152421728,0.000576702887540206,0.00609970090585132
"KL20","Southern Africa",0.000970511818592146,0.000379036111743407,8.14975504712705e-06,0.00554751768287595
"KL20","Southern Asia",0.00383988059434981,0.0032236701737251,0.000537903528488015,0.0106958384526254
"KL20","Western Africa",0.00222774646853381,0.000781381674494542,1.56535398596616e-05,0.0131258945829639
"KL21","Eastern Africa",0.000398519383349316,0.000214005404474481,6.49472571397987e-06,0.00185914205669078
"KL21","Southern Africa",0.000718583417740714,0.000235818382479927,3.80024490951132e-06,0.00441119547839116
"KL21","Southern Asia",0.00193634678276814,0.00136721665256447,9.55576410703724e-05,0.00690235792691759
"KL21","Western Africa",0.00641124451383949,0.00357998433000114,0.000112634144698928,0.028919753769596
"KL22","Eastern Africa",0.000226357340589777,8.20823445911298e-05,6.88460670265991e-07,0.00131799387519228
"KL22","Southern Africa",0.000337000460338107,6.12989513419899e-05,4.0927402930854e-07,0.00260411475252383
"KL22","Southern Asia",0.00130324325008079,0.000767551088853281,1.9377642090832e-05,0.00564506463706593
"KL22","Western Africa",0.000780546682025781,0.000125337268103434,6.67886882889662e-07,0.00585417665311175
"KL23","Eastern Africa",0.0384057757358972,0.0380868374373951,0.0275830197190416,0.0505783657953692
"KL23","Southern Africa",0.0020352665567662,0.00112403483334454,4.32250737148983e-05,0.00923085919230788
"KL23","Southern Asia",0.00670013668868195,0.00607250718048378,0.00168240584087425,0.0153527985531136
"KL23","Western Africa",0.0123551238273493,0.00905024609163605,0.000824758159475014,0.0419048826323073
"KL24","Eastern Africa",0.00827782113320138,0.0079568425568296,0.00383084819667884,0.0143161580359452
"KL24","Southern Africa",0.00480824050315043,0.00358298091883547,0.000321948059912841,0.0164360607112816
