"locus","mean","median","lower","upper","subgroup"
"KL10",0.0157417854137993,0.015532058961221,0.010216098705423,0.0222900368223945,"Global"
"KL102",0.195159851155921,0.194948535953413,0.176321922504759,0.214717351537315,"Global"
"KL104",0.0403141830752831,0.040116597236266,0.0312310830193677,0.0505152319962036,"Global"
"KL105",0.00252066236479309,0.00231978072246914,0.000677777420708519,0.00546475453164037,"Global"
"KL106",0.00189412201136806,0.00168538376811464,0.00038351738140721,0.0045262647341734,"Global"
"KL108",0.0258225848332092,0.0256702006152028,0.0185155861971892,0.0342090859004514,"Global"
"KL109",0.00125633978485749,0.00105972814906149,0.000152020229324527,0.00346460229800867,"Global"
"KL110",0.00314708964320526,0.0029411133820821,0.00101677492365619,0.006461014446712,"Global"
"KL111",0.00187125491713118,0.00168436664188771,0.000387058907725764,0.00449386380462785,"Global"
"KL112",0.0163726010664767,0.0161912928996195,0.010832523478174,0.0228067977402812,"Global"
"KL113",0.000635399045268109,0.000440878661256518,1.74441015390126e-05,0.00233828615749523,"Global"
"KL114",0.000641748943635267,0.000446348309426985,1.78863849379274e-05,0.00236550846473153,"Global"
"KL116",0.00377998587369777,0.0036027562039362,0.00142262085739302,0.00713846326925774,"Global"
"KL117",0.00376992593652354,0.00357412889396285,0.00140532433933346,0.00729600633996483,"Global"
"KL118",0.00126653392020338,0.00105138268598746,0.000150696222370095,0.00359640866963958,"Global"
"KL12",0.00126193862603654,0.00107361410781135,0.000154640682222452,0.0034879928872204,"Global"
"KL122",0.0145118835559007,0.0143499550670022,0.00909977865753267,0.02101138517695,"Global"
"KL123",0.000627498952959809,0.000432057304218699,1.52918505018203e-05,0.00229090806598187,"Global"
"KL124",0.000632330691069072,0.000438464276638875,1.4363598451654e-05,0.00233397283409964,"Global"
"KL125",0.00188250397824773,0.00167828015518099,0.000378618343505357,0.00456640792917087,"Global"
"KL127",0.00691735991695865,0.00671941445712114,0.00345051274714275,0.0115165907465561,"Global"
"KL128",0.00124942324527995,0.00105064817105843,0.000148575094670441,0.0035319449962234,"Global"
"KL13",0.00189191082079054,0.00168716511885475,0.000389156328876887,0.00450817090526339,"Global"
"KL136",0.00437424924468177,0.00416987405041129,0.00176977483223602,0.0081984398371283,"Global"
"KL137",0.000627363022731484,0.000433383031977091,1.43948518049795e-05,0.00232584740464797,"Global"
"KL139",0.00062041247283933,0.000429202469661668,1.8765158063263e-05,0.0022373229776045,"Global"
"KL14",0.00313664646177157,0.00294158170182875,0.00101109437259863,0.00639193562278538,"Global"
"KL141",0.000638743637258743,0.000445059759664566,1.49222662459475e-05,0.00236654543618348,"Global"
"KL142",0.00189249688189368,0.00168830257061873,0.000389236723876203,0.0045616765815319,"Global"
"KL143",0.00126848840533524,0.00107895036151586,0.000155732137141397,0.00351647759544611,"Global"
"KL144",0.000621974566956475,0.000430147753658652,1.62184760593408e-05,0.00230274504824711,"Global"
"KL145",0.00377513153691567,0.00357879704796663,0.0014190812642883,0.00730643574455449,"Global"
"KL146",0.00124902056711328,0.00105129067045162,0.000154683808454167,0.00344389329684874,"Global"
"KL149",0.0296673237342254,0.029511338311985,0.0224656999034148,0.0379058820718678,"Global"
"KL15",0.0517093241522166,0.0515344515591593,0.0414830129013815,0.0628867329481703,"Global"
"KL151",0.00691667990163763,0.0067465621836414,0.00350573277483262,0.0115038467633225,"Global"
"KL155",0.0018966234368652,0.00169296329607565,0.000384057068614133,0.00457182424127521,"Global"
"KL157",0.0183110303020482,0.0180962895626408,0.0122870642440111,0.0255341020063024,"Global"
"KL158",0.0006201260959399,0.000433842426446439,1.56805351962084e-05,0.00224673907380794,"Global"
"KL16",0.0113475749342191,0.0111204763763124,0.00677099445387571,0.0171971469560482,"Global"
"KL163",0.00062275046684748,0.000436916287557671,1.76297831757989e-05,0.00227263566050417,"Global"
"KL169",0.00124574021396196,0.00104359036477736,0.00015567337947885,0.00347308196895504,"Global"
"KL17",0.0188387768745495,0.0186388228435476,0.0127879081044625,0.0260373223325363,"Global"
"KL179",0.000626130209543378,0.00043942617664907,1.47248506050987e-05,0.00230626556909254,"Global"
"KL18",0.00314369188592796,0.00293522405456023,0.00107108038959267,0.0063552267795013,"Global"
"KL180",0.00312782352619782,0.00291171612152263,0.00102047496468324,0.00636704530003803,"Global"
"KL19",0.0126204845662157,0.0124157338921529,0.00764463770062187,0.0185342717540163,"Global"
"KL2",0.140988529154341,0.140796612423906,0.125047932956732,0.158039778842572,"Global"
"KL20",0.00314551789488895,0.00293734879440378,0.00101235968002698,0.00641058332900746,"Global"
"KL21",0.000629001211716965,0.000438612034181303,1.62375366842148e-05,0.00230447963392921,"Global"
"KL22",0.000622502848947068,0.000437251575733426,1.71806159344457e-05,0.00230292599340365,"Global"
"KL23",0.028359417099037,0.0281625285861218,0.0207743410316815,0.0369502300585358,"Global"
"KL24",0.0156915361202024,0.0155025167699359,0.0102348541021925,0.0221321650140594,"Global"
"KL25",0.065458922585293,0.0652838357295253,0.0541099353200287,0.0776078122666556,"Global"
"KL27",0.00125507620382362,0.00106076847918027,0.000152377366960359,0.00347105330089426,"Global"
"KL28",0.0162874964879158,0.0160866600013663,0.0107390906146916,0.0229791394410142,"Global"
"KL3",0.00943642009638004,0.0092655914942084,0.00525360976869923,0.0146362952204419,"Global"
"KL30",0.0320987730837948,0.0319307464529792,0.0240278831275689,0.0410993908152492,"Global"
"KL31",0.00188215034766358,0.00169340292196265,0.00039249830674899,0.00448724324026673,"Global"
"KL34",0.00125574952925095,0.00105891136257353,0.000145723425367305,0.00350357633270833,"Global"
"KL35",0.00125572498971135,0.00105153481203011,0.000151233114003148,0.00352418185712325,"Global"
"KL36",0.00190174305059606,0.00168959602946189,0.000388405105623201,0.00460789275030539,"Global"
"KL38",0.00503777461147951,0.00484991403073455,0.00219145266067626,0.00892914037582764,"Global"
"KL39",0.0169891616508719,0.0167748769215636,0.0112534171062296,0.0238773612375005,"Global"
