"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0085561103700136,0.00826197376611512,0.00402776581759105,0.0148408771632611
"KL10","Southern Africa",0.0123298755302957,0.0110709762699798,0.00282049353950905,0.0286494734531636
"KL10","Southern Asia",0.0605988823679965,0.0591217662314561,0.0315969499372676,0.0978509140072009
"KL10","Western Africa",0.014719805972301,0.0112587304650123,0.00110929726689061,0.0477333002421485
"KL102","Eastern Africa",0.247589444181485,0.247460613477223,0.222524333716385,0.273954552890628
"KL102","Southern Africa",0.128566535596816,0.127397084613687,0.0893267775770354,0.174314383397754
"KL102","Southern Asia",0.00958326484093513,0.00807747927361082,0.00126643939929682,0.0264059570191723
"KL102","Western Africa",0.129226959066764,0.125809926921174,0.064913092145191,0.213247369207591
"KL104","Eastern Africa",0.0540335913996516,0.053795475872561,0.0414389719983301,0.0682257893748365
"KL104","Southern Africa",0.00188339235364895,0.00101828328060901,2.94528123037227e-05,0.00885720450342304
"KL104","Southern Asia",0.0248506465391391,0.0231282510701333,0.0081542011246186,0.0506809088164607
"KL104","Western Africa",0.0047919507671563,0.00244242888144719,6.23796792273459e-05,0.0234450210958025
"KL105","Eastern Africa",0.00182924696098236,0.0015477246338318,0.000265023283303915,0.0050364138143377
"KL105","Southern Africa",0.000935513147974733,0.000354805569256494,6.85177291022661e-06,0.00532937867940795
"KL105","Southern Asia",0.0084693432092976,0.00700780791361505,0.00103254873520933,0.0240346580421655
"KL105","Western Africa",0.00221263818232991,0.000759647314623399,1.08939748860746e-05,0.0135159055066717
"KL106","Eastern Africa",0.00237244723056318,0.00208732775939938,0.000426378964536875,0.0059636279181865
"KL106","Southern Africa",0.000572725704454756,0.0001534193437817,1.59247522399123e-06,0.00377152130340316
"KL106","Southern Asia",0.00106818200851237,0.000354083088905819,3.7906761057905e-06,0.00658204700351537
"KL106","Western Africa",0.00132608490145475,0.000297633983868749,2.5769561635117e-06,0.00931388234742033
"KL108","Eastern Africa",0.0356241016013956,0.0354216333180413,0.0253418228772054,0.0475497306004557
"KL108","Southern Africa",0.004378872207912,0.0033098135351,0.000311405721433442,0.0142990550641336
"KL108","Southern Asia",0.00282745440712141,0.00172227924565933,7.19152083330899e-05,0.0120168194653755
"KL108","Western Africa",0.0119571131311863,0.00863214867669531,0.000657802924135856,0.0424251572618269
"KL109","Eastern Africa",0.000937647861683855,0.000670523523875994,5.08734473878512e-05,0.00327439523061588
"KL109","Southern Africa",0.000641149721493064,0.000201757738674822,2.21219685947343e-06,0.00395080932232931
"KL109","Southern Asia",0.00371839026433425,0.00238435846702682,0.000111036877867393,0.0147592670813957
"KL109","Western Africa",0.00146351690975771,0.000415914721756516,5.10145985373005e-06,0.00962694258035768
"KL110","Eastern Africa",0.00270352801763093,0.00243528359859298,0.000592155978531161,0.00637246200443283
"KL110","Southern Africa",0.00635987061548313,0.00510250298849603,0.000706333276852125,0.0189818309597497
"KL110","Southern Asia",0.00186110882660644,0.000920439423741022,2.33771576688211e-05,0.00932665138600337
"KL110","Western Africa",0.00266080732014329,0.000939687926137585,1.68177704832761e-05,0.015411395699327
"KL111","Eastern Africa",0.00234677401383183,0.00208568716613633,0.000441841989293747,0.00588573521811201
"KL111","Southern Africa",0.000555584223839437,0.000152205437234588,1.71244290210752e-06,0.00362936132182093
"KL111","Southern Asia",0.00106685693376586,0.000358897757032628,4.0991581385135e-06,0.00653061145795753
"KL111","Western Africa",0.00127049560475665,0.000302389431643348,3.10649073258185e-06,0.00908355892757801
"KL112","Eastern Africa",0.00392696912856806,0.00362398474375632,0.00121710042970358,0.00834468768098891
"KL112","Southern Africa",0.0045547025110469,0.00346319231600785,0.000327829160488012,0.0149448903524156
"KL112","Southern Asia",0.105214972575826,0.103846037942061,0.0668303933819235,0.152005527758799
"KL112","Western Africa",0.00479115737920046,0.0023899272067478,7.16583193570816e-05,0.0234208882256433
"KL113","Eastern Africa",0.000683610853585684,0.000433063385938346,1.28388533214836e-05,0.00275539628332746
"KL113","Southern Africa",0.000346165710343599,6.36543234661098e-05,2.84130802864624e-07,0.00268822157717216
"KL113","Southern Asia",0.000663763884337328,0.000153066854424476,8.23641581391303e-07,0.00469152333154547
"KL113","Western Africa",0.000783374768694096,0.000112950364456433,5.29837052693396e-07,0.00614194100118264
"KL114","Eastern Africa",0.000265726932466512,0.000106092080367248,1.07430978441722e-06,0.00144746534566644
"KL114","Southern Africa",0.000422685150091354,8.99803325130063e-05,5.75508689073687e-07,0.00291904019949633
"KL114","Southern Asia",0.00288965068524415,0.00160236984153164,3.83643286793472e-05,0.0127348735375875
"KL114","Western Africa",0.000967695533192647,0.000174367232224574,1.04627520027383e-06,0.00722434284986508
"KL116","Eastern Africa",0.000518673055585462,0.000306053943095009,1.15712997534474e-05,0.00224387302757114
"KL116","Southern Africa",0.00102698422005663,0.000413345940341787,7.25111433295516e-06,0.00572327955108558
"KL116","Southern Asia",0.00178085251846885,0.000849081299135716,1.9324434407597e-05,0.00900798404238328
"KL116","Western Africa",0.0638658580777133,0.0603730108007991,0.0214085755820066,0.125120313091281
"KL117","Eastern Africa",0.00193138212021311,0.00164573086793376,0.000303758226255852,0.00535800393758885
"KL117","Southern Africa",0.00108377451343202,0.000461128997482299,8.8913840284698e-06,0.0059333552542123
"KL117","Southern Asia",0.0178133760050845,0.0161946007408519,0.00476184057476502,0.0394794508274431
"KL117","Western Africa",0.002669715948301,0.000980670411313496,1.62166920734441e-05,0.0156450230662809
"KL118","Eastern Africa",0.00150869952414518,0.00121938630486529,0.000152189163231908,0.00454438152789228
"KL118","Southern Africa",0.000487160099129782,0.000117095116688816,9.98830210091396e-07,0.00346188794785905
"KL118","Southern Asia",0.000921077190452651,0.000287641866239804,2.79045438451606e-06,0.00580731467605133
"KL118","Western Africa",0.00113999576752327,0.000228848491968001,1.9473395121238e-06,0.00851887942921618
"KL12","Eastern Africa",0.000415355440540238,0.000222044660402625,6.11522950999857e-06,0.00187699379171437
"KL12","Southern Africa",0.00264107711153869,0.00166347545354937,7.15744937424991e-05,0.0106455445780379
"KL12","Southern Asia",0.00408077841009666,0.00273663063202817,0.000146161508693403,0.0154048225684432
"KL12","Western Africa",0.00182622001614683,0.000514995667158997,6.52451654551036e-06,0.0117015813977476
"KL122","Eastern Africa",0.0165737902043933,0.0162800095218309,0.0097561097465264,0.0250583853491481
