"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.00854602297443849,0.00822704377988934,0.00399924447976674,0.0148118382171682
"KL10","Southern Africa",0.0152130174376339,0.0134682059268975,0.00335913424535883,0.0360693407989904
"KL10","Southern Asia",0.0389974359224354,0.0382595927024424,0.0236212362420462,0.0584115709489264
"KL10","Western Africa",0.0146625645754597,0.011315115360866,0.00115608041319812,0.0465077803352925
"KL102","Eastern Africa",0.247857085015886,0.247751545998252,0.222437643426691,0.273732229405528
"KL102","Southern Africa",0.12149772421476,0.120405923490205,0.0790915192925435,0.17145830359793
"KL102","Southern Asia",0.0631420912783648,0.062628191421064,0.0433417551297753,0.0862642177713706
"KL102","Western Africa",0.131559295774823,0.128597086412469,0.0672466384274032,0.212220911102047
"KL104","Eastern Africa",0.0539884799600239,0.0536755342594962,0.0413164060183194,0.0681463222966906
"KL104","Southern Africa",0.00215733350932294,0.00113754408291229,3.38275090637102e-05,0.0104868453468934
"KL104","Southern Asia",0.0103726458267268,0.00972245949339391,0.00358648578738552,0.0208463571724419
"KL104","Western Africa",0.00461759615845676,0.00228960104939348,6.53664887436492e-05,0.0225627387667841
"KL105","Eastern Africa",0.00175024517290078,0.00146828742564529,0.00023298816960045,0.00487896457921636
"KL105","Southern Africa",0.000993736390597163,0.000344404244099619,6.44693114453206e-06,0.00613006925712225
"KL105","Southern Asia",0.00371009252443879,0.00310158109355364,0.000498564199274172,0.0104614614207663
"KL105","Western Africa",0.00199281170781255,0.000667363687897325,1.21149467986765e-05,0.0119904874392643
"KL106","Eastern Africa",0.00229290838564243,0.00199327682548888,0.000433322085258932,0.00574052827595874
"KL106","Southern Africa",0.000656132736471006,0.000169256689751582,1.81570327354815e-06,0.00458473829672517
"KL106","Southern Asia",0.000627788631426539,0.000273262673922926,4.51656388074861e-06,0.00343553712102671
"KL106","Western Africa",0.00126895155349867,0.000318690847950072,3.29485035325263e-06,0.00865572732101659
"KL108","Eastern Africa",0.0352520163460706,0.0349326740491936,0.0250375113509683,0.0471621344851798
"KL108","Southern Africa",0.00168732086329628,0.000847447724912527,2.31412785017681e-05,0.00839831787951813
"KL108","Southern Asia",0.00131779366762172,0.000813057791064469,3.70721768477036e-05,0.00542163385581237
"KL108","Western Africa",0.0104492363746299,0.00727185575831906,0.000497260383307275,0.038786326571933
"KL109","Eastern Africa",0.000862731465676837,0.000616821223471877,4.34862849210075e-05,0.00307384329150058
"KL109","Southern Africa",0.000651537521289132,0.000183026275953207,2.13732756042722e-06,0.00416713057065104
"KL109","Southern Asia",0.00173624341300668,0.00119120078906123,7.23721343479548e-05,0.00640300063829539
"KL109","Western Africa",0.00134367965641874,0.000342825540656139,4.35058575113423e-06,0.00936398357356668
"KL11","Eastern Africa",0.000221070903686281,8.29387493224981e-05,7.46379867518411e-07,0.00124222075170856
"KL11","Southern Africa",0.000376323433741019,7.05735313003666e-05,4.27019100420415e-07,0.00289322728533843
"KL11","Southern Asia",0.00132367496311546,0.0007999311924777,2.06606873543462e-05,0.00556716767584726
"KL11","Western Africa",0.000761788070832901,0.000127529282820605,7.22932192492785e-07,0.00583987536733968
"KL110","Eastern Africa",0.00283448804378772,0.00255700030859405,0.000685215122771942,0.00661472159137764
"KL110","Southern Africa",0.00834282389538401,0.00681464635763755,0.00098846075103156,0.0241507167259476
"KL110","Southern Asia",0.00433422727595924,0.00369604248022833,0.000713010821524721,0.0113614676793897
"KL110","Western Africa",0.00339389502050957,0.00149106478956342,4.05537110668507e-05,0.0181206321160376
