"locus","mean","median","lower","upper","subgroup"
"KL10",0.0175592324692081,0.017362245695184,0.0119474638204321,0.0241093675149515,"Global"
"KL102",0.18556377413268,0.185460659844375,0.167948975802216,0.203863040098543,"Global"
"KL104",0.0345164104971313,0.0343836423483431,0.0266341675836923,0.043589382350263,"Global"
"KL105",0.0011656926456894,0.00098109320750235,0.000143762803058035,0.00325989213813197,"Global"
"KL106",0.00115755973965963,0.00097289685495471,0.000140080021263658,0.00324620438173197,"Global"
"KL108",0.0239330332337284,0.0237787636654615,0.0171299897202313,0.0316479590400481,"Global"
"KL109",0.000587577174646734,0.000403747558741654,1.39011920274653e-05,0.00218895795309675,"Global"
"KL11",0.000586167574642845,0.000412505601362443,1.67725586036301e-05,0.00215281635627963,"Global"
"KL110",0.00291564224096975,0.00272489786247594,0.000946024556240521,0.00601799301159657,"Global"
"KL111",0.00117066790356802,0.000976803671856488,0.00014216062079977,0.00331315343772106,"Global"
"KL112",0.0151970474648273,0.0150041862627662,0.0100276588668055,0.0214085397381966,"Global"
"KL113",0.000588649812554754,0.000405052340090194,1.40089206129738e-05,0.002176724691743,"Global"
"KL114",0.000588303369123184,0.000406957824593993,1.5720385658368e-05,0.0021994305423187,"Global"
"KL116",0.00348849178007459,0.00331251569016266,0.00133506088336508,0.00658019286766049,"Global"
"KL117",0.00353338857925285,0.00332917598250508,0.00129336932474617,0.00687072569913266,"Global"
"KL12",0.00117276139126023,0.00098056865389424,0.00013476262320237,0.00331087406794078,"Global"
"KL122",0.0099097359980272,0.00973487763704372,0.00581318628441428,0.0152252171416228,"Global"
"KL124",0.00174075369828937,0.00155296981987993,0.000348008340761453,0.00426279943970703,"Global"
"KL125",0.00175227001658928,0.00155432418961093,0.00036212234149913,0.00422050790068929,"Global"
"KL127",0.00642676504398233,0.00623292995182993,0.00325136986457459,0.0106594034653655,"Global"
"KL128",0.00175865401522315,0.00156348902010174,0.000373557076707298,0.00421807548700015,"Global"
"KL13",0.0017513698252809,0.00156209881339158,0.000348722748508527,0.00423971826395066,"Global"
"KL131",0.00116860838552327,0.000990896024754974,0.00014340971657227,0.00325039827148683,"Global"
"KL136",0.00644111822721401,0.00623705310334687,0.00321506982104569,0.0107788369006818,"Global"
"KL137",0.000578479319132437,0.000395750825897194,1.34220076787776e-05,0.00213115293670421,"Global"
"KL14",0.00291552576814047,0.00273162001777026,0.000972745557614326,0.0059108100331538,"Global"
"KL140",0.000584043721766059,0.000412827329147062,1.5311757203441e-05,0.00212805274321783,"Global"
"KL141",0.000584219428537908,0.000402940372723417,1.37884737853186e-05,0.00215025331339317,"Global"
"KL142",0.00174729416965359,0.0015613501967157,0.00036103356548267,0.00412047048284985,"Global"
"KL144",0.000574859730074436,0.000401048586440316,1.31546021351474e-05,0.00214092666286787,"Global"
"KL145",0.0035216637477449,0.0033217109859102,0.00132576840467285,0.00681454931589559,"Global"
"KL146",0.0011689475488357,0.000976706100381435,0.000141219800867443,0.00328070027300453,"Global"
"KL149",0.0292519034707474,0.029128614513649,0.0222128867696135,0.0368676328980226,"Global"
"KL15",0.0976744664766423,0.0975655418283419,0.084499309924421,0.11130362089413,"Global"
"KL151",0.00586784603086258,0.00568495822815987,0.00287754580905645,0.00982539899598006,"Global"
"KL155",0.00234450693124036,0.00215007694138228,0.000616616833010451,0.00519319793352191,"Global"
"KL157",0.0169696070147806,0.0167245153430482,0.0114719137287367,0.0236440347184284,"Global"
"KL158",0.000582380894091371,0.000399192648956979,1.45589254836863e-05,0.00215255796935005,"Global"
"KL16",0.00642050271148824,0.00625965877184602,0.00321901251225122,0.0106477935242651,"Global"
"KL169",0.00118219316498619,0.00098660875237664,0.000143569630785838,0.00334720449845272,"Global"
"KL17",0.0198682407207674,0.0197222861898561,0.01372036481996,0.0271357204875552,"Global"
"KL171",0.00117354853905364,0.000991214375208206,0.000144530671860884,0.00320798551764415,"Global"
"KL179",0.000584373616564985,0.000399185755246783,1.22525822041039e-05,0.00217927266391091,"Global"
"KL18",0.00117094443702213,0.000989839649861632,0.000152312450041806,0.00323046327442285,"Global"
"KL180",0.00233723496627155,0.00214926643996566,0.000663213732241188,0.00508931808400682,"Global"
"KL183",0.000578267070588948,0.00040689236727193,1.58677389852683e-05,0.00210671742580563,"Global"
"KL186",0.000589246691411304,0.000404830462395733,1.40835107371042e-05,0.00219578865607921,"Global"
"KL19",0.0111335774259522,0.0109344014384945,0.00671738148004352,0.0167939894121906,"Global"
"KL2",0.119931251697028,0.119796869111838,0.105129744861655,0.13507477737896,"Global"
"KL20",0.00235187021036631,0.0021584487928557,0.000623181902310162,0.00517940100383631,"Global"
"KL21",0.0011704565602706,0.000980986050146112,0.000132039837280512,0.00322287973582844,"Global"
"KL22",0.000581534469451137,0.000410392395134227,1.64303909935355e-05,0.00209991195417269,"Global"
"KL23",0.0240274864010643,0.023845585869471,0.0173568084363414,0.0316337932663131,"Global"
"KL24",0.0158127454379165,0.0156006279283691,0.0105480952287774,0.0221192234216324,"Global"
"KL25",0.052186446874651,0.052018437414498,0.0426411398389092,0.0626411788775033,"Global"
"KL27",0.0011820071755312,0.000981862179457942,0.00014625982272032,0.00330459167961265,"Global"
"KL28",0.0146279295330192,0.0144506800430039,0.00962118025464636,0.0206663639447856,"Global"
"KL3",0.00640789128366531,0.00619825046862334,0.00319011885473792,0.0106737862916853,"Global"
"KL30",0.0298187196703118,0.0296699836382293,0.0223932543777466,0.0382040729191748,"Global"
"KL31",0.00174594463919984,0.00155872927936866,0.000372528708030638,0.00421401377931869,"Global"
"KL34",0.00117181285912087,0.000974963780473779,0.000138483976348571,0.00330772330885631,"Global"
"KL35",0.00116137482526733,0.00096914161951494,0.000143442984664613,0.00324179217460287,"Global"
"KL36",0.0052515344663155,0.00508993544094639,0.00240712773465125,0.00907656160988173,"Global"
"KL38",0.00585153955312364,0.00564856177199309,0.00280302502613011,0.00996058561444387,"Global"
"KL39",0.0128542269825982,0.012678405784296,0.00818049353129659,0.0186346580237215,"Global"
"KL43",0.00116608112269405,0.000977985377516196,0.000138100794250132,0.00323882914461884,"Global"
"KL45",0.000596803058206209,0.000411466927795117,1.42895491459234e-05,0.00223046390871723,"Global"
"KL46",0.000584019529384399,0.000405289170554851,1.65323618731237e-05,0.00217762337667393,"Global"
"KL47",0.00175889552659236,0.00156371164274238,0.000356990305479097,0.00423466450305086,"Global"
"KL48",0.0163648923615857,0.0161621757907362,0.0109415136543214,0.0228464987145887,"Global"
"KL49",0.00234959847568771,0.00216304083392993,0.000661270775470865,0.0051022070483065,"Global"
"KL51",0.0134147176216644,0.0132527712845029,0.00850056089404644,0.0193050633025244,"Global"
"KL52",0.00761247508443947,0.00739936118546876,0.0040842013359741,0.0123391819943193,"Global"
"KL53",0.00468408144280262,0.00451857405538693,0.00207633244614334,0.0081898082888061,"Global"
"KL54",0.010534251167686,0.0103558897853827,0.00616163143384154,0.015939514106126,"Global"
"KL55",0.00117029756640677,0.000980445101759504,0.000136822827388083,0.0032848335064774,"Global"
"KL57",0.00700104119519378,0.00681766656234261,0.00362424512198937,0.0114106338328595,"Global"
"KL61",0.000577733009752907,0.000391649010455423,1.32602588679084e-05,0.00214884917187649,"Global"
"KL62",0.0351117213930324,0.0349420275578493,0.0268964870282945,0.0442840719297301,"Global"
"KL64",0.0128709453737822,0.0126941395155329,0.00811568470333559,0.0187256030533001,"Global"
"KL67",0.00116826446354536,0.000986604918827862,0.000139833321182017,0.00320070893674544,"Global"
"KL7",0.00231345154787259,0.00214549696789799,0.000633021677599402,0.00504792872149435,"Global"
"KL8",0.009342402455972,0.00912870686622949,0.00537340824640933,0.014488334489541,"Global"
"KL81",0.0280374130720197,0.0278923615170074,0.0209194013719687,0.0361283043231399,"Global"
"KL9",0.0128802361788815,0.012707010002271,0.00809634004443439,0.0185771404399304,"Global"
