"locus","mean","median","lower","upper","subgroup"
"KL10",0.0163665209665453,0.0161399323616891,0.0110260649079193,0.0230713773060502,"Global"
"KL102",0.193075396187274,0.192874461527941,0.175195767108414,0.211692468337085,"Global"
"KL104",0.00642562078705969,0.00624521871510324,0.0031990077642582,0.0106779569783874,"Global"
"KL105",0.00231126168939203,0.00212954751925901,0.000615135924781951,0.00502425570277409,"Global"
"KL106",0.00175663675754665,0.00157584382801529,0.000376356074601258,0.0041276636511283,"Global"
"KL108",0.023949831357051,0.0237712322597856,0.0172554193380167,0.0316349260993027,"Global"
"KL109",0.00117755983914469,0.000988468431328254,0.000150741099758006,0.00323764219519896,"Global"
"KL11",0.000583889328459952,0.000401733999112984,1.46869887929381e-05,0.00218221344048609,"Global"
"KL110",0.0034933879353134,0.00329052805491299,0.00128305146167924,0.00677102206071359,"Global"
"KL111",0.00235310491794805,0.00216152499884282,0.000626019828213142,0.005227032805789,"Global"
"KL112",0.01632812117646,0.0161251590960581,0.010909796007468,0.0226874649685712,"Global"
"KL114",0.000583965201819467,0.000399926857689136,1.41287063655681e-05,0.00218916041163725,"Global"
"KL116",0.00349594736769711,0.00334657572367086,0.00133507107073443,0.00655085768924997,"Global"
"KL117",0.00293450622891349,0.0027474795513657,0.000988487313895593,0.00591600772865807,"Global"
"KL118",0.00117167757827205,0.000981622748599673,0.000146773023011207,0.00329551636077191,"Global"
"KL12",0.00116902559971583,0.000970030067993983,0.000137369782814279,0.0033271434549517,"Global"
"KL122",0.0151260428548409,0.0149804100452252,0.00978162370664599,0.0213627441306099,"Global"
"KL123",0.000580129153742423,0.000404351779930097,1.53357510461223e-05,0.00216693334056665,"Global"
"KL124",0.00115786520307414,0.000966002927444294,0.000143785885561106,0.00321751243017412,"Global"
"KL125",0.00175705155489536,0.00157580953791427,0.000357630947855557,0.00422310607529917,"Global"
"KL127",0.00582987700907473,0.00564144858203414,0.00279622894179136,0.00985331767578003,"Global"
"KL128",0.00175822433048988,0.00156913712608054,0.000346726229187983,0.00422459968786099,"Global"
"KL13",0.001759084653722,0.00156303687690844,0.000361109293154146,0.00423666319395131,"Global"
"KL131",0.00115260022294822,0.000963117962064736,0.000141847384960752,0.00326898547862062,"Global"
"KL136",0.00642689527826085,0.00626518959952412,0.0032133667821285,0.0106797505082591,"Global"
"KL137",0.000587298808080516,0.000413611221327507,1.59023429295099e-05,0.00217080584583575,"Global"
"KL139",0.000573999819509702,0.000394490595470547,1.3204679677972e-05,0.00211260198235103,"Global"
"KL14",0.00291731245184534,0.00271485612824648,0.000948945958042828,0.00601095597378984,"Global"
