"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0064270320993506,0.00611398970164644,0.00243684448892003,0.0122970417920734
"KL10","Southern Africa",0.012244325360329,0.0108812483945738,0.00256578838546661,0.0294797244313887
"KL10","Southern Asia",0.0390441228027277,0.0383569023409391,0.0237082567210143,0.0584300098287573
"KL10","Western Africa",0.00619709881616742,0.00270079540825635,6.02236591314884e-05,0.0332374234927246
"KL102","Eastern Africa",0.279529567519863,0.27932614446325,0.252028803655202,0.307868204882926
"KL102","Southern Africa",0.130610926969287,0.129451056055208,0.0905450315945748,0.177166649792086
"KL102","Southern Asia",0.0630771329062833,0.0624795473134157,0.0430794603324168,0.0861972408714493
"KL102","Western Africa",0.0815510448242608,0.0760062027022051,0.0249673583160364,0.169107795862516
"KL104","Eastern Africa",0.00607146374238164,0.00572140814983762,0.00222034108324088,0.0118929563459623
"KL104","Southern Africa",0.00122039140922534,0.00054561533231808,1.11589933795088e-05,0.0064547117725486
"KL104","Southern Asia",0.00989876671364985,0.00916813170990284,0.0032384327318187,0.0202286391244279
"KL104","Western Africa",0.00343765643011254,0.00108545119199106,1.47198163015957e-05,0.0209198560697639
"KL105","Eastern Africa",0.0019430728316357,0.00161689677837532,0.000275739150459694,0.00531263291660239
"KL105","Southern Africa",0.000825598453737923,0.000284887858853848,3.53441995970468e-06,0.00503558618116156
"KL105","Southern Asia",0.00376856657728239,0.00315932420774998,0.000491102164995888,0.0105153508340991
"KL105","Western Africa",0.00206251033070236,0.000518955930688875,6.12797051717126e-06,0.0144495444115485
"KL106","Eastern Africa",0.00263561648437997,0.00230598378526231,0.000494334711758884,0.00653935405667
"KL106","Southern Africa",0.000564975360378649,0.000144185573822083,1.03256926498325e-06,0.00389791504972478
"KL106","Southern Asia",0.000625843638186355,0.000256713482871844,3.62920171223996e-06,0.00334065755650138
"KL106","Western Africa",0.00132052521128613,0.000227907994830047,1.56392482637871e-06,0.00989915877972149
"KL108","Eastern Africa",0.0403733352609192,0.0400692951653698,0.0287680676842796,0.0534918622327385
"KL108","Southern Africa",0.00449741766670004,0.00333683244255101,0.000273977406015009,0.0153268906049996
"KL108","Southern Asia",0.00148466478002924,0.000941777867046202,4.73145139906473e-05,0.00590882330855868
"KL108","Western Africa",0.0158565891017378,0.0108564831685872,0.000701720498400522,0.0583702921320795
"KL109","Eastern Africa",0.000966766509124702,0.000676817135549193,4.23941840320223e-05,0.00347839283547638
"KL109","Southern Africa",0.000573288253931865,0.00015365554741734,1.29680820729756e-06,0.00384168337098155
"KL109","Southern Asia",0.00185827952739017,0.00128865114493717,7.92904506786576e-05,0.0068658609542137
"KL109","Western Africa",0.0013928372098102,0.000267309477986645,2.21553195482052e-06,0.0102654404650012
"KL11","Eastern Africa",0.000224713650993812,7.15073088423885e-05,4.01131544269999e-07,0.00142472432012072
"KL11","Southern Africa",0.000352271758411149,5.36287605671079e-05,2.48328256490689e-07,0.00270106479070294
"KL11","Southern Asia",0.00138294229171461,0.000826109728792245,2.36641285805152e-05,0.0057525152400321
"KL11","Western Africa",0.000790266808161541,8.52463216503236e-05,3.03552658777303e-07,0.00627720263386029
"KL110","Eastern Africa",0.00221124769651765,0.00187802085701095,0.000341859560795447,0.00579242309526247
"KL110","Southern Africa",0.00708002115043076,0.00579785592764256,0.000790007605551672,0.0203407993765401
"KL110","Southern Asia",0.00433775104880575,0.00370909970627235,0.000668582284850067,0.0116024114855244
"KL110","Western Africa",0.00346191581653468,0.00116447950431876,1.84962496446296e-05,0.0209470149211056
"KL111","Eastern Africa",0.00285915272753572,0.0025080942300322,0.000559969031363447,0.00715394537761952
"KL111","Southern Africa",0.000807307819428735,0.000259955869718889,3.29964895991189e-06,0.00500162352591966
"KL111","Southern Asia",0.00211984368916228,0.00152998307722423,0.000107416925240982,0.0075264546344214
