"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.00684410222226862,0.00642481262041968,0.00237384749355935,0.0136360214781854
"KL10","Southern Africa",0.0121228161691455,0.010912807054205,0.0028360644853475,0.0283537866672725
"KL10","Southern Asia",0.038954444430008,0.0383165436900694,0.0237382420345229,0.0582777492726243
"KL10","Western Africa",0.0143993909417511,0.0108671812939433,0.0010860973579208,0.0473508954843894
"KL102","Eastern Africa",0.332937029970733,0.332793663905437,0.29963599208637,0.367093198437149
"KL102","Southern Africa",0.129791585240815,0.128551635072766,0.0908473702689198,0.174725322898885
"KL102","Southern Asia",0.0630758973412291,0.0626376915445368,0.0431157719975481,0.0861990219475479
"KL102","Western Africa",0.132407891191149,0.129298478283508,0.0676971689338548,0.21473964236286
"KL104","Eastern Africa",0.0754952138914802,0.0751365355844501,0.0579863618306758,0.0951932069220651
"KL104","Southern Africa",0.00189690251629086,0.0010880630280596,3.98945645755027e-05,0.00818614077507832
"KL104","Southern Asia",0.0103445263186473,0.00976787773821589,0.00330654187560806,0.0208797081969237
"KL104","Western Africa",0.00489658170189178,0.00255762130088308,7.61689380517468e-05,0.0239295524569372
"KL105","Eastern Africa",0.00237266099039743,0.00196633133916619,0.000309548382572637,0.00668772127775829
"KL105","Southern Africa",0.000899664914024837,0.00036326365981966,7.2061369164982e-06,0.00500298042145925
"KL105","Southern Asia",0.00378052577981333,0.00315299316042722,0.00049283265298671,0.0106166961422665
"KL105","Western Africa",0.00216599844574331,0.00074707549576807,1.30520649118098e-05,0.0135107847382814
"KL106","Eastern Africa",0.00195009111678487,0.00155937095866434,0.000176790537508972,0.00596069540112629
"KL106","Southern Africa",0.000521101008113781,0.000142207421502852,1.42109932173042e-06,0.00344018768861941
"KL106","Southern Asia",0.000601628883883842,0.000254004202673776,4.1941532036296e-06,0.00328172673854102
"KL106","Western Africa",0.001247886735821,0.000278714375909761,2.80775063610033e-06,0.00864225464848289
"KL108","Eastern Africa",0.0493188774464965,0.0488424540679629,0.0353321990137155,0.065858405914571
"KL108","Southern Africa",0.00440938177662966,0.00325559354994003,0.000288097414413813,0.0149215136967329
"KL108","Southern Asia",0.00155167956069611,0.00104148492648016,6.88681661591179e-05,0.00585120878859638
"KL108","Western Africa",0.0120334353000171,0.00888582762144269,0.000761027788700382,0.0413568618502213
"KL109","Eastern Africa",0.0011273520258099,0.00078164271423816,4.97167527664662e-05,0.00424762845877703
"KL109","Southern Africa",0.000645755741011971,0.00019563519604437,2.86004181738629e-06,0.00418564874370038
"KL109","Southern Asia",0.00182593216771089,0.00127878814011076,8.17859370363918e-05,0.00678113577546127
