"locus","mean","median","lower","upper","subgroup"
"KL10",0.0176805355423513,0.0175215910365106,0.012052057178194,0.0242041264163754,"Global"
"KL102",0.18709099310218,0.186902970189355,0.170193589776955,0.204533962242459,"Global"
"KL104",0.035325582382104,0.0351795612941145,0.0273770097477296,0.0442442444681769,"Global"
"KL105",0.0022020263048634,0.0020273800152018,0.000606926970511963,0.00479472880670848,"Global"
"KL106",0.00165416587707237,0.00147326063619531,0.000362119496228676,0.00399179846046286,"Global"
"KL108",0.0226279373122557,0.0224640162430522,0.0163408790203331,0.0297984215230968,"Global"
"KL109",0.00109071515672979,0.000918844518164516,0.000135548008116262,0.00306368895695665,"Global"
"KL11",0.000555006050357993,0.000383940744922108,1.35210482831811e-05,0.00205528116803993,"Global"
"KL110",0.00387963634597751,0.00368931839419037,0.00153455789254361,0.00727172856474172,"Global"
"KL111",0.00221507231669072,0.00203709910851921,0.000624174532623165,0.00480985704853492,"Global"
"KL112",0.0154388696945376,0.0153053973035164,0.0102722156903396,0.0215784496397831,"Global"
"KL113",0.000542448438036649,0.000377318237869803,1.41446998076288e-05,0.00197149507068847,"Global"
"KL114",0.000544093224865219,0.00037230791341125,1.31941158239861e-05,0.00200948711001401,"Global"
"KL116",0.0032923180332571,0.00314064146957126,0.00123301248826358,0.00625884333843406,"Global"
"KL117",0.00330969471235023,0.0031138073777287,0.00120445787664812,0.00649443453254744,"Global"
"KL118",0.00110590553811465,0.000935240120637311,0.000138403046668366,0.00304340491872884,"Global"
"KL12",0.00109717143185999,0.000924059585564356,0.000130598886058683,0.00298482092102713,"Global"
"KL122",0.0143353395786066,0.0141272334762832,0.00943296906133584,0.0204597486612765,"Global"
"KL123",0.00055403003305578,0.00038315799245698,1.34923735144761e-05,0.00204497137252765,"Global"
"KL124",0.00166062791566557,0.00147108322028895,0.000316414438552187,0.00397836064049814,"Global"
"KL125",0.0016477914275979,0.00147509617499361,0.000344770858816883,0.00395778906802878,"Global"
"KL127",0.00607359041233234,0.00591366747300434,0.00299051846336643,0.0101176690672791,"Global"
"KL128",0.00166242439676884,0.00148234213975263,0.000356932661662695,0.00398282326299894,"Global"
"KL13",0.00163853471494838,0.00145459073869572,0.000353595996346786,0.00395917064741892,"Global"
"KL131",0.00110540387266233,0.00093449394227007,0.000139187753157866,0.00304366776364228,"Global"
"KL136",0.00605377904621967,0.00587118386492661,0.00304418379679533,0.0100589386267728,"Global"
"KL137",0.000560439536905728,0.000391147885948365,1.53030270183813e-05,0.0020649915831857,"Global"
"KL139",0.000554181755537151,0.00038981815545169,1.48089570282942e-05,0.00206227567766018,"Global"
"KL14",0.00276427056956099,0.0025886068757852,0.000889053854621785,0.0056287203161127,"Global"
"KL140",0.000550726371030394,0.000381420696107716,1.37297468314456e-05,0.00203492443609355,"Global"
"KL141",0.00109370404553896,0.000911702976215347,0.000134474340523636,0.0030423804150796,"Global"
"KL142",0.00165302352215311,0.00147183438123877,0.000354573093184998,0.00394396572033921,"Global"
"KL143",0.00110499692166381,0.00092931647466187,0.00013699713895268,0.00301323231692266,"Global"
"KL144",0.000556231058026493,0.000386857952959171,1.49617021735907e-05,0.00205785115737521,"Global"
"KL145",0.00329284785428099,0.00312042751777487,0.00121169683280895,0.00630129863900914,"Global"
"KL146",0.00110276216631595,0.000926623522299336,0.000139964274720374,0.00307299323991887,"Global"
"KL149",0.027620597462693,0.0275321394165806,0.0209951122996941,0.0347939836128712,"Global"
"KL15",0.0966216823947401,0.0964618807139261,0.0838097646553865,0.110358189744448,"Global"
"KL151",0.00607394950238352,0.00588047670924598,0.0030776143854687,0.0101742885111295,"Global"
"KL155",0.00219114526616484,0.00202202025590598,0.000601638518894577,0.00472466576312568,"Global"
"KL158",0.000544237976350349,0.000379222979547519,1.31354958422022e-05,0.00203602182283159,"Global"
"KL16",0.00994851016575223,0.0097729403088814,0.00592635943963577,0.0149759229283817,"Global"
"KL163",0.00056249142419611,0.000391160099831684,1.31197087675317e-05,0.00208898101821793,"Global"
"KL169",0.00110251054495833,0.000921830746975307,0.000137513789860497,0.0031129766138035,"Global"
"KL17",0.0187960654414163,0.0186020770904607,0.01297147505503,0.0254801090892766,"Global"
"KL171",0.00110496658054143,0.00093411981398381,0.00013462333453701,0.00305351970925225,"Global"
"KL179",0.000548596120219411,0.000379002657697755,1.38468967701577e-05,0.0020106673576405,"Global"
"KL18",0.00273912432386733,0.00253938119620255,0.000911806844233634,0.00558158118263653,"Global"
"KL180",0.0027367683684719,0.00255603125544298,0.000888122272684808,0.00555583686182883,"Global"
