"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.00908155833023895,0.00873682589223768,0.00423312079358421,0.0157936775660925
"KL10","Southern Africa",0.012242864681848,0.01100256891777,0.00280583303079626,0.0289032360964572
"KL10","Southern Asia",0.0389337392766525,0.0383452443086192,0.0235532359605728,0.0578135351717501
"KL10","Western Africa",0.0147605794260433,0.0112455775622711,0.00120755049576817,0.0477584834442512
"KL102","Eastern Africa",0.263504251695334,0.263364217801766,0.237247422934939,0.290813192613508
"KL102","Southern Africa",0.129523670359659,0.128489982377413,0.0905526202656865,0.174735220213204
"KL102","Southern Asia",0.0632781022433523,0.0626666241692078,0.0435515698420476,0.0865861504285876
"KL102","Western Africa",0.13208281855776,0.129044530851681,0.0668746952525634,0.214085416136328
"KL104","Eastern Africa",0.0572854817368671,0.0569812908049252,0.043920914045238,0.0725958849578951
"KL104","Southern Africa",0.00192349209333769,0.00105994599340129,4.06194198497034e-05,0.00863961569190281
"KL104","Southern Asia",0.0103806202389209,0.00969802286092219,0.00360843588422412,0.020873846456689
"KL104","Western Africa",0.00485020602231468,0.00253195103464941,9.65043537145527e-05,0.0235120478714809
"KL105","Eastern Africa",0.00184617360778513,0.00156248669823936,0.000262755039599818,0.00499245659741041
"KL105","Southern Africa",0.000874793189417638,0.000334927289405196,6.90657501959035e-06,0.00505318369906511
"KL105","Southern Asia",0.00362830542535035,0.00301752863441484,0.000490403512995795,0.010038053070813
"KL105","Western Africa",0.00206525568559809,0.000696329949881235,1.25163145365919e-05,0.0125190973862593
"KL106","Eastern Africa",0.00241313945660283,0.00209779895555908,0.000460343971974644,0.00609609942831998
"KL106","Southern Africa",0.000582863568662558,0.000175032397671418,2.34279716728098e-06,0.00374134865621244
"KL106","Southern Asia",0.000642943861716811,0.000296545831034466,6.39568600781882e-06,0.00325803946138859
"KL106","Western Africa",0.00128601821364462,0.0003478840019378,4.76051460655647e-06,0.00845417452067458
"KL108","Eastern Africa",0.037726873088464,0.0375271484140092,0.0268317463666738,0.0500956777251341
"KL108","Southern Africa",0.00428585545543016,0.003192719934369,0.000296774480131708,0.0143459218693769
"KL108","Southern Asia",0.00159422986230028,0.0010804767499197,7.0286861985388e-05,0.00587348387870525
"KL108","Western Africa",0.0118153407326698,0.00843710997722734,0.000725250071147289,0.0419235097616245
"KL109","Eastern Africa",0.000895165206516532,0.000634113253269291,4.31201542367931e-05,0.00317985418763392
"KL109","Southern Africa",0.00058278754844202,0.00018344318307178,2.79680066768783e-06,0.0038121464040326
"KL109","Southern Asia",0.00171597454000837,0.00116029067115865,7.56834405358063e-05,0.00645278044376483
"KL109","Western Africa",0.00132749078171233,0.000356059590129738,5.23693548540712e-06,0.00919036247925929
"KL11","Eastern Africa",0.000243430390292022,8.50669734498811e-05,7.20631703514073e-07,0.00141904326328442
"KL11","Southern Africa",0.000341743556312847,7.07828494618469e-05,4.63747982681656e-07,0.00252258562846874
"KL11","Southern Asia",0.00128072963906224,0.000775183008159169,1.9275733476847e-05,0.00549656339506123
"KL11","Western Africa",0.000781413929229786,0.000133886328251585,7.92792542822766e-07,0.00590376307821256
"KL110","Eastern Africa",0.00300908740650882,0.0026892127335332,0.000702161098263817,0.00722718334798903
