"locus","mean","median","lower","upper","subgroup"
"KL10",0.0169946986456848,0.0168173443045483,0.0116366390621536,0.0233592900549676,"Global"
"KL102",0.186165980681974,0.186127616312707,0.169198391290727,0.20379557484019,"Global"
"KL104",0.0352019453150427,0.0350524654053175,0.0272943405938148,0.044005810064936,"Global"
"KL105",0.00221282318012048,0.00202858087454321,0.000628615551160254,0.00478452782248792,"Global"
"KL106",0.00163432006026669,0.00145076565266855,0.000335737899856277,0.00396718586818294,"Global"
"KL108",0.0225459098753879,0.0223944308236027,0.0162133644025403,0.0299642204878045,"Global"
"KL109",0.00108778040231744,0.000908155215429495,0.000137084273097735,0.00299588617560591,"Global"
"KL11",0.000549045629492793,0.00039201039395932,1.39085916149156e-05,0.00198055957630989,"Global"
"KL110",0.0038474664889985,0.00365115605437529,0.001568529028988,0.0072146474288683,"Global"
"KL111",0.00218318450742959,0.00201164159309437,0.000601202230988018,0.00472650895425054,"Global"
"KL112",0.0137209025341517,0.0135796537937076,0.0088588096167306,0.0194457695677718,"Global"
"KL113",0.000546902074134184,0.000384912914346813,1.45292642720095e-05,0.00198717572957434,"Global"
"KL114",0.000551940388442193,0.000376620715391181,1.31448720098084e-05,0.00209669593398407,"Global"
"KL116",0.00326161829513197,0.00311359323025638,0.00121585253120889,0.00616347550996198,"Global"
"KL117",0.00328536320617091,0.00309091585517078,0.00122069826362642,0.00638275026954785,"Global"
"KL118",0.00109278149860085,0.000904072100056049,0.000131739895666484,0.00306268061835916,"Global"
"KL12",0.000549478071510242,0.000384387785164225,1.35657253080222e-05,0.00203513090180613,"Global"
"KL122",0.0153427789816848,0.0151802099578725,0.0102772415316898,0.0215161205815988,"Global"
"KL123",0.000554475072312133,0.000383483731252891,1.59629513492479e-05,0.00203588800399432,"Global"
"KL124",0.00164546524864189,0.00146489249620121,0.000334194840417501,0.00397255736368836,"Global"
"KL125",0.000544193986856528,0.000378167024588035,1.38637301629721e-05,0.00200524308891651,"Global"
"KL127",0.00549926500875691,0.00530901615706545,0.00268173349086463,0.00931281391257588,"Global"
