"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.00848761228383768,0.0081787508528024,0.00402918808034251,0.0146726573888664
"KL10","Southern Africa",0.0121583290734713,0.0108822272369669,0.00276769070249535,0.028420310101857
"KL10","Southern Asia",0.0416893036579071,0.040934890554438,0.0252873422721931,0.0626383953842231
"KL10","Western Africa",0.0143975930552194,0.01081753326217,0.0011143218554997,0.0468780712769938
"KL102","Eastern Africa",0.247866260186578,0.247827581622283,0.222903933423547,0.274079520854437
"KL102","Southern Africa",0.129537328561578,0.128511280578514,0.0900578537690522,0.173839127693712
"KL102","Southern Asia",0.0711316400492796,0.0705151335191664,0.0487975195998951,0.0975897793981406
"KL102","Western Africa",0.132209145291676,0.128808657690909,0.066909879564737,0.214195713314263
"KL104","Eastern Africa",0.054091918303376,0.0538466891747265,0.0414896079297552,0.0681309434520466
"KL104","Southern Africa",0.0017554497516299,0.000925129929729662,2.55066398689389e-05,0.00826361963108465
"KL104","Southern Asia",0.0114996397922831,0.0107214225301438,0.00387175686417474,0.0234608926894614
"KL104","Western Africa",0.00442680849823064,0.0021302118802126,5.71514061978249e-05,0.0223360477790358
"KL105","Eastern Africa",0.00178375807092929,0.00151135496417998,0.000260332567163313,0.0048654101759998
"KL105","Southern Africa",0.000840037469353391,0.000300952785327587,4.18311398494102e-06,0.0049907530214887
"KL105","Southern Asia",0.00409967285563359,0.00335031963741825,0.000520663684461807,0.0116183914881236
"KL105","Western Africa",0.00201358069004338,0.000630699795139403,8.36933573816432e-06,0.0126017509281406
"KL106","Eastern Africa",0.00230845016106868,0.00201742201406374,0.000404938297170845,0.00587467858854135
"KL106","Southern Africa",0.00053972229177818,0.000133431962837731,1.20523795604363e-06,0.00375574676340514
"KL106","Southern Asia",0.000610379309613419,0.000246429550767524,3.51867205914158e-06,0.00338517683126653
"KL106","Western Africa",0.00122645598740166,0.000270703474856329,2.2528401673541e-06,0.00846434697814786
"KL108","Eastern Africa",0.0356485328844693,0.0353873241621385,0.025358629290632,0.0477221775665658
"KL108","Southern Africa",0.00422727780661243,0.00306858254076755,0.000259794722992876,0.0145395702544963
"KL108","Southern Asia",0.00150694638722264,0.000974530514575594,4.81530618071269e-05,0.00599298507328594
"KL108","Western Africa",0.0117503357832591,0.00836151901528851,0.000612233211021689,0.0420388455918561
"KL109","Eastern Africa",0.000873315498760818,0.000630415475076012,4.37583344144809e-05,0.0030541464419645
"KL109","Southern Africa",0.00056804812112029,0.000164356289303111,2.0622719371275e-06,0.00374678977020028
"KL109","Southern Asia",0.00187103773820238,0.00126875393035274,7.23590931201921e-05,0.0068808112052841
"KL109","Western Africa",0.00136517462924838,0.000327396326337162,3.62574844960203e-06,0.0100517214165164
"KL11","Eastern Africa",0.000228310365751529,8.1785278465616e-05,6.80911251596762e-07,0.00132355152054104
"KL11","Southern Africa",0.00034638476506478,6.49576170377824e-05,3.05836584278168e-07,0.00266486300314972
"KL11","Southern Asia",0.00143303621371478,0.000872508790696021,2.28364376874303e-05,0.00587956414889369
"KL11","Western Africa",0.000779099923905749,0.000122563298437216,6.3923830576382e-07,0.00626116823035451
"KL110","Eastern Africa",0.00284473957379987,0.00255459952517176,0.000663325587274615,0.00669025661740792
"KL110","Southern Africa",0.00695345750848522,0.00568172683635908,0.000860997025464961,0.0199867417768641
"KL110","Southern Asia",0.00474267094349893,0.00402130648583846,0.000716078891719241,0.0128220559931479
"KL110","Western Africa",0.00335364583926421,0.00139903597313999,2.94148566697306e-05,0.0187492313608533
"KL111","Eastern Africa",0.00252307333378981,0.00224487508572804,0.000512321360546498,0.00612277622420141
"KL111","Southern Africa",0.000781237420975382,0.000275017605883521,4.07174155952481e-06,0.00474418138886357
"KL111","Southern Asia",0.00216436558778715,0.00156825517776569,0.000108093087590312,0.0074565841740431
"KL111","Western Africa",0.00184475377016671,0.000548787849813912,8.70596378539516e-06,0.0121002834478269
"KL112","Eastern Africa",0.00388094585009374,0.00360482475124045,0.00116746401829345,0.00824339881264468
"KL112","Southern Africa",0.00428210602138092,0.00319150689134551,0.00027084222699916,0.014327203806501
"KL112","Southern Asia",0.0455653799637197,0.044860180040261,0.0280742240576677,0.0670113840264178
"KL112","Western Africa",0.00432399310100095,0.00212380844400859,5.96251374683675e-05,0.0214951186544119
"KL113","Eastern Africa",0.000644557428211764,0.000407502801838578,1.2610460070182e-05,0.00267162384231283
"KL113","Southern Africa",0.000322106188749725,5.56195154293138e-05,2.29482392444557e-07,0.00246171972044248
"KL113","Southern Asia",0.000392786811480226,0.000110895074673516,6.43289346688781e-07,0.00253856327410925
"KL113","Western Africa",0.000727733654619424,0.000104249762182986,4.21108325874098e-07,0.00584287001026225
"KL114","Eastern Africa",0.000224647295621692,7.66322813100197e-05,5.88342205528087e-07,0.00131552757867112
