"locus","mean","median","lower","upper","subgroup"
"KL10",0.0201145290071858,0.0199027297990141,0.0137158504331581,0.0276463409186083,"Global"
"KL102",0.0715809744296568,0.0713289415520943,0.0596341574345908,0.0847773537528935,"Global"
"KL104",0.0402141276928749,0.0400144561755653,0.0311747527570071,0.0500586680957272,"Global"
"KL105",0.00253822570609838,0.00232083588793642,0.000679762681873056,0.00554362754936295,"Global"
"KL106",0.00188791933758402,0.0016706611856877,0.000413856886432248,0.00456099299780612,"Global"
"KL108",0.0257771575739593,0.0255902558890686,0.0186916053448357,0.03384428370377,"Global"
"KL109",0.00126035222912241,0.00105428395020025,0.000155313883433269,0.00351445631898626,"Global"
"KL11",0.000632189298898813,0.000435895334640443,1.56533208238208e-05,0.00236214239777717,"Global"
"KL110",0.00439482032188592,0.00418485722012307,0.00176559388204122,0.00819105757896888,"Global"
"KL111",0.00251356242879002,0.00230277095915624,0.00069302097008616,0.00554127317040251,"Global"
"KL112",0.0175921814849493,0.0174143081683991,0.0118217444630364,0.0244505401982682,"Global"
"KL113",0.000622104442145251,0.000425423048890416,1.55464555529211e-05,0.00229997332125399,"Global"
"KL114",0.000627782921983725,0.00042874742225047,1.50780361350657e-05,0.00231469024885589,"Global"
"KL116",0.0037659155064701,0.00357667610358871,0.00139909818400908,0.00721492352661423,"Global"
"KL117",0.00375331876606923,0.00356483681845066,0.00137513827814725,0.00733781312173137,"Global"
"KL118",0.00125684827848643,0.00106151832822016,0.000152652246844116,0.00348798000956071,"Global"
"KL12",0.00125079782307379,0.00105483612509831,0.000140231447897872,0.00342253704112693,"Global"
"KL122",0.0176494039038739,0.0174383550436175,0.0117622464958806,0.0246889320908204,"Global"
"KL123",0.000632549425423051,0.000439537734715508,1.34408130074334e-05,0.00233773990200645,"Global"
"KL124",0.00189005880342802,0.00169416207452738,0.000394364147899686,0.00449844883948705,"Global"
"KL125",0.00188794691762403,0.00168700915468959,0.000416965011998086,0.00447517861222153,"Global"
"KL127",0.00125831617266324,0.001057039623175,0.000153939381913929,0.00348808112008319,"Global"
"KL128",0.00187415625668954,0.00167337422649745,0.000387533199826153,0.0044708872479225,"Global"
