"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.011475921592641,0.0110733373352105,0.00533612920394227,0.019762802087562
"KL10","Southern Africa",0.0123208473589955,0.0110280026294172,0.0028404580654642,0.0292318220151392
"KL10","Southern Asia",0.0390422263820547,0.0384953831337428,0.0234466714896059,0.0583160812676883
"KL10","Western Africa",0.0148439894301536,0.0112596753455181,0.00114088362983567,0.0493122542765536
"KL102","Eastern Africa",0.0543366810261879,0.053941929862531,0.0396242872221847,0.0709929946118856
"KL102","Southern Africa",0.12839058986736,0.127504046510236,0.0893801474832562,0.173752708932737
"KL102","Southern Asia",0.062868625627647,0.0622221531815374,0.0430271349113147,0.0863350864369893
"KL102","Western Africa",0.129316196852724,0.126573383708924,0.0650361232799826,0.209283882202506
"KL104","Eastern Africa",0.0732276141593338,0.072838847454089,0.056085652033749,0.0920829283227997
"KL104","Southern Africa",0.0018466919985729,0.00101085762382289,3.34399032295371e-05,0.00864083090160819
"KL104","Southern Asia",0.0103149636153539,0.0096830967695922,0.00343588713814961,0.0207934161578818
"KL104","Western Africa",0.0046499834793781,0.00237308867170581,7.22241387898102e-05,0.0219106986712244
"KL105","Eastern Africa",0.00235730477449559,0.00196487464304653,0.000306480998806636,0.00659596638036862
"KL105","Southern Africa",0.000873239157815089,0.000325748858822842,6.36054723204242e-06,0.00504291988261717
"KL105","Southern Asia",0.00372943773475439,0.00308824414161434,0.000491185975478893,0.0105013757656724
"KL105","Western Africa",0.00208999861798592,0.000706968809886146,1.32585935064362e-05,0.0125657746455178
"KL106","Eastern Africa",0.00308034038682236,0.00265797562879548,0.000578993775079297,0.00785039589766196
"KL106","Southern Africa",0.00057968204472319,0.000169851454044256,2.2534324860201e-06,0.00386694633567243
"KL106","Southern Asia",0.00065311239170382,0.000287018673882888,5.64862504621287e-06,0.00341907119668108
"KL106","Western Africa",0.00134269156746107,0.000330455523690992,4.24883944331846e-06,0.00920786647132292
"KL108","Eastern Africa",0.0482160641382361,0.0478540139327589,0.0346326732748923,0.0637719604600219
"KL108","Southern Africa",0.00434658518480016,0.00326344850642738,0.000303658075723284,0.0143943349648219
"KL108","Southern Asia",0.00154964056454644,0.00105659377299827,6.91139097371063e-05,0.00579369883849543
"KL108","Western Africa",0.0118193774233914,0.00851360791566926,0.000726723852979322,0.0418318018023305
"KL109","Eastern Africa",0.00114177091865452,0.000810089534254595,5.77149183066202e-05,0.00408705956605984
"KL109","Southern Africa",0.000601712010307505,0.000180610670814571,2.56670022543683e-06,0.00386237599181461
"KL109","Southern Asia",0.00175928627462453,0.00122712700301797,7.61986626833396e-05,0.00642759842487022
"KL109","Western Africa",0.00139906675501583,0.000367694011935784,5.04881881847335e-06,0.00946624718205454
"KL11","Eastern Africa",0.000293839361806854,0.000104979690834539,9.12549095461788e-07,0.00176603845143269
"KL11","Southern Africa",0.000338338071423259,6.92137221318686e-05,3.98619545853414e-07,0.00249740324575499
"KL11","Southern Asia",0.00131191336635668,0.000783247460461356,2.02045069189108e-05,0.00555663174552882
"KL11","Western Africa",0.000780844451696136,0.000132635219032969,7.62079324562087e-07,0.00605644367974669
"KL110","Eastern Africa",0.00382773914859798,0.00342182651953419,0.000879134139174766,0.0090827120187787
"KL110","Southern Africa",0.00679216922005936,0.00561544794352214,0.000802937380255532,0.0198130413641619
"KL110","Southern Asia",0.00429333772844832,0.00368826215877782,0.000722798168250228,0.011333831166967
"KL110","Western Africa",0.00346291380919585,0.00157042969463975,4.34667436995184e-05,0.018101782018065
"KL111","Eastern Africa",0.00335235279668114,0.00294552154447336,0.000668813108480885,0.00832759058558314
"KL111","Southern Africa",0.000809286944167708,0.000305872345697788,6.22997136460344e-06,0.00461234433298705
"KL111","Southern Asia",0.00206650903761317,0.00151910836089018,0.000115824867716783,0.00722416994093212
"KL111","Western Africa",0.00191170660528879,0.00062276221691916,1.11931754003214e-05,0.0119148645143939
"KL112","Eastern Africa",0.00524247705192526,0.00486058106712201,0.00156029680652184,0.0111268151901437
"KL112","Southern Africa",0.00436251401266461,0.00323538857401554,0.000295399039434208,0.0148947122115439
"KL112","Southern Asia",0.046527219508481,0.0459849561656821,0.0296809584378197,0.0670186640388569
"KL112","Western Africa",0.00469728089699631,0.00241499456799537,8.39052634647475e-05,0.0230432433450139
"KL113","Eastern Africa",0.00082316116924717,0.000505608105632152,1.32997080530112e-05,0.00345264349970487
"KL113","Southern Africa",0.000334427609229933,6.23640389699519e-05,3.62400843592579e-07,0.0025733192563181
"KL113","Southern Asia",0.000411778305719011,0.000134219914482413,1.09466906003872e-06,0.00253371750490194
"KL113","Western Africa",0.000753738467740882,0.000120074067772982,7.05600944748251e-07,0.00581322436332881
"KL114","Eastern Africa",0.000284371469803666,0.00010181794929731,9.12277581387329e-07,0.00163379295280755
"KL114","Southern Africa",0.000343197961846296,6.48866345086181e-05,4.00884756817956e-07,0.00257802648378856
"KL114","Southern Asia",0.00130804409176924,0.000776644039600071,2.01286917159723e-05,0.00560684073384294
"KL114","Western Africa",0.000796959779342104,0.000126450377701509,7.19186657355061e-07,0.00622663183023037
"KL116","Eastern Africa",0.000679520905971498,0.000409440169697091,1.80162459247856e-05,0.00286209089212133
"KL116","Southern Africa",0.00100807503235268,0.000426907179604265,9.537562928599e-06,0.00545859826467209
"KL116","Southern Asia",0.00102065825576991,0.000584973274194779,2.09874649957055e-05,0.00443008090033193
"KL116","Western Africa",0.062098333073231,0.0582556464476033,0.0202335944002626,0.126236235037552
"KL117","Eastern Africa",0.00243881148709205,0.00206752016328138,0.000373836706106661,0.00657516993107528
"KL117","Southern Africa",0.00101089165544862,0.000418263423472128,8.9606624146362e-06,0.00548679409120308
"KL117","Southern Asia",0.00748301196042128,0.00685402384594968,0.00201217211825604,0.016597128638757
"KL117","Western Africa",0.00243777691655444,0.000908506465928114,1.63874070917398e-05,0.0138643647361719
"KL118","Eastern Africa",0.0019147945806616,0.00154897686953882,0.000185571871010709,0.00574980462595209
"KL118","Southern Africa",0.000509341621518927,0.000129028415872103,1.41376724462438e-06,0.00351257600076479
"KL118","Southern Asia",0.000563846533400084,0.000237083167816953,3.72979806926295e-06,0.00297453865389282
"KL118","Western Africa",0.00111034979507367,0.000256581631912599,2.65895305750809e-06,0.00802599518117476
"KL12","Eastern Africa",0.000493719316937945,0.000252932118006787,7.20568477287481e-06,0.00238714745660724
"KL12","Southern Africa",0.00236330147793943,0.00142107025818216,5.61492232922658e-05,0.0099297470548385
"KL12","Southern Asia",0.00189721513236529,0.00136601613191845,9.08385419354321e-05,0.0067428467677625
"KL12","Western Africa",0.00158669781572469,0.000482503641984505,7.00727479460536e-06,0.0103062268925698
"KL122","Eastern Africa",0.0226066199015301,0.0222117693823042,0.0134770555766865,0.0341297107231684
"KL122","Southern Africa",0.00856692726181475,0.00742781337958062,0.00140787812205738,0.0225815109345587
"KL122","Southern Asia",0.0128131237686779,0.0121671066698555,0.00488927746739198,0.0242203016442799
"KL122","Western Africa",0.0249090058491084,0.0212946791146782,0.00386686758910853,0.0661028247508812
"KL123","Eastern Africa",0.000841167668219529,0.000519037487246302,1.25600129713827e-05,0.00347910258316431
"KL123","Southern Africa",0.0003342906143589,6.40567492835631e-05,3.2305199343832e-07,0.00261828734413451
"KL123","Southern Asia",0.000417062526955136,0.000134292042453122,1.00166901131034e-06,0.00256597958243445
"KL123","Western Africa",0.000750954413207293,0.000120829507884634,6.83726978036558e-07,0.00562036397035253
"KL124","Eastern Africa",0.00127370502761154,0.000937732179385388,7.7228548329256e-05,0.00433392780142342
"KL124","Southern Africa",0.000738295505118979,0.000262669109522076,4.44055826366993e-06,0.00457792234128019
"KL124","Southern Asia",0.00349857969217085,0.00292714418815739,0.000432818346542461,0.00984248226950252
"KL124","Western Africa",0.0017428725981334,0.000545945717310549,7.90911798893752e-06,0.0110772610706521
"KL125","Eastern Africa",0.000576147068329327,0.000314532060216663,1.10380052753974e-05,0.00258062517009979
"KL125","Southern Africa",0.00268993982737956,0.00169024227072283,8.69549968425375e-05,0.0110206346331851
"KL125","Southern Asia",0.00364095233590631,0.00301016166621567,0.000499435468573107,0.010212781888932
"KL125","Western Africa",0.00198081476045849,0.000653111772822537,1.04701737872219e-05,0.0123924142355101
"KL127","Eastern Africa",0.000520390775554578,0.000278381548063469,7.39925163853825e-06,0.00241169977903778
"KL127","Southern Africa",0.000705911165063926,0.00024940838931846,3.97665680041921e-06,0.00427950471326184
"KL127","Southern Asia",0.0019374894179875,0.00139791288244316,0.000102886457362893,0.00694539825090363
"KL127","Western Africa",0.00639991588665976,0.00360696717008296,0.00013686330957369,0.028828268203409
"KL128","Eastern Africa",0.000441624291916803,0.000225465738687856,5.33726326517812e-06,0.00215872077178744
"KL128","Southern Africa",0.000592595391995412,0.000180022939578122,2.23387021966443e-06,0.00386427656711397
"KL128","Southern Asia",0.00494893378856073,0.00433474363883513,0.000853905814888508,0.0125783945873359
"KL128","Western Africa",0.00137194082813187,0.000368372822776383,4.34832659241507e-06,0.00927636283654109
"KL13","Eastern Africa",0.00229639791922632,0.00191974047983041,0.00030831968460029,0.00634920389368323
"KL13","Southern Africa",0.000829782188585607,0.000306041783178574,5.79328871250925e-06,0.00487150129936405
"KL13","Southern Asia",0.000878098685901039,0.000465875068002522,1.41792696228109e-05,0.00420312440103786
"KL13","Western Africa",0.00722963622237402,0.00428167469070782,0.000172781463186929,0.0310901116402912
"KL131","Eastern Africa",0.000390864361206035,0.000172871809088797,2.8794224396129e-06,0.0020782368401147
"KL131","Southern Africa",0.000496960642617806,0.000133205357163573,1.55624589767687e-06,0.00337604295240997
"KL131","Southern Asia",0.00305976533974981,0.00245156287674245,0.000288059425093633,0.00915360994594824
"KL131","Western Africa",0.00116616209831951,0.000258314740455288,2.45251122621757e-06,0.00820699638890768
