"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.270116045806781,0.269879668004989,0.240031346449667,0.301324636682872,"Global"
"O1.v2",0.216768942517842,0.216387084085041,0.189097892663117,0.245810788602726,"Global"
"O1.v3",0.00125178245540888,0.000878052770531094,3.10223207333884e-05,0.00457796902950097,"Global"
"O12",0.00249822603665645,0.00210452720809656,0.000284158671173988,0.00699675141792212,"Global"
"O2a.v1",0.0596387693636907,0.0592425027304056,0.0444139434901406,0.0770249143458619,"Global"
"O2a.v3",0.00124947314706969,0.000877920963330813,2.98767930104657e-05,0.0045785405823809,"Global"
"O2afg.v2",0.159388470792051,0.159144983815555,0.135218975320191,0.185188625855181,"Global"
"O3/O3a",0.0273740272374191,0.0269324858385924,0.0172519724191395,0.03992112293246,"Global"
"O3b",0.0597430062440153,0.0594357406036181,0.0445778646201558,0.0770819178981252,"Global"
"O4",0.0909419088425588,0.0905275794041244,0.072398767752751,0.11193709362995,"Global"
"O5",0.0547363219462294,0.0543576588695664,0.0402047718385467,0.0711489361982149,"Global"
"OL102",0.00124608357871963,0.000865984907122039,2.9775498699412e-05,0.00454138808444936,"Global"
"OL103",0.00123676823537484,0.000857989812341418,3.08612861986113e-05,0.00443356901953953,"Global"
"OL104",0.00373425085701113,0.00332273703460599,0.000787938451000294,0.00894018510848735,"Global"
"OL13",0.0498218518310988,0.0494841838179923,0.0357241601401348,0.0660763047148869,"Global"
