"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.288728372463268,0.28834673629012,0.243408731149597,0.336599248085856
"O1.v1","Southern Africa",0.274053419535417,0.273230515909893,0.208686086669389,0.344457847683805
"O1.v1","Southern Asia",0.222338186270633,0.221207605529912,0.167832052432545,0.283173667569576
"O1.v1","Western Africa",0.298525250377153,0.296396198291912,0.195177395620016,0.418429902811985
"O1.v2","Eastern Africa",0.22235725466182,0.222028258605355,0.181010270960718,0.265898880797816
"O1.v2","Southern Africa",0.227405115222816,0.22613460146642,0.165875469461549,0.296174297027915
"O1.v2","Southern Asia",0.173586831073654,0.172485164129007,0.124494596548425,0.230234336164577
"O1.v2","Western Africa",0.256977113371391,0.253972577658178,0.1596704802019,0.369121042600043
"O1.v3","Eastern Africa",0.00137669815797734,0.00088876183237935,3.04172614481607e-05,0.00556886315830102
"O1.v3","Southern Africa",0.00110335504769492,0.000625681146118182,1.88706654754061e-05,0.00506101466926301
"O1.v3","Southern Asia",0.00148288519428008,0.000883210240105137,2.60940826383566e-05,0.00647312406615191
"O1.v3","Western Africa",0.00129691261855353,0.000708288808098546,2.11148399674637e-05,0.00618932422686236
"O12","Eastern Africa",0.00246481359045308,0.00190747356641407,0.000246723347640864,0.00780423666124672
"O12","Southern Africa",0.00210458089170493,0.00146141183725364,0.000151633491883278,0.00770265005331027
"O12","Southern Asia",0.00354691900724919,0.00265794260979204,0.000333346433702043,0.011729971905941
"O12","Western Africa",0.00260481681073898,0.00171319148243531,0.00016043359643506,0.010398505324882
"O2a.v1","Eastern Africa",0.0525765102520528,0.0518505412467018,0.0330383035750688,0.076744224885947
"O2a.v1","Southern Africa",0.0343276059713934,0.0327332929838736,0.013894961753197,0.0639034312735385
"O2a.v1","Southern Asia",0.0867432042953258,0.0853253316032162,0.0525763566711146,0.129571528598176
"O2a.v1","Western Africa",0.0540746378195821,0.0502631815399806,0.0189432769370451,0.11086995536498
"O2a.v3","Eastern Africa",0.00137231792123502,0.000894082052396584,2.8425398731747e-05,0.0054987379098836
"O2a.v3","Southern Africa",0.00109469578414316,0.00061374244230646,1.63264811607995e-05,0.00501615194613148
"O2a.v3","Southern Asia",0.0014741845401029,0.000866026957574286,2.63591974983118e-05,0.00639938665765884
"O2a.v3","Western Africa",0.00131710739835877,0.000678462291972797,1.82738470906684e-05,0.00645496521282213
"O2afg.v2","Eastern Africa",0.196941176273512,0.196323103898218,0.158383868062698,0.24041974052209
"O2afg.v2","Southern Africa",0.184205076671349,0.183319725074229,0.128516542116525,0.247803971025443
"O2afg.v2","Southern Asia",0.105629820263255,0.104119481933743,0.0663588163295005,0.152182192297499
"O2afg.v2","Western Africa",0.146869228763951,0.142984347860002,0.0768083751320686,0.238577648564851
"O3/O3a","Eastern Africa",0.0157929124595828,0.0150764662072756,0.00658128944230045,0.0291207046742957
"O3/O3a","Southern Africa",0.0249342757522763,0.0233003183198004,0.00929081212078758,0.0497569498805385
"O3/O3a","Southern Asia",0.0434061312590065,0.0418794384231662,0.0211938539803766,0.0736000973189397
"O3/O3a","Western Africa",0.0301868033220511,0.0267917546029662,0.00829820610763318,0.0711559559139757
"O3b","Eastern Africa",0.0650535329930318,0.0641825993764027,0.0428696697239353,0.0913703719827848
"O3b","Southern Africa",0.0352837497088326,0.0337200703763821,0.0140956097774055,0.0654746707561814
"O3b","Southern Asia",0.0834451894424392,0.0819396716481464,0.0500751662859786,0.12464288404204
"O3b","Western Africa",0.0559358005403775,0.0521849735557506,0.0194392084357847,0.114613606313082
"O4","Eastern Africa",0.0730594357260832,0.072381479997619,0.0496392190447593,0.10085802635841
"O4","Southern Africa",0.0729323895754035,0.0712845973832843,0.0400432493896185,0.114886665757654
"O4","Southern Asia",0.144471154725817,0.143543729796654,0.0983820620042247,0.197298606300855
"O4","Western Africa",0.058538997884313,0.054948866628258,0.0197923560458786,0.117342872106099
"O5","Eastern Africa",0.0341756730050639,0.0334300686580649,0.018919433637093,0.0539587350672133
"O5","Southern Africa",0.120653145476205,0.118726971752043,0.0750123334810278,0.175518672927688
"O5","Southern Asia",0.0528376235077531,0.0514825589433056,0.0278026069021778,0.0859491261324335
"O5","Western Africa",0.0316778804894654,0.0288053678370287,0.00797168361068238,0.0708636115619923
"OL102","Eastern Africa",0.00109181176060657,0.000685236704733021,2.40628073705518e-05,0.00446514745780544
"OL102","Southern Africa",0.00112953960640035,0.000647244089615392,1.9506913615616e-05,0.00506643614523215
"OL102","Southern Asia",0.00198490368175612,0.00123499465593825,4.38800402745558e-05,0.00816325917574672
"OL102","Western Africa",0.00134679465165128,0.000738493495415508,2.39729973814204e-05,0.00628929509332278
"OL104","Eastern Africa",0.00352809130931822,0.00299597661015956,0.000571397451173146,0.0096783951819152
"OL104","Southern Africa",0.00316478482248729,0.00245036091303532,0.000378497105580937,0.0101499384434778
"OL104","Southern Asia",0.00517822340753222,0.00419786525090493,0.000764162459065726,0.0153122113903591
"OL104","Western Africa",0.00543643180901744,0.0039592002545094,0.000595303769877627,0.0187740477547495
"OL13","Eastern Africa",0.0413237066151684,0.0404742956391181,0.0244171411585542,0.0622578016768971
"OL13","Southern Africa",0.0173881230288438,0.0158934542512842,0.00443039588030655,0.0381890052023562
"OL13","Southern Asia",0.0740440372145523,0.0726246817310863,0.0426363697168329,0.113814509716815
"OL13","Western Africa",0.0547536896738024,0.0506504187513964,0.019272330765111,0.111585849310438
