"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.273096223155369,0.27279363674457,0.241004796014005,0.307291338849115,"Global"
"O1.v2",0.214374817041054,0.214250831533045,0.184048987523628,0.245481623900107,"Global"
"O1.v3",0.00141300039541628,0.000987939887244475,3.33073868401861e-05,0.00512843852615051,"Global"
"O12",0.00278923688514886,0.00235094874545279,0.000317525166906769,0.00773888451670693,"Global"
"O2a.v1",0.0546497471643803,0.0543714372172104,0.0390930396853169,0.0723391726160916,"Global"
"O2a.v3",0.00138132344950554,0.000982914600562859,3.22092665882442e-05,0.00506321449472482,"Global"
"O2afg.v2",0.173683400328733,0.173464048492459,0.14711423719145,0.201939880244838,"Global"
"O3/O3a",0.0224519315054365,0.0219963960241743,0.0129354971690482,0.0347955932047822,"Global"
"O3b",0.0657141940262652,0.0652158503873022,0.0492632056132104,0.0847892245843628,"Global"
"O4",0.0883693693342556,0.0879399191560566,0.068921220207995,0.110098706043534,"Global"
"O5",0.0546186506974686,0.0542407926098882,0.039344693552645,0.0720199535233614,"Global"
"OL102",0.00138983720140167,0.000968290544436244,3.5509952362264e-05,0.00498371904716874,"Global"
"OL103",0.00140618030688619,0.00095875597664561,3.65014629155127e-05,0.00527078848297562,"Global"
"OL104",0.0042124512896561,0.00374599432518255,0.00088693071984904,0.0099901530525497,"Global"
"OL13",0.0405208327412655,0.0401706256345224,0.027243911500268,0.0563632654869298,"Global"
