"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.288289375468735,0.287813777612351,0.243643532368379,0.335480230046204
"O1.v1","Southern Africa",0.274351847392009,0.273426838470528,0.209099420998388,0.346257833066335
"O1.v1","Southern Asia",0.225839169147498,0.224491207713379,0.164370381045269,0.293739323519257
"O1.v1","Western Africa",0.298502770554312,0.296350972509397,0.194968981136531,0.414268520014838
"O1.v2","Eastern Africa",0.222259221889546,0.221827157121675,0.180508632051223,0.265769226824981
"O1.v2","Southern Africa",0.22733235040861,0.226308764701285,0.166189508784248,0.294509286046658
"O1.v2","Southern Asia",0.166836198115526,0.165199407930431,0.113057270949286,0.227828817049876
"O1.v2","Western Africa",0.256123277782768,0.253417693413,0.160269436856328,0.367562463016608
"O1.v3","Eastern Africa",0.00143218897995331,0.000935617237137372,2.98179982734533e-05,0.00564605963889299
"O1.v3","Southern Africa",0.0011658263289127,0.000665811144338768,1.92726469741802e-05,0.00514683517631241
"O1.v3","Southern Asia",0.00161149767722807,0.000962374168154239,2.85705704856143e-05,0.00702219298175562
"O1.v3","Western Africa",0.00142860925365796,0.00074976388772698,2.06256667568243e-05,0.00666759772715741
"O12","Eastern Africa",0.00256273050526513,0.00199290605003132,0.000242864550341349,0.00805825029120118
"O12","Southern Africa",0.00221643776768718,0.00157831778695654,0.000140944355090241,0.00811873637038913
"O12","Southern Asia",0.00392784378550844,0.00289174476964899,0.000335264225611945,0.0133255585857493
"O12","Western Africa",0.00275571013899246,0.00179414327208285,0.000162614323746443,0.0110288428432428
"O2a.v1","Eastern Africa",0.0524661244970874,0.0518447107006359,0.0329882441556633,0.0761105643451639
"O2a.v1","Southern Africa",0.0339321475795526,0.0323142018517834,0.0139105994475941,0.0630336035655776
"O2a.v1","Southern Asia",0.081327353289679,0.0797284274110467,0.0464862793507485,0.127010686479998
"O2a.v1","Western Africa",0.0535100155679741,0.0495380431841886,0.0189622371163648,0.109183728403093
"O2a.v3","Eastern Africa",0.00139901868405454,0.000925744870402,2.91369552115731e-05,0.00555292779488107
"O2a.v3","Southern Africa",0.00115333973998702,0.000648188889672785,1.79282275030419e-05,0.00523945091685249
"O2a.v3","Southern Asia",0.00157447633046925,0.000948077776580987,2.73637206308503e-05,0.00678951434283225
"O2a.v3","Western Africa",0.00136847202533483,0.000739361666220918,2.11010868968694e-05,0.00644955804010339
"O2afg.v2","Eastern Africa",0.197435443238026,0.196875545812402,0.157980733532646,0.240244823947004
"O2afg.v2","Southern Africa",0.184723068074873,0.183517678839004,0.129627553727394,0.246731263535691
