"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.303157959655238,0.302959965155582,0.254569638910694,0.354238885553797
"O1.v1","Southern Africa",0.23948379883887,0.238089830034841,0.175883898034783,0.313026730259491
"O1.v1","Southern Asia",0.157978366794298,0.156577358162757,0.106305707545101,0.216281045742153
"O1.v1","Western Africa",0.155915809062589,0.146717477238068,0.0470552786273637,0.316659740839556
"O1.v2","Eastern Africa",0.203836410619868,0.203085471241094,0.161774085647964,0.24992700449164
"O1.v2","Southern Africa",0.235701411710873,0.234926005819606,0.170084853783464,0.307063979395053
"O1.v2","Southern Asia",0.200957975524788,0.199825721355559,0.145049821090828,0.265367225532673
"O1.v2","Western Africa",0.385114712585308,0.379775791624433,0.198552633205467,0.600256998216811
"O1.v3","Eastern Africa",0.00165075474425118,0.00105513217571168,3.22818255937668e-05,0.00660392775358371
"O1.v3","Southern Africa",0.00121005080006366,0.000612064240763188,1.53797408859431e-05,0.00609429103694281
"O1.v3","Southern Asia",0.00160423360841191,0.000919879507263532,2.4318315638275e-05,0.0072477431815317
"O1.v3","Western Africa",0.00157114747493542,0.000699806783645668,1.61969206228163e-05,0.00859402918980899
"O2a.v1","Eastern Africa",0.0518750057199298,0.051032248603306,0.0314573409120053,0.0766353912271461
"O2a.v1","Southern Africa",0.0333222987721751,0.0315356447174772,0.0124439335404925,0.0652474891752468
"O2a.v1","Southern Asia",0.104908006024054,0.10333088539202,0.0634567607082586,0.155997490488525
"O2a.v1","Western Africa",0.0396168444265796,0.0319926452659253,0.00532511846048817,0.11652927785173
"O2a.v3","Eastern Africa",0.00165346922026173,0.00104879011857676,3.75121498610201e-05,0.00670193440960548
"O2a.v3","Southern Africa",0.00122032380641288,0.000628659449870348,1.64785658655946e-05,0.00606860553085193
"O2a.v3","Southern Asia",0.00163397058874261,0.000905779809330033,2.56360755594614e-05,0.00763853519165197
"O2a.v3","Western Africa",0.00163653562531744,0.000688673021027105,1.67911523764398e-05,0.0092305722405862
"O2afg.v2","Eastern Africa",0.194361847212753,0.193672764219387,0.154184667071458,0.237986791050965
"O2afg.v2","Southern Africa",0.195284970947029,0.194014758170786,0.134851341048056,0.263000459337759
"O2afg.v2","Southern Asia",0.0982163895721261,0.0966239993096643,0.058446088357617,0.147226169112583
"O2afg.v2","Western Africa",0.166581566743259,0.156881867893467,0.0558840424838919,0.336371705867501
"O3/O3a","Eastern Africa",0.0159335148761477,0.0149503167307328,0.0059819871895002,0.0312995364714999
"O3/O3a","Southern Africa",0.0271914955663913,0.0251800902794344,0.00926973841279694,0.055979814680846
"O3/O3a","Southern Asia",0.0462627963599842,0.0444580067379704,0.0214862322538961,0.0810931152214099
"O3/O3a","Western Africa",0.0374082859738932,0.0295586487596512,0.00541108960790905,0.11455642505417
"O3b","Eastern Africa",0.0655547734481756,0.0648044660812634,0.0419839280937121,0.094123696561608
"O3b","Southern Africa",0.0286111402748122,0.0268169718442125,0.00959737977278323,0.0588188777589865
"O3b","Southern Asia",0.0728646256292054,0.0712730777043986,0.0397650163832459,0.115986825180211
"O3b","Western Africa",0.0555027296961689,0.0467993168321882,0.0100118236286845,0.153060937152542
"O4","Eastern Africa",0.0743558191257102,0.0734458008566886,0.0491955937656597,0.10421266719138
"O4","Southern Africa",0.0782616371104961,0.0763066929124737,0.0416938251543691,0.126705166019597
"O4","Southern Asia",0.167815324850291,0.166514965116127,0.115546530959128,0.228619686747457
"O4","Western Africa",0.0572033754978304,0.0486268556971434,0.00899345327036286,0.15662284675032
"O5","Eastern Africa",0.0368033546049628,0.0359385710425101,0.0199770344188068,0.0584933433889556
"O5","Southern Africa",0.140845462248423,0.138520826414541,0.0897992650949257,0.201945673079316
"O5","Southern Asia",0.0541569365920236,0.0524426271737601,0.0263945350608368,0.0918317019785183
"O5","Western Africa",0.0442382728581837,0.0365127175471961,0.00588539565542814,0.127036344422415
"OL102","Eastern Africa",0.00118510907995337,0.00070467188954711,1.8158288427675e-05,0.00524596279528994
"OL102","Southern Africa",0.00125469052548066,0.000660927425161559,1.54061166465803e-05,0.00618125803900409
"OL102","Southern Asia",0.00254090929186605,0.00152369022953662,4.67337367861887e-05,0.0107720187984263
"OL102","Western Africa",0.00167472735438396,0.000721589619900945,1.62782817169823e-05,0.00925776531562532
"OL103","Eastern Africa",0.00117787839939602,0.000691197262427517,1.84097110696434e-05,0.00532483145793
"OL103","Southern Africa",0.00125237068554494,0.000639276476936667,1.47815963736931e-05,0.00611357440742248
"OL103","Southern Asia",0.00253660197526163,0.00148099687466086,4.61516976891023e-05,0.0108018828735163
"OL103","Western Africa",0.00170144692751128,0.00069606899474432,1.53022105527411e-05,0.00949423452611841
"OL104","Eastern Africa",0.00312165203651658,0.00240631166561794,0.000299301899422401,0.00980264465556008
"OL104","Southern Africa",0.00254879948077617,0.00166093425490145,0.000139989113813005,0.0100674966079882
"OL104","Southern Asia",0.00330673906897275,0.00234706238843664,0.000225414492479572,0.0119185846203083
"OL104","Western Africa",0.00639074828561649,0.00343697188302209,0.000267936174417895,0.0310172771908634
"OL13","Eastern Africa",0.0446659954175824,0.043794115969401,0.0259929382836267,0.0684183946601345
"OL13","Southern Africa",0.013922662969593,0.0122223411004298,0.0024121368574155,0.0350457789553113
"OL13","Southern Asia",0.0854107901200979,0.0836815667372731,0.0486885556842386,0.131183162035506
"OL13","Western Africa",0.0458656862915748,0.0374242501926201,0.00707059633628548,0.134572555366406
