"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.28754996101527,0.287253247387883,0.243272495149792,0.33325756566776
"O1.v1","Southern Africa",0.285972521071722,0.28380732355236,0.192337717273071,0.391166488892636
"O1.v1","Southern Asia",0.216823951111653,0.216042060819454,0.164222082000569,0.27399697988679
"O1.v1","Western Africa",0.294657011949331,0.292190320565784,0.193363171522809,0.410444818364231
"O1.v2","Eastern Africa",0.221603694635509,0.220935811301833,0.181648048253128,0.264622924077343
"O1.v2","Southern Africa",0.237847607446882,0.234803261914939,0.152795368342907,0.339730855736416
"O1.v2","Southern Asia",0.184812724785893,0.183621668859038,0.13534426793562,0.239741220471405
"O1.v2","Western Africa",0.25398728635881,0.250597498944285,0.161630899520221,0.364992976240381
"O1.v3","Eastern Africa",0.00144015723958033,0.000960023294166476,3.0287106804645e-05,0.00563655052832776
"O1.v3","Southern Africa",0.0013713190862153,0.000780261015967532,2.2996208728496e-05,0.00624386947115301
"O1.v3","Southern Asia",0.00159062939106436,0.00100312333982435,3.37008485785468e-05,0.00669255295152241
"O1.v3","Western Africa",0.00142644231648864,0.00079920218460282,2.4503621697173e-05,0.00650731840410378
"O12","Eastern Africa",0.00266566095642852,0.0020924981675146,0.000268275008660597,0.00815030160963065
"O12","Southern Africa",0.00269208455454822,0.00187927673431443,0.000180070293606371,0.00987026246747054
"O12","Southern Asia",0.00372338101896371,0.00288722025929178,0.000354234676309611,0.0118283049885924
"O12","Western Africa",0.00284152611378607,0.00199352750584266,0.000200488536212606,0.0103103650294029
"O2a.v1","Eastern Africa",0.0528686979634482,0.052245420081646,0.0335092747628413,0.0769594163970878
"O2a.v1","Southern Africa",0.0390026348021266,0.0364880825667199,0.012104327309026,0.0797749575096721
"O2a.v1","Southern Asia",0.0898850256392055,0.0883554250987342,0.0562466991709441,0.131970334193168
"O2a.v1","Western Africa",0.0553571865540544,0.0518041355514742,0.0209169651089613,0.107786691912316
"O2a.v3","Eastern Africa",0.00146009014427701,0.000947939526840988,3.69824314181673e-05,0.00576091906688132
"O2a.v3","Southern Africa",0.00138080502392456,0.000769757381409068,2.65010092332937e-05,0.00621344157113315
"O2a.v3","Southern Asia",0.0016255430435723,0.00100011689962967,3.66365904225274e-05,0.00666005793220845
"O2a.v3","Western Africa",0.00144230152041313,0.000829097050617791,2.89325411484333e-05,0.00651201180609914
"O2afg.v2","Eastern Africa",0.195239271490543,0.194448610278565,0.156595650254363,0.23683680156047
"O2afg.v2","Southern Africa",0.171886724965522,0.168833602897572,0.100374368552015,0.260275850444182
"O2afg.v2","Southern Asia",0.107063707620841,0.106092792016232,0.0691267646391696,0.151657587196155
"O2afg.v2","Western Africa",0.146765330406689,0.143548953563036,0.076503678467741,0.237258838366022
"O3/O3a","Eastern Africa",0.0167147779575079,0.0159954751624278,0.0070384092878461,0.030134755384263
"O3/O3a","Southern Africa",0.0277295542408377,0.0250685860262208,0.00852364506048079,0.0615842207040143
"O3/O3a","Southern Asia",0.0439898119132397,0.0425603619916872,0.0220470682216654,0.0743376934835808
"O3/O3a","Western Africa",0.0299223105177751,0.0269103288901559,0.00913975929353221,0.0675861636162901
"O3b","Eastern Africa",0.0650691316702219,0.0644463116766458,0.0436999564811753,0.0907648391757464
"O3b","Southern Africa",0.0473381410042547,0.0447289471236612,0.0164870537085366,0.0943650362687561
"O3b","Southern Asia",0.083708657360661,0.0822740871648926,0.0524668427507188,0.12218822687445
"O3b","Western Africa",0.058531362944175,0.0551485018573698,0.0221372304048405,0.11455443053722
