"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.285725155373044,0.285419603097597,0.252134724036811,0.320217672437129,"Global"
"O1.v2",0.22496280419431,0.22477808290989,0.193849459333947,0.257609646777648,"Global"
"O1.v3",0.00151778914204763,0.00103049827624142,3.53914463490814e-05,0.00558592455845913,"Global"
"O12",0.00303216902648419,0.00256120519277894,0.000389668946634721,0.00833512904141852,"Global"
"O2a.v1",0.0532791032524025,0.0528715919517719,0.0375559602050051,0.0714927870548476,"Global"
"O2a.v3",0.00152516967118653,0.00105213615873553,3.93357911840637e-05,0.00557969050667105,"Global"
"O2afg.v2",0.177681499805923,0.177528117282333,0.14901723064564,0.207651426888765,"Global"
"O3/O3a",0.025861483945781,0.0254030899983924,0.0152247736948835,0.039109971527345,"Global"
"O3b",0.0576551161861921,0.0570973736470028,0.0410145249932697,0.0769089008227432,"Global"
"O4",0.0698033960650748,0.0693042753249249,0.051215057219611,0.0902113135838198,"Global"
"O5",0.0562824705410537,0.0559286248020847,0.0400250479318429,0.0750458640488418,"Global"
"OL103",0.00151979895164729,0.00105571157171212,3.72188882186318e-05,0.00557520435663084,"Global"
"OL104",0.00452124272302086,0.00403103150899453,0.000963569084992156,0.0108961995587195,"Global"
"OL13",0.0363890092134832,0.0358561510199929,0.0237744923953068,0.0517583396972022,"Global"
