"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.289042864494983,0.288501842818893,0.244481189220758,0.335516307705761
"O1.v1","Southern Africa",0.276530702019498,0.275261850685068,0.210982439392954,0.345905031847412
"O1.v1","Southern Asia",0.278358855081352,0.276778582127956,0.197068378921716,0.367221323573823
"O1.v1","Western Africa",0.301768260986439,0.299512236022195,0.196954615986671,0.417814496674417
"O1.v2","Eastern Africa",0.222685869176504,0.222011936847054,0.181585961640134,0.266650434962435
"O1.v2","Southern Africa",0.228756516460402,0.227540675574589,0.168028025256029,0.296660222716826
"O1.v2","Southern Asia",0.207401851018466,0.20534620110448,0.137951935868014,0.288744107422948
"O1.v2","Western Africa",0.259103490822786,0.256791096164608,0.162278186528281,0.370129764426426
"O1.v3","Eastern Africa",0.00153751657434876,0.00100376379406877,3.33486684416238e-05,0.00601230874769175
"O1.v3","Southern Africa",0.00129386778007406,0.000739395321101657,2.21255601395135e-05,0.00564201861298833
"O1.v3","Southern Asia",0.00179708104633968,0.00101410072694094,2.7329793269453e-05,0.00803500447761229
"O1.v3","Western Africa",0.00153153151227927,0.00083303615407127,2.43103922729513e-05,0.00725013415294952
"O12","Eastern Africa",0.00284689456278749,0.0022923647513168,0.00032041082441077,0.00842760139607338
"O12","Southern Africa",0.00254729900518831,0.00185493141800696,0.000206841338049633,0.0087691967663204
"O12","Southern Asia",0.00450615225615585,0.00332961257437871,0.000404639273872712,0.0155726979881759
"O12","Western Africa",0.00308032294145383,0.00216050003336475,0.000235695242206983,0.0112361613889445
"O2a.v1","Eastern Africa",0.0526605906579324,0.0519630174599756,0.0331420025229161,0.0762902715168204
"O2a.v1","Southern Africa",0.0355472400318481,0.0340341280607057,0.014561885203066,0.0650085326872426
"O2a.v1","Southern Asia",0.0838201395971535,0.0810963247129029,0.0422613598141231,0.140385152362886
"O2a.v1","Western Africa",0.0543562121188864,0.0509320076948079,0.0198645930028886,0.109159967089047
"O2a.v3","Eastern Africa",0.0015581406948369,0.00102977854543514,3.68110239507737e-05,0.00613620638334856
"O2a.v3","Southern Africa",0.00129153645464411,0.000759968737110486,2.45669095329573e-05,0.00552799769898967
"O2a.v3","Southern Asia",0.00177833717616469,0.00103257091737434,3.42987101024675e-05,0.00782329963747765
"O2a.v3","Western Africa",0.00152330494835845,0.000865546923253261,2.63731015925525e-05,0.00679067826616115
"O2afg.v2","Eastern Africa",0.196710841470767,0.196001363994277,0.157346757409799,0.239109923628936
"O2afg.v2","Southern Africa",0.183382795411229,0.181832474459774,0.129381401169369,0.246155333586376
"O2afg.v2","Southern Asia",0.111684390872233,0.109322120554009,0.0600287747526656,0.174782893897494
"O2afg.v2","Western Africa",0.149414260474155,0.145803989347156,0.0790604279753873,0.237531389987801
"O3/O3a","Eastern Africa",0.0170181039289178,0.0162803699328133,0.00725782301759402,0.0310145371121249
"O3/O3a","Southern Africa",0.0266299706987163,0.0249466477749807,0.0102959192073111,0.0514577806968403
"O3/O3a","Southern Asia",0.0551483269449075,0.0520652253658511,0.0233874210184849,0.103684604180519
"O3/O3a","Western Africa",0.0319534026265433,0.0286880915079109,0.00945361127770667,0.0729070751359296
"O3b","Eastern Africa",0.0641027951248585,0.0632437155710025,0.0420466653918734,0.0904719709653306
"O3b","Southern Africa",0.035497595949114,0.0340493521910385,0.0145808740862873,0.0645722229570482
"O3b","Southern Asia",0.0706581405506556,0.0680951113257542,0.0345136866555781,0.121900742672768
"O3b","Western Africa",0.0544148898393277,0.0510295904638901,0.0194703742839471,0.109217899212222
"O4","Eastern Africa",0.0709590049541755,0.070374626075876,0.0475106581852174,0.0980376653714218
"O4","Southern Africa",0.0688305460005028,0.0674724710637801,0.0379880282284611,0.108117117176777
"O4","Southern Asia",0.0765087502986987,0.0739675758437597,0.0380016462314488,0.128543132761612
"O4","Western Africa",0.0535931928802788,0.0506674013656961,0.0185831130090159,0.106949714774779
"O5","Eastern Africa",0.035088422371556,0.0343270211449234,0.0195023156565271,0.055053844753877
"O5","Southern Africa",0.117736161127145,0.115936280458579,0.0717863899876772,0.174933163670265
"O5","Southern Asia",0.0516617429135466,0.0494604083445151,0.0218030341613053,0.095304035808263
"O5","Western Africa",0.0337167193357457,0.0307040852611756,0.00828948078902343,0.0753606738605075
"OL103","Eastern Africa",0.00131149778513147,0.000847172702627269,2.75337092670689e-05,0.00520299267733966
"OL103","Southern Africa",0.00138164366062774,0.000818583028643113,2.52845273957264e-05,0.0059195081299781
"OL103","Southern Asia",0.0024620376106471,0.00144771069837177,4.68582664811259e-05,0.0108552018978699
"OL103","Western Africa",0.00166549663230453,0.000907331868129841,2.60535803889382e-05,0.00774278051842518
"OL104","Eastern Africa",0.00403271363421946,0.00345165921814347,0.000696513023026189,0.0107276851170818
"OL104","Southern Africa",0.00377917347452823,0.00299019910421957,0.000482414045265406,0.0116078513499818
"OL104","Southern Asia",0.00667275808019715,0.005182452938037,0.000866268765641828,0.0206389725692228
"OL104","Western Africa",0.00610930583546977,0.00452064392128982,0.000755470368074507,0.0205907073780337
"OL13","Eastern Africa",0.0395746381943523,0.0388386149604426,0.0235449643857136,0.0603280224141773
"OL13","Southern Africa",0.0170330614732379,0.0157716946791561,0.00433307963171036,0.0370748252510549
"OL13","Southern Asia",0.0480262212872649,0.0452767018321272,0.0201973842587769,0.0922124076961982
"OL13","Western Africa",0.0490589470640891,0.0450456557973182,0.0172134976003823,0.10314538150146
