"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.270053536381206,0.269880630689644,0.238590245231331,0.301960986302809,"Global"
"O1.v2",0.215360181714314,0.215290039539873,0.186062278032794,0.245580914989742,"Global"
"O1.v3",0.00134235263554394,0.000916912202442949,3.284038567483e-05,0.00495600304892913,"Global"
"O12",0.00273730734094774,0.00227035998482642,0.000311628311271102,0.007658667651179,"Global"
"O2a.v1",0.0603550005880939,0.05985111324795,0.0444131653481038,0.0783917640884297,"Global"
"O2a.v3",0.00137736911651142,0.000950132855465538,3.45035976157724e-05,0.00520889523839958,"Global"
"O2afg.v2",0.163355404193808,0.163114622775342,0.137901879347714,0.19104625755895,"Global"
"O3/O3a",0.0273748661761376,0.0269666135633573,0.0168308620440141,0.0401461634096032,"Global"
"O3b",0.0658104631568426,0.0653541089904112,0.0488645676214761,0.0848882420485504,"Global"
"O4",0.0904981771117934,0.0901339809035746,0.0707236375602107,0.111710997684154,"Global"
"O5",0.048006407628856,0.0475557084494971,0.0338515607415456,0.0644945754426798,"Global"
"OL102",0.00136990711394352,0.000944907811577936,3.09899613817744e-05,0.00504709893335649,"Global"
"OL103",0.00136768907760004,0.000969089701134105,3.98191185666353e-05,0.004916200608469,"Global"
"OL104",0.00412860749728726,0.00369736501462675,0.000864242016329555,0.00993752171861102,"Global"
"OL13",0.046710295645213,0.0463319623872894,0.0329188947580419,0.0628107248466076,"Global"
