"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.273195057137672,0.27300288232873,0.239978674140285,0.308529900248089,"Global"
"O1.v2",0.228369219195395,0.227842447813948,0.197002363607041,0.262330032613416,"Global"
"O1.v3",0.00153613534349945,0.00105528498423594,4.25859317687074e-05,0.00560870202096608,"Global"
"O12",0.00308480618001875,0.00259978077112096,0.000400970135279307,0.00859616785254173,"Global"
"O2a.v1",0.0615891288709456,0.0610396449022333,0.0445127570986052,0.0817091211951775,"Global"
"O2afg.v2",0.152852685953999,0.152562155646797,0.125951169464666,0.181893417989475,"Global"
"O3/O3a",0.0277808250808769,0.0273514589236011,0.01669274816999,0.0413692750496905,"Global"
"O3b",0.0572092446692845,0.0567394037996732,0.0406829370517981,0.0760306218379218,"Global"
"O4",0.0895744522800398,0.089173825867823,0.0693163769236883,0.112269611658941,"Global"
"O5",0.0524887061913765,0.0520627641944905,0.0369966667055641,0.069990533131989,"Global"
"OL102",0.00154323231946231,0.00107627858946157,3.73560168850059e-05,0.00562717385629978,"Global"
"OL103",0.00155507187331071,0.001081094476731,4.26108470860699e-05,0.00569712711629669,"Global"
"OL104",0.00463473713472263,0.0041082772658204,0.000931427591484232,0.0112432430106251,"Global"
"OL13",0.0447276817221084,0.0442421608537067,0.030294251261779,0.0616370826658689,"Global"
