"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.312754039275476,0.312336376135157,0.257685384666134,0.369718390445285
"O1.v1","Southern Africa",0.27555207551268,0.274843682939221,0.208483190802791,0.346124749026202
"O1.v1","Southern Asia",0.21361421800974,0.212936889943849,0.161249702704191,0.271920742717582
"O1.v1","Western Africa",0.300309334724634,0.298169456203652,0.19277660111813,0.41925411360107
"O1.v2","Eastern Africa",0.256253241658272,0.25553015161798,0.204542329323969,0.311340437841116
"O1.v2","Southern Africa",0.229261789923084,0.228056987308008,0.168788033886193,0.297465426553466
"O1.v2","Southern Asia",0.18257694187175,0.181393996286431,0.133340707313889,0.239006858011946
"O1.v2","Western Africa",0.263048534648104,0.260558629242107,0.163728141909902,0.378251979064332
"O1.v3","Eastern Africa",0.00162851384583376,0.00101767583597918,3.67455001418253e-05,0.0068579117154719
"O1.v3","Southern Africa",0.00123318237245571,0.000681354296336444,2.25873586963596e-05,0.00566119412428565
"O1.v3","Southern Asia",0.00166401450334374,0.00100752180045498,3.59114406714346e-05,0.00717761748125304
"O1.v3","Western Africa",0.0014996257504339,0.000780061813351885,2.36968617953965e-05,0.0072053452834099
"O12","Eastern Africa",0.00287474947509352,0.00215683029392284,0.000251986526685847,0.00938467000518686
"O12","Southern Africa",0.00229847645804155,0.00158799587594045,0.000144357145289731,0.00863132445766387
"O12","Southern Asia",0.00401224284345463,0.00302685500439087,0.000363965105365653,0.0132183754843972
"O12","Western Africa",0.00289879972120221,0.0018937773407797,0.000175228847359759,0.0118767196255
"O2a.v1","Eastern Africa",0.0554492914150344,0.0543606545275506,0.0316744987655222,0.0860208620289547
"O2a.v1","Southern Africa",0.0336424416958181,0.0319070065279306,0.0133578710567412,0.0624041623353038
"O2a.v1","Southern Asia",0.0928279618935574,0.0916158939204441,0.0579598052249241,0.135529752640856
"O2a.v1","Western Africa",0.0551330775190363,0.0513997729143572,0.0183506249555778,0.114004811723491
"O2afg.v2","Eastern Africa",0.17472792821906,0.173758567856537,0.131462927163244,0.224078296174951
"O2afg.v2","Southern Africa",0.185205962843617,0.184355429642246,0.12926050844641,0.247131839850962
"O2afg.v2","Southern Asia",0.101975956721789,0.100439155798675,0.0651772586434054,0.146422183592746
"O2afg.v2","Western Africa",0.146169641417243,0.142478363019523,0.0742034330225264,0.23818554152869
"O3/O3a","Eastern Africa",0.0140748943656834,0.0130395454713401,0.00446554887023222,0.0292012828492338
"O3/O3a","Southern Africa",0.0250640130195656,0.0235143451505309,0.00875615188081897,0.0503115506847002
"O3/O3a","Southern Asia",0.0464031519975624,0.0449437501355583,0.0232495339122004,0.0775814901006538
"O3/O3a","Western Africa",0.0307671843382796,0.0272099637729577,0.00787745246377564,0.0742025733292526
"O3b","Eastern Africa",0.0515984998849173,0.05057528330545,0.0291866117130917,0.080363023101835
"O3b","Southern Africa",0.0330713461098486,0.0312934642249864,0.0130430630686717,0.0632091100012562
"O3b","Southern Asia",0.0839648387284539,0.0825385554068584,0.0508007808231478,0.124931460839508
"O3b","Western Africa",0.0538153501724749,0.0495927905137748,0.017789424340108,0.113015965076179
"O4","Eastern Africa",0.0658666349833037,0.0647433840226611,0.0394250106875391,0.0978776023455601
"O4","Southern Africa",0.0720487246344805,0.0702280704903869,0.0387660594288102,0.114886230374538
"O4","Southern Asia",0.142912885180984,0.141815032359311,0.0984376767071879,0.193229424586465
"O4","Western Africa",0.0550512037543858,0.0511356388309113,0.0176226772721849,0.114046568680655
"O5","Eastern Africa",0.0197006175039241,0.0186131101296481,0.00705272778723208,0.0378978609466145
"O5","Southern Africa",0.121826619696992,0.120017886052172,0.0753088343030152,0.176261430939342
"O5","Southern Asia",0.0478784650179377,0.0465513482599447,0.0244828034153141,0.0788693538770505
"O5","Western Africa",0.0257183424690743,0.0227577499135075,0.00507730988962095,0.0638099640156803
"OL102","Eastern Africa",0.00116707214741125,0.000676304820219001,1.84079221091203e-05,0.00506695171785024
"OL102","Southern Africa",0.00122388749554427,0.000676863018179124,1.71408854161158e-05,0.0056188654523104
"OL102","Southern Asia",0.00228044166275411,0.00144447621955385,4.78085123779957e-05,0.00918855524159271
"OL102","Western Africa",0.00149553793703203,0.000770591145082739,2.27607978578905e-05,0.00711970317292077
"OL103","Eastern Africa",0.00117037724743377,0.000703882805850085,2.26419926930269e-05,0.00513973447833883
"OL103","Southern Africa",0.00122083528903094,0.000685199765359571,2.08171965426251e-05,0.00565232667335994
"OL103","Southern Asia",0.00232050634111656,0.00143704383630126,4.92238760082907e-05,0.00949620307651837
"OL103","Western Africa",0.0014865187023236,0.000774903711738592,2.4069443401707e-05,0.00737141122577505
"OL104","Eastern Africa",0.00413620303256458,0.00336140536142591,0.000535460843978443,0.012367047571489
"OL104","Southern Africa",0.00343407638778762,0.0025912226293304,0.000365571790929328,0.0113219475095116
"OL104","Southern Asia",0.00571599067194322,0.00468426059002916,0.000804196898021677,0.0162981400557579
"OL104","Western Africa",0.00633643270312645,0.00452805704277422,0.000643249653996014,0.0225950920400965
"OL13","Eastern Africa",0.0392852960906953,0.0380899686078189,0.0197535060618415,0.0653500619504237
"OL13","Southern Africa",0.0152868929655371,0.0138031416711496,0.00338737944047927,0.0358448214761841
"OL13","Southern Asia",0.0713779713547333,0.0700319086667723,0.0415061988637542,0.108581444348819
"OL13","Western Africa",0.0555098976282808,0.0512755611945029,0.0188460178460684,0.116326276646787
