"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.277390161253125,0.277085538046584,0.24599121335808,0.310605753082999,"Global"
"O1.v2",0.197732952097108,0.197459831423795,0.169877140499422,0.226599398341462,"Global"
"O1.v3",0.00135824762155383,0.0009460650419485,3.29889822986445e-05,0.00493734026854763,"Global"
"O12",0.00270069842283949,0.0022961859554357,0.000346857216516106,0.00739840625360548,"Global"
"O2a.v1",0.0610226731546932,0.0606675223367422,0.0449866936086549,0.0791514864587081,"Global"
"O2a.v3",0.00134359425122262,0.000938192935379275,3.76995917617627e-05,0.0048571854222746,"Global"
"O2afg.v2",0.158542777169877,0.158303199952478,0.133705340970345,0.18529646976078,"Global"
"O3/O3a",0.0284095089489011,0.0279418046723679,0.0178522389134043,0.0418372273945904,"Global"
"O3b",0.0622040027447261,0.0618535689053106,0.0463303036418624,0.080480988333221,"Global"
"O4",0.0947720210963063,0.0942994248983403,0.0752435166277272,0.116337010773563,"Global"
"O5",0.0596575291770176,0.0592366304711735,0.043773710337576,0.077666966104933,"Global"
"OL102",0.0013505867396747,0.000940669321374757,3.17810571256745e-05,0.00497184075386672,"Global"
"OL103",0.00269081112778493,0.00226815458375492,0.00034236890457107,0.00737585854637437,"Global"
"OL104",0.00136427252319585,0.000943874902886872,3.41674800429545e-05,0.00497121893175768,"Global"
"OL13",0.0487114536880522,0.0483053065452569,0.0343647474216335,0.065292453761153,"Global"
