"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.303684443586588,0.303347404588233,0.255386085867252,0.353983424997745
"O1.v1","Southern Africa",0.27980423673694,0.278593082315346,0.210701878505393,0.354701416931015
"O1.v1","Southern Asia",0.227086558019949,0.22600896271966,0.177481739849805,0.281122160736743
"O1.v1","Western Africa",0.359987282793118,0.357344664045134,0.228007329583069,0.50559199933846
"O1.v2","Eastern Africa",0.19838650563834,0.198007671168392,0.157209215454667,0.243162755739422
"O1.v2","Southern Africa",0.206727854366646,0.205683226559412,0.147011549968967,0.274145760280562
"O1.v2","Southern Asia",0.19352142806242,0.19284218063987,0.146219953830312,0.245908713724145
"O1.v2","Western Africa",0.184866225444777,0.181102443157262,0.0939865853107144,0.301123367279395
"O1.v3","Eastern Africa",0.00141480004181455,0.000903713005081954,3.03824160646246e-05,0.00576388058620977
"O1.v3","Southern Africa",0.00111522715610822,0.00061311626236646,1.75269531212571e-05,0.00502806024041261
"O1.v3","Southern Asia",0.00143740415393963,0.00088265702295143,2.6813269848657e-05,0.00609246950915121
"O1.v3","Western Africa",0.00129497080613678,0.000669764856135214,1.87178827684637e-05,0.00634763548693572
"O12","Eastern Africa",0.00249962728234833,0.00197396950421315,0.000258478560970177,0.00790084436537247
"O12","Southern Africa",0.00210049212914377,0.00148583644215908,0.000154765023653993,0.00773637974970291
"O12","Southern Asia",0.00335728960075876,0.00261665540639097,0.000325760536222158,0.0106447956575605
"O12","Western Africa",0.00254704107114442,0.00163142299026674,0.000164903513171009,0.0102701033931046
"O2a.v1","Eastern Africa",0.0454462428286061,0.0445561456978567,0.0267405594023017,0.0694363989374938
"O2a.v1","Southern Africa",0.0361748727941098,0.0344977757835484,0.0151463925077724,0.0667494703283314
"O2a.v1","Southern Asia",0.096349424339518,0.0950859013016288,0.0636857630369437,0.136058363848575
"O2a.v1","Western Africa",0.0651274561829388,0.0598329404083339,0.0216269487340445,0.137429816943978
"O2a.v3","Eastern Africa",0.00139252880785683,0.000896008324388572,3.28420653509747e-05,0.00561895174742626
"O2a.v3","Southern Africa",0.00109529171188633,0.00062647609581223,2.01194318768926e-05,0.00489443875166696
"O2a.v3","Southern Asia",0.0014345372264639,0.000879190534967065,3.13462383070996e-05,0.00591598891957786
"O2a.v3","Western Africa",0.00129089642948544,0.000668486251108963,2.05959127397676e-05,0.00619699937119005
"O2afg.v2","Eastern Africa",0.203849694286235,0.203323985553276,0.163069064106164,0.24922169863322
"O2afg.v2","Southern Africa",0.181554672637227,0.18019653301579,0.126079687142988,0.244941262917842
"O2afg.v2","Southern Asia",0.0871672915485109,0.0858501947161032,0.0551235009868006,0.125623033497931
"O2afg.v2","Western Africa",0.13498437036854,0.130165341869617,0.0596418751505225,0.238302456829649
"O3/O3a","Eastern Africa",0.0166763307731155,0.0158365062232154,0.00677264514584892,0.0314082835770667
"O3/O3a","Southern Africa",0.0262167353891137,0.0244415666409852,0.00952849670194809,0.0518249589339103
"O3/O3a","Southern Asia",0.0458532480505926,0.0445529819870842,0.0249175534752962,0.0739330781910084
"O3/O3a","Western Africa",0.026924189812484,0.0234549620797142,0.00617013863561868,0.0686730495620896
"O3b","Eastern Africa",0.0657055725865896,0.0647675104653312,0.0423343238446609,0.0947346798309805
"O3b","Southern Africa",0.0359027061284225,0.0343910095069234,0.0143942210173581,0.0664597021299994
"O3b","Southern Asia",0.0745476507896758,0.0733328243579628,0.0464757110793526,0.108781233708146
"O3b","Western Africa",0.0539233609979862,0.0492575753678911,0.0158636757042797,0.116892814099874
"O4","Eastern Africa",0.0729232986853148,0.0720871373859792,0.0484210879250864,0.10211959719825
"O4","Southern Africa",0.077124565102367,0.0754496637965477,0.0423799192676724,0.121895575358712
"O4","Southern Asia",0.138965041816861,0.138189325465437,0.0997975389791668,0.18317746833248
"O4","Western Africa",0.069657093051471,0.0649725476338137,0.0227657624221105,0.144424327269908
"O5","Eastern Africa",0.0377954339970505,0.0370135303956437,0.0207016372261431,0.059239120349326
"O5","Southern Africa",0.130490298360181,0.128720524410149,0.0813606111602947,0.190065862514023
"O5","Southern Asia",0.0506431435366804,0.0496676234961862,0.0280876031991314,0.0797146584770131
"O5","Western Africa",0.0358651272170234,0.0321487723256568,0.00825474036440419,0.0849730707680158
"OL102","Eastern Africa",0.00107418776876862,0.00065182642182383,1.83376182311546e-05,0.00451714850322133
"OL102","Southern Africa",0.00110628645655454,0.000625096939980945,1.55121550848383e-05,0.00515124561616602
"OL102","Southern Asia",0.00187921480557431,0.00120741239836137,3.78081971269136e-05,0.00760146523742059
"OL102","Western Africa",0.0013013724829827,0.000673986107557155,1.55351360397506e-05,0.00626024032540054
"OL103","Eastern Africa",0.00190023108568923,0.00143350348023854,0.000162461550267977,0.00648107686758062
"OL103","Southern Africa",0.00206492949111921,0.0014417255935946,0.000141262152403394,0.00766018029217076
"OL103","Southern Asia",0.00417352583664732,0.00333391006404153,0.000426298908353271,0.0126887527385872
"OL103","Western Africa",0.002460495336176,0.00158143402390706,0.00015202555016244,0.00992363129409569
"OL104","Eastern Africa",0.00107695227235645,0.000652518552597345,2.16291200892751e-05,0.00461800800243821
"OL104","Southern Africa",0.00112286077136636,0.00062314979190726,1.89738988759175e-05,0.00521124176753487
"OL104","Southern Asia",0.00190448416507008,0.00120690705566963,4.06263340291694e-05,0.00769719083473136
"OL104","Western Africa",0.00132427542201275,0.000672703629325278,1.91944235954401e-05,0.00666570474849112
"OL13","Eastern Africa",0.0453585872924284,0.0444802562237772,0.0267125695655043,0.0687368262573435
"OL13","Southern Africa",0.0175774788501568,0.0161144633598284,0.0042619421508211,0.0388071065386905
"OL13","Southern Asia",0.0708949760427751,0.0696570391296981,0.0431342082072177,0.105087622888627
"OL13","Western Africa",0.0550219732119216,0.0496765967147037,0.0164291179011355,0.123306408937433
