"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.240614418605143,0.240510438135024,0.20789366985031,0.2750747139644,"Global"
"O1.v2",0.216852810349782,0.216638108580328,0.18566555005645,0.248752188653224,"Global"
"O12",0.00319722865626165,0.00265552448338899,0.000384512382957303,0.00901633757251353,"Global"
"O2a.v1",0.0669480777685557,0.0664589998281011,0.0486784084068409,0.0875660537009958,"Global"
"O2a.v3",0.0015952978791976,0.00110421679228789,3.91189049283414e-05,0.00584416300913042,"Global"
"O2afg.v2",0.170834664587049,0.170529505696313,0.142608641178211,0.200890342834604,"Global"
"O3/O3a",0.0286306488120162,0.0281549645206773,0.0171956593442273,0.0428174430078119,"Global"
"O3b",0.0670602819412658,0.0666545108609452,0.0488231720223672,0.0877366965172778,"Global"
"O4",0.0925289682149603,0.0921661063476721,0.0716641592703585,0.115454764949521,"Global"
"O5",0.0621587870494576,0.0616242082527653,0.0444734778163919,0.0820405643778579,"Global"
"OL102",0.00158900315494105,0.00110611768727288,4.18489754335405e-05,0.00586457582554468,"Global"
"OL103",0.0015928022337952,0.00109127699515785,4.01331233328196e-05,0.00594995648424609,"Global"
"OL104",0.00475815315606051,0.00426264655255762,0.000986451547145105,0.0114194025755985,"Global"
"OL13",0.0414601431556133,0.0410660383232226,0.0276227492201676,0.0580278614763108,"Global"
