"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.2310477154441,0.230351128993448,0.17913400467414,0.287883858306845
"O1.v1","Southern Africa",0.271994010938157,0.270641608275308,0.20688415286023,0.345368527390609
"O1.v1","Southern Asia",0.212500019328939,0.211405706875833,0.159695498289944,0.272639497826546
"O1.v1","Western Africa",0.293451951895512,0.291054055803112,0.189979644558801,0.411156511073392
"O1.v2","Eastern Africa",0.229011711199457,0.228132276169571,0.177320556662957,0.283900583166619
"O1.v2","Southern Africa",0.228063846423324,0.226950871686781,0.167580803393062,0.296579467419117
"O1.v2","Southern Asia",0.182255458762233,0.181281436101872,0.1326785453626,0.237295463063911
"O1.v2","Western Africa",0.25877472890325,0.25629788310665,0.161685590317928,0.372841883242206
"O12","Eastern Africa",0.00318245626413074,0.00240593982694686,0.000269579462712899,0.0105282945334644
"O12","Southern Africa",0.00232358339239487,0.00162796366095791,0.000169575538304615,0.0085413995661125
"O12","Southern Asia",0.00396822191696248,0.00300226196564987,0.000367630844360324,0.013223593500232
"O12","Western Africa",0.00292296155860355,0.00192643337059902,0.000182496542214232,0.0115798433895209
"O2a.v1","Eastern Africa",0.0682501171040791,0.0671032202918723,0.0410548367636305,0.101924653050353
"O2a.v1","Southern Africa",0.0350552001301664,0.0334612614679114,0.01408148778065,0.0647818840991371
"O2a.v1","Southern Asia",0.0929876755580174,0.091786454626357,0.0586527264674731,0.135891759373982
"O2a.v1","Western Africa",0.0568361153071646,0.0530146979186771,0.020044159779905,0.113609826858265
"O2a.v3","Eastern Africa",0.0017682569645535,0.00110992536109502,3.51396691280338e-05,0.00742862598321436
"O2a.v3","Southern Africa",0.00123281049911946,0.000707588759251593,2.14093179213633e-05,0.00554915803434953
"O2a.v3","Southern Asia",0.00169187780081055,0.00103281733495128,3.4785709792242e-05,0.00710888510526385
"O2a.v3","Western Africa",0.00153736617714017,0.000818927530523675,2.31167933970405e-05,0.00724702895594272
"O2afg.v2","Eastern Africa",0.224188167581679,0.22354813510186,0.17346464200055,0.279072110896161
"O2afg.v2","Southern Africa",0.184884889938776,0.183415131810557,0.130069922553194,0.248050389685742
"O2afg.v2","Southern Asia",0.104297846813431,0.102981632148999,0.0668194950402957,0.149762728791425
"O2afg.v2","Western Africa",0.148929278422651,0.145786802862324,0.0765632824726965,0.241424210563223
"O3/O3a","Eastern Africa",0.0159536607650993,0.0148524690676634,0.00519683565178951,0.0323517977262962
"O3/O3a","Southern Africa",0.0250216286505432,0.0233955783507013,0.00897221029509763,0.0503703150592133
"O3/O3a","Southern Asia",0.0456428491544738,0.0442126411554044,0.0227410216719068,0.0761011170235587
"O3/O3a","Western Africa",0.0303139629248598,0.0268845223326276,0.00844885799723946,0.0710787733888301
"O3b","Eastern Africa",0.0756921232028409,0.0744630117354596,0.0464486573298809,0.111989573243932
"O3b","Southern Africa",0.0350188161088828,0.0335282164757608,0.0137277162164953,0.0643232311980755
"O3b","Southern Asia",0.0847110831628036,0.0834167946755157,0.0516496713940872,0.125573155599274
"O3b","Western Africa",0.0569795360753382,0.0532324246947033,0.019653239627661,0.115664102805745
"O4","Eastern Africa",0.072234349340063,0.0713292744310471,0.0440104866604402,0.10647423095841
"O4","Southern Africa",0.0721528497391196,0.0705096009137708,0.0393216468899451,0.113885513249933
"O4","Southern Asia",0.141884653319432,0.140753682533701,0.0987715117748211,0.192226969311781
"O4","Western Africa",0.0568747711278107,0.0534213889897124,0.0190493631822241,0.114679758064681
"O5","Eastern Africa",0.0393867591377263,0.0381395434041625,0.0196574849617931,0.0657433923184067
"O5","Southern Africa",0.122420961148825,0.120426005574126,0.0765776017110334,0.17838887535142
"O5","Southern Asia",0.0506519553416921,0.0494153976032953,0.0263206667478838,0.0824957421208119
"O5","Western Africa",0.0310810089051143,0.0280650488919425,0.00741755137270474,0.0717961537079491
"OL102","Eastern Africa",0.00131170399889985,0.000784160057580863,2.5230209319703e-05,0.00569881952158832
"OL102","Southern Africa",0.0012180229667933,0.000690697216507957,2.12231525081569e-05,0.00551948285321369
"OL102","Southern Asia",0.00222293348164762,0.0013943587469494,4.75791572575133e-05,0.00902865495244532
"OL102","Western Africa",0.001499388681629,0.000802548782522746,2.32155631677333e-05,0.0068768931300337
"OL103","Eastern Africa",0.00131995076341512,0.000763360612998134,2.27384431379967e-05,0.005879965328475
"OL103","Southern Africa",0.00122468993677904,0.000688088442911809,2.09719714444277e-05,0.00555550891925794
"OL103","Southern Asia",0.0022144799250822,0.001376198452702,4.76565639538293e-05,0.00906620691040439
"OL103","Western Africa",0.00152047931296562,0.000798263113659628,2.19424293531679e-05,0.00724748065209662
"OL104","Eastern Africa",0.0045316480724936,0.00372863663095305,0.000650759522076683,0.0129271578403478
"OL104","Southern Africa",0.00348675408145311,0.00262682403916979,0.000374886100234306,0.0114540717372442
"OL104","Southern Asia",0.00560464718515698,0.00463717949988293,0.000862506053857999,0.0158589985456113
"OL104","Western Africa",0.00617824540111552,0.00454896555379999,0.000668607609454096,0.0212617973737477
"OL13","Eastern Africa",0.0324228014408628,0.0312591192236451,0.0154581224101708,0.0557968836004721
"OL13","Southern Africa",0.0154265174524267,0.0140467506249774,0.00366178592337108,0.0353163525544918
"OL13","Southern Asia",0.0691295681909275,0.0676359323221153,0.0399914223582659,0.106552156799691
"OL13","Western Africa",0.0519688490979499,0.0483154301356191,0.0175632599394529,0.109657702641274
