"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.258957817261854,0.258840584829746,0.227973090651557,0.291216234116446,"Global"
"O1.v2",0.214670221867964,0.214404943840977,0.185708906581545,0.245267579890459,"Global"
"O1.v3",0.00132605347856594,0.000917901545736654,3.31381188036037e-05,0.00494902562068555,"Global"
"O12",0.00265999399729425,0.00224534357286334,0.000315145393631586,0.00721950117301015,"Global"
"O2a.v1",0.0590753500572206,0.0586672587884808,0.0434420865426154,0.0769084603412957,"Global"
"O2a.v3",0.00134033759790451,0.000922476396616066,3.35416617449854e-05,0.00504870475096289,"Global"
"O2afg.v2",0.170480288719046,0.170068992592378,0.144831981181076,0.19819065237595,"Global"
"O3/O3a",0.0268272606186095,0.0263579022831965,0.0164608034740407,0.0395176029105722,"Global"
"O3b",0.0642980653272943,0.0640515312959391,0.0479339897750433,0.082822392339079,"Global"
"O4",0.0913671907688619,0.0908985333631283,0.0721581920886331,0.112722799992941,"Global"
"O5",0.0565353613316723,0.0561565115846103,0.0413077654345457,0.0739989471164483,"Global"
"OL102",0.00133507169192211,0.000919993424667939,3.52566632289774e-05,0.00485804637020819,"Global"
"OL103",0.00136394893999071,0.000940625236021845,3.34537682119974e-05,0.00512430113767768,"Global"
"OL104",0.00402944234901316,0.00358210804991995,0.000848427928807291,0.00961226456567916,"Global"
"OL13",0.045596267731785,0.0451410384829656,0.0321069519213608,0.061764169790755,"Global"
