"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.272215987056499,0.271538825699019,0.227037419086605,0.320115682486521
"O1.v1","Southern Africa",0.27341087915077,0.272282580443384,0.207868729491746,0.344439134887152
"O1.v1","Southern Asia",0.213984808750495,0.213196931122968,0.160857519431371,0.272355986232238
"O1.v1","Western Africa",0.29580352462787,0.293059004115462,0.190905107690927,0.412491790142007
"O1.v2","Eastern Africa",0.220406675570644,0.219912231130589,0.179007317605267,0.265115763278624
"O1.v2","Southern Africa",0.227511564628067,0.226667359537384,0.166952136014941,0.29448434267421
"O1.v2","Southern Asia",0.182548616890535,0.181369485333661,0.13263758162,0.238053255314157
"O1.v2","Western Africa",0.257421678960716,0.254389588060734,0.16106669282156,0.369741372329241
"O1.v3","Eastern Africa",0.00137754546329829,0.000896502004768479,2.96966278793019e-05,0.00548480253325822
"O1.v3","Southern Africa",0.00105878189792637,0.000601574207118159,1.84948168973019e-05,0.00479861427309805
"O1.v3","Southern Asia",0.00144796459302279,0.000876468887931426,2.81758877509775e-05,0.00616997919243746
"O1.v3","Western Africa",0.00130554618055795,0.000679378090968376,1.98419689282145e-05,0.00634028733596673
"O12","Eastern Africa",0.00248985104312451,0.00194992462975838,0.000233061471992088,0.00781850424525414
"O12","Southern Africa",0.00205220715460261,0.00145220231820305,0.00013596230400005,0.00752517775008501
"O12","Southern Asia",0.00346703711767053,0.00265524388140279,0.000320560993320126,0.0111315446580395
"O12","Western Africa",0.00253147728833888,0.00168184162986052,0.000149125283128424,0.0100814152011342
"O2a.v1","Eastern Africa",0.0522370886955161,0.0514285858956213,0.0325464436784013,0.0764887130768871
"O2a.v1","Southern Africa",0.0343598929254955,0.0328272001563822,0.0140603407098564,0.0640357490005646
"O2a.v1","Southern Asia",0.0915434417893469,0.0899234613749842,0.0568701040561952,0.134253218881235
"O2a.v1","Western Africa",0.054586587285443,0.0509971111343603,0.0193193600588205,0.109113496786851
"O2a.v3","Eastern Africa",0.0013805472001117,0.000886337212140486,3.02211475554278e-05,0.00562647526189665
"O2a.v3","Southern Africa",0.00108330746744221,0.000602386670652892,1.6876862140143e-05,0.00493545239216543
"O2a.v3","Southern Asia",0.00148368485686615,0.000884814200168432,2.68321580774243e-05,0.00637596174266772
"O2a.v3","Western Africa",0.00128627816232292,0.000686168243610714,2.13672266960295e-05,0.0061974315413507
"O2afg.v2","Eastern Africa",0.205530839708618,0.204938236682454,0.165601852417501,0.248562042308501
"O2afg.v2","Southern Africa",0.184054173340187,0.182832549033691,0.128876159630939,0.246001400899831
"O2afg.v2","Southern Asia",0.104546208447114,0.103400763025304,0.0674867686297023,0.14918997388374
"O2afg.v2","Western Africa",0.147754825715804,0.144643293262568,0.0764823125264865,0.238643997668534
"O3/O3a","Eastern Africa",0.0163116790021649,0.0156145977844396,0.00657690329587719,0.0300833678388385
"O3/O3a","Southern Africa",0.0252077083811753,0.0235671792201203,0.00935577072174684,0.0499310452205965
"O3/O3a","Southern Asia",0.0455986279168143,0.0441753108295916,0.0233766412788835,0.0760844532482515
"O3/O3a","Western Africa",0.0304908213596928,0.0271821641954447,0.0089292336111417,0.0708744345727753
"O3b","Eastern Africa",0.0674037088527798,0.0667318587623299,0.0443818161261985,0.0953010337884364
"O3b","Southern Africa",0.0351213513169762,0.033461581233438,0.0147212222397064,0.0650994504097621
"O3b","Southern Asia",0.0836663102281372,0.0823422521125567,0.0513383877631323,0.124453046542994
"O3b","Western Africa",0.0563077869114153,0.0525818476069302,0.0199280020418671,0.112409539117978
"O4","Eastern Africa",0.0762448898984407,0.075372601167872,0.0520302653409337,0.10548205194097
"O4","Southern Africa",0.0729560578054867,0.0712819749184117,0.0400566293406588,0.115245360185237
"O4","Southern Asia",0.141647254627397,0.140313015165746,0.0983538569658473,0.191904464989103
"O4","Western Africa",0.0582315566685027,0.0546815508538335,0.0198422210225718,0.115628918669564
"O5","Eastern Africa",0.0355030702649292,0.0346747214672827,0.0195395998176175,0.056005503616667
"O5","Southern Africa",0.121104849714157,0.119342640998467,0.0755601785142911,0.175932416188526
"O5","Southern Asia",0.0506853367601956,0.0493624577768157,0.0262578146115087,0.082719869489599
"O5","Western Africa",0.0315511826524435,0.0286132379937512,0.00746297252144596,0.071647802377422
"OL102","Eastern Africa",0.00108658924196173,0.000675553262160381,2.28955548023108e-05,0.00449138464234196
"OL102","Southern Africa",0.00109484819926119,0.000618137326387554,2.01394913950499e-05,0.0049349274396368
"OL102","Southern Asia",0.00195623044645189,0.00121774777062096,4.48113995661958e-05,0.00789571329967642
"OL102","Western Africa",0.00134644902001052,0.000704097255560028,2.07586936160007e-05,0.00661476815804976
"OL103","Eastern Africa",0.00111586912624374,0.000682564554004631,2.15082732693129e-05,0.00471851894521793
"OL103","Southern Africa",0.00112617563124751,0.000635785413026868,1.75928194326019e-05,0.00513049135619359
"OL103","Southern Asia",0.00199017008324757,0.00125806433320272,3.94908832289665e-05,0.00831585054101079
"OL103","Western Africa",0.00134813262388337,0.000725192496458033,2.13055614504375e-05,0.00650463515613788
"OL104","Eastern Africa",0.00358247903750832,0.00300570366888097,0.000572720360971447,0.00992870401473204
"OL104","Southern Africa",0.00315997738148492,0.00242681452659604,0.000344838349424281,0.0102522157215528
"OL104","Southern Asia",0.0051049981810987,0.00419675649368953,0.000755215623320777,0.0147619431380794
"OL104","Western Africa",0.00539873693079038,0.00389369238096398,0.000586452197529237,0.0187635428105143
"OL13","Eastern Africa",0.0426191046889237,0.0416605609270742,0.0250475669858303,0.0649670160071843
"OL13","Southern Africa",0.0171639478843744,0.0156829208938987,0.00418916421209433,0.038505086342225
"OL13","Southern Asia",0.0704086321231865,0.0689890048146477,0.0410538013507844,0.107549935579324
"OL13","Western Africa",0.0543056009568764,0.050536141105163,0.0189076215983898,0.11257420573152
