"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.266674257304661,0.266414343525817,0.236649442300216,0.297622978373653,"Global"
"O1.v2",0.216161718774592,0.216059388749574,0.187903428763578,0.245732329979939,"Global"
"O1.v3",0.00129671443546439,0.000898587779372325,3.4470352319373e-05,0.00483469756483423,"Global"
"O12",0.00257758126128903,0.00217018234493072,0.000306607652834818,0.00704234711265503,"Global"
"O2a.v1",0.0580905674198273,0.057830180494774,0.0426775976083122,0.0753453378174663,"Global"
"O2a.v3",0.00128894862916838,0.000901896493734853,3.28681321738385e-05,0.00476235504265089,"Global"
"O2afg.v2",0.166868855742868,0.166648291041928,0.141353668252446,0.194142781398591,"Global"
"O3/O3a",0.0271503858221664,0.0267063978127257,0.0168126981629348,0.0397189691526211,"Global"
"O3b",0.0622249560735045,0.0618826662532083,0.0462114099987525,0.0802498694066964,"Global"
"O4",0.0893400024443045,0.0890077050342199,0.0702603335806864,0.110094525198982,"Global"
"O5",0.0544473572922498,0.0540976819376819,0.0395569905458473,0.0711501105341976,"Global"
"OL102",0.00130810408452156,0.000912208613797325,3.49477873105754e-05,0.00483376911780009,"Global"
"OL103",0.00130971462036719,0.000927247574418654,3.3170777035899e-05,0.00472526832718562,"Global"
"OL104",0.00387533818257151,0.00346223384328066,0.000787113044963284,0.00929492603987585,"Global"
"OL13",0.048018351140806,0.0476882110031824,0.0342158271122786,0.0635728799980373,"Global"
