"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.286297795383154,0.285775204784592,0.242538049699985,0.333825769502638
"O1.v1","Southern Africa",0.274337543278052,0.273411246416291,0.208326719099156,0.345991263437936
"O1.v1","Southern Asia",0.214739446694681,0.213921831593561,0.160957751667762,0.273565970433225
"O1.v1","Western Africa",0.29704108860947,0.294375608219576,0.194798184293107,0.412018390389411
"O1.v2","Eastern Africa",0.222775424257199,0.222348199315805,0.18281103360433,0.265563418473708
"O1.v2","Southern Africa",0.227546357307323,0.226268802260313,0.166734455476386,0.29662742623462
"O1.v2","Southern Asia",0.182965257281804,0.182002437892259,0.133807832739096,0.237323462149113
"O1.v2","Western Africa",0.257869557558621,0.254755565259217,0.161260691706264,0.372273735034258
"O1.v3","Eastern Africa",0.00132735344399891,0.000865718593188806,3.23568199294334e-05,0.00518271541993376
"O1.v3","Southern Africa",0.00105462583077711,0.00059579360882318,1.88438210116371e-05,0.00480886867293888
"O1.v3","Southern Asia",0.00143123199396104,0.000855345073367723,2.90936184899295e-05,0.00631464642884453
"O1.v3","Western Africa",0.00127720069412069,0.000670026609283162,2.12600026858727e-05,0.00633597207144599
"O12","Eastern Africa",0.00236929385453294,0.00186902394209287,0.000231275831387189,0.00717384908217124
"O12","Southern Africa",0.0020268836285218,0.00144295677547992,0.000138346725961232,0.00722084549742411
"O12","Southern Asia",0.00341518242295444,0.0025721651374864,0.000324741573592137,0.0111666397537101
"O12","Western Africa",0.00252860001285923,0.00168155618997843,0.000149400648171646,0.0100293408957106
"O2a.v1","Eastern Africa",0.0510813050710661,0.050301191771397,0.0320582570524577,0.0741914281476509
"O2a.v1","Southern Africa",0.0342227828798248,0.0327253691100699,0.0137291909439861,0.0636218725576486
"O2a.v1","Southern Asia",0.0910268758771154,0.0896533979212469,0.0567983834591591,0.131971360595373
"O2a.v1","Western Africa",0.0542524021490705,0.0504441583877851,0.0192104422327764,0.109731307110726
"O2a.v3","Eastern Africa",0.00132368914078151,0.000858087657653014,2.98648437044849e-05,0.00540397905330903
"O2a.v3","Southern Africa",0.00105622759642602,0.000609527217435627,1.73626289400264e-05,0.00465667475922596
"O2a.v3","Southern Asia",0.00141253830335605,0.000853519775912045,2.64619895733819e-05,0.00592843789548531
"O2a.v3","Western Africa",0.00125471988657595,0.000673093799394821,2.04070758212819e-05,0.00594903983378329
"O2afg.v2","Eastern Africa",0.19569434716289,0.195022649677653,0.157793671037105,0.237017207116405
"O2afg.v2","Southern Africa",0.183655803030096,0.182148507675405,0.129200325927854,0.246035411414715
"O2afg.v2","Southern Asia",0.104485223011498,0.103081859619647,0.0675353372595148,0.148899127676106
"O2afg.v2","Western Africa",0.146994247270099,0.142679257738001,0.075853153589964,0.239513664742931
"O3/O3a","Eastern Africa",0.0173867365851571,0.016633324173631,0.00751031699335974,0.0312129880579361
"O3/O3a","Southern Africa",0.0255168173125511,0.0240108684023625,0.00954725120314953,0.0500533444828947
"O3/O3a","Southern Asia",0.0459769487504673,0.0443670730953627,0.0231633410834972,0.0773239307589031
"O3/O3a","Western Africa",0.030924323823997,0.0276462760180555,0.00888332190327804,0.0702574982942899
"O3b","Eastern Africa",0.0630852991544019,0.0624022791847911,0.0412675847499157,0.0897968952192721
"O3b","Southern Africa",0.0349401405441428,0.0332794710075305,0.014015351170847,0.0645663509511305
"O3b","Southern Asia",0.0835888319935823,0.0823092029695729,0.0506308867737895,0.124415852694821
"O3b","Western Africa",0.0555704781539522,0.0520885116117906,0.0194342956892955,0.11173002553978
"O4","Eastern Africa",0.0733124676345696,0.0725793191909571,0.0497631082409322,0.100924691263884
"O4","Southern Africa",0.0726051330720128,0.0709594740298752,0.0399624361861764,0.114598810670876
"O4","Southern Asia",0.141667421231695,0.140280937306256,0.0978071972436555,0.193400676289419
"O4","Western Africa",0.0581647580969646,0.0549198045933889,0.0201781037534843,0.116048646706358
"O5","Eastern Africa",0.0332023984167955,0.0324467007729052,0.0182862876711411,0.052563397300911
"O5","Southern Africa",0.120611803536154,0.118857334899949,0.0743345337047158,0.175985445276637
"O5","Southern Asia",0.0503413417307551,0.0490951534721341,0.0260430025866738,0.082141181790702
"O5","Western Africa",0.031046745534631,0.0282786835004185,0.00734311055829058,0.0716726056114614
"OL102","Eastern Africa",0.00104818639400214,0.000673943559165065,2.1996956124504e-05,0.00425693320782502
"OL102","Southern Africa",0.00109735371888039,0.00062679338332577,2.10515762917889e-05,0.00498756383709922
"OL102","Southern Asia",0.00196368699388461,0.00121085867193343,4.15787192694814e-05,0.00808513506409073
"OL102","Western Africa",0.00132035897105328,0.000704548386624302,2.21657609724577e-05,0.0064309995044175
"OL103","Eastern Africa",0.00106289368430596,0.000677201779198429,2.24115358273628e-05,0.00445027036404646
"OL103","Southern Africa",0.00108905123275106,0.000633259931416336,1.99703689241305e-05,0.00486965085328977
"OL103","Southern Asia",0.00194889715238713,0.00121836787969781,4.00678519722455e-05,0.00796828974257157
"OL103","Western Africa",0.00131875036583856,0.0007031556558607,2.18001792465366e-05,0.0063204615187284
"OL104","Eastern Africa",0.00341962316757533,0.00286858765260555,0.00054597854168046,0.00922411423636338
"OL104","Southern Africa",0.0030669624241216,0.00235463924430645,0.00032986130239292,0.00994368626935003
"OL104","Southern Asia",0.0049850569691986,0.00410436602754356,0.000714384550523783,0.0145033941866458
"OL104","Western Africa",0.00524253021370297,0.00375024090102889,0.000557587863454046,0.0186950686031048
"OL13","Eastern Africa",0.046952695275628,0.0461382759276968,0.0288339403104653,0.0695382910331709
"OL13","Southern Africa",0.0178502442078948,0.0162316820012307,0.00452293214944998,0.0396465591020173
"OL13","Southern Asia",0.0712406203440425,0.0697548738604545,0.0420762007323534,0.108400547741314
"OL13","Western Africa",0.0557177263059826,0.0519359060557186,0.0205275749740442,0.11368264608198
