"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.269143908013133,0.268807387338737,0.238503579922885,0.30137954958434,"Global"
"O1.v2",0.22095774482315,0.220780111738485,0.19188591075994,0.251264867748623,"Global"
"O1.v3",0.00137950328341426,0.000957224337420754,3.82347230698011e-05,0.005069094161813,"Global"
"O12",0.00273061770506549,0.00228631716152163,0.00033625681558668,0.00760266565410219,"Global"
"O2a.v1",0.0573391693731932,0.0569802412247307,0.0415752749847525,0.0754929087271673,"Global"
"O2a.v3",0.00135165522776894,0.00093904881168673,3.4892810293224e-05,0.00491887428523352,"Global"
"O2afg.v2",0.158680313649324,0.158398368373788,0.133230600265561,0.18615555953025,"Global"
"O3/O3a",0.0272965897519695,0.0267842803358355,0.0167947424585321,0.0402940390429095,"Global"
"O3b",0.0616125518530009,0.0612043273469722,0.0451494481211304,0.0800436169014659,"Global"
"O4",0.0916578760668739,0.0912330101854516,0.0722287162373997,0.113430291453345,"Global"
"O5",0.0574257553576079,0.0570718964257213,0.0419532310513168,0.0757241986275345,"Global"
"OL102",0.00136432788706293,0.000948997272370791,3.38897859510931e-05,0.00500489610582594,"Global"
"OL103",0.00135803087130813,0.000948793110626996,3.72195534086924e-05,0.00490951108595395,"Global"
"OL104",0.00407483473205947,0.00364007406018131,0.000832873011959317,0.00977856445829953,"Global"
"OL13",0.0436383116658248,0.043229630291528,0.0303933315701164,0.059340062541653,"Global"
