"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.29426194167342,0.29382175223096,0.247381959934172,0.343852908298401
"O1.v1","Southern Africa",0.273780894567594,0.273024948372076,0.207926163503947,0.344380474964895
"O1.v1","Southern Asia",0.214943046190563,0.21415581806699,0.161888799185068,0.272805919876729
"O1.v1","Western Africa",0.297415070633551,0.295490583845522,0.19331111169033,0.412978564389927
"O1.v2","Eastern Africa",0.234197059650256,0.233461223820749,0.192179518314399,0.280527899839165
"O1.v2","Southern Africa",0.227740567531365,0.226804956178547,0.167135531164485,0.294421468260127
"O1.v2","Southern Asia",0.182803477242727,0.181936193618777,0.133272243969092,0.237105736851841
"O1.v2","Western Africa",0.257933431031695,0.254547510365463,0.161038582897672,0.369752745093291
"O1.v3","Eastern Africa",0.00143497112129048,0.00092287220832886,3.37266753006033e-05,0.0058697718090707
"O1.v3","Southern Africa",0.00110916468539307,0.000632067966862192,2.20489532510188e-05,0.00504579656855911
"O1.v3","Southern Asia",0.00150322035143327,0.00090898975664253,3.06643570707801e-05,0.00634066383321203
"O1.v3","Western Africa",0.00134925684160451,0.000730981389057762,2.29486698333924e-05,0.00648732629780695
"O12","Eastern Africa",0.00254143839341454,0.00199676148787023,0.000252070653731459,0.00789628772741071
"O12","Southern Africa",0.00211229667489053,0.00150491133823029,0.000150814454382121,0.00767121633851434
"O12","Southern Asia",0.0035764696071964,0.00274491090300708,0.000332412076291281,0.0116583250102102
"O12","Western Africa",0.00256777601047201,0.00173792319565096,0.000172750262190408,0.0100269622152637
"O2a.v1","Eastern Africa",0.0489078381910784,0.0480535342581496,0.0295321359663559,0.0732724061938671
"O2a.v1","Southern Africa",0.0340157325114372,0.0325374731080439,0.0139232269710407,0.0633031995174262
"O2a.v1","Southern Asia",0.0907015046676204,0.0894493330306639,0.0570335713504259,0.13244691717162
"O2a.v1","Western Africa",0.0538292458275902,0.0505190061808846,0.0191463232955657,0.108111240343681
"O2a.v3","Eastern Africa",0.00139969111298128,0.000905129553324576,3.20629939150721e-05,0.00551253948341932
"O2a.v3","Southern Africa",0.00110792742558024,0.000623372411205149,1.83068402879905e-05,0.00509010126585817
"O2a.v3","Southern Asia",0.00146544690396337,0.000901470163988991,2.83525563053311e-05,0.00612429644710639
"O2a.v3","Western Africa",0.00132826692353788,0.000716512043326791,2.20651629498997e-05,0.00627469349967119
"O2afg.v2","Eastern Africa",0.181662754319461,0.180950409232033,0.14265002511338,0.223859737674539
"O2afg.v2","Southern Africa",0.183111757691928,0.181493638713061,0.127423729194722,0.247155016373046
"O2afg.v2","Southern Asia",0.104292117570729,0.10291831079975,0.066576946073702,0.148430182591194
"O2afg.v2","Western Africa",0.146123264978004,0.142581722241436,0.077096817269324,0.235652262374358
"O3/O3a","Eastern Africa",0.0169081335259842,0.0161398643254791,0.00683914799342208,0.0315815132665292
"O3/O3a","Southern Africa",0.0252947492421884,0.0238019241667537,0.00965634130070998,0.04989961973811
"O3/O3a","Southern Asia",0.045548905302906,0.0440913987424021,0.0231710061105793,0.0770533921407887
"O3/O3a","Western Africa",0.0305994151218875,0.0273398288175774,0.00853114612376839,0.0712648591139302
"O3b","Eastern Africa",0.0618221938925648,0.0608673827182924,0.039985455702564,0.0890360528185236
"O3b","Southern Africa",0.0350523193215302,0.0335978990884684,0.0142181128739343,0.0643819573422246
"O3b","Southern Asia",0.0835638938502565,0.0821108354869897,0.0504882544868542,0.124680002596664
"O3b","Western Africa",0.0554433138110298,0.0515497843979731,0.0199313780183129,0.112113458681786
"O4","Eastern Africa",0.076002202182953,0.075045526743402,0.0509610184970783,0.105587304778674
