"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.266335328407927,0.26641156108909,0.2456452627022,0.286802455643161,"Global"
"O1.v2",0.174212773894554,0.174154939247439,0.157543080442661,0.19137789156474,"Global"
"O1.v3",0.00221100888345051,0.00203564416523492,0.00059368138118997,0.00485506876014548,"Global"
"O12",0.00111363749731224,0.000935774676962699,0.000138909654591031,0.0031238638370114,"Global"
"O2a.v1",0.0478330594958849,0.0476207990817165,0.0386316911178614,0.0582505849897442,"Global"
"O2a.v3",0.000557964576552429,0.000396923905234065,1.67942034782212e-05,0.00199637563258549,"Global"
"O2afg.v2",0.253528174237937,0.253376043350649,0.234159705875818,0.273272511330524,"Global"
"O3/O3a",0.0149817088121124,0.0148026216278054,0.00988100325712813,0.0210718791199011,"Global"
"O3b",0.0288592958122638,0.0287329745219076,0.0216385725246274,0.0367970905121587,"Global"
"O4",0.124897090275735,0.124824941230747,0.110360459959295,0.139620628922724,"Global"
"O5",0.0360956704933095,0.0359462445593772,0.0280000823131029,0.0447752682431446,"Global"
"OL102",0.000558107399423768,0.000394800777354218,1.28968716855073e-05,0.00203023258468172,"Global"
"OL104",0.00166013873040181,0.00148259837940728,0.000331196116664958,0.00401665310564153,"Global"
"OL13",0.0472019511764569,0.0470421435256189,0.0382452373082834,0.057030451925179,"Global"
