"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.278593243225134,0.278454950792537,0.252776148113615,0.305348517303079
"O1.v1","Southern Africa",0.277575521150184,0.276738689023449,0.224626894966965,0.335761590955419
"O1.v1","Southern Asia",0.205642527993868,0.20502137866355,0.17031526632059,0.244496056979482
"O1.v1","Western Africa",0.337305545847572,0.335955910586564,0.238215956016718,0.445289213124028
"O1.v2","Eastern Africa",0.191944394343194,0.191741791149896,0.169234242941313,0.215401729138304
"O1.v2","Southern Africa",0.21121980984774,0.210460416147738,0.162779280583354,0.263960203684429
"O1.v2","Southern Asia",0.11193523175042,0.111374891564233,0.0847064424598593,0.142357740297846
"O1.v2","Western Africa",0.220436635080527,0.218089190308382,0.13759875960254,0.316147777654475
"O1.v3","Eastern Africa",0.00265037232474974,0.00237894440038418,0.000655826655557299,0.00619559732048723
"O1.v3","Southern Africa",0.0012216690449992,0.000774207254261222,6.01955006050263e-05,0.00504644012410632
"O1.v3","Southern Asia",0.00136202078724583,0.000974851254322328,9.26384261874111e-05,0.00489671451181936
"O1.v3","Western Africa",0.00191604367484072,0.00109877787108395,7.4690068148882e-05,0.00880177777346363
"O12","Eastern Africa",0.00086144000974066,0.000654784474778565,6.73280412312329e-05,0.00286926406492426
"O12","Southern Africa",0.000864235412052566,0.000483178331866394,2.6992459632938e-05,0.00399768160730432
"O12","Southern Asia",0.00163380861651159,0.00116372336380446,0.000107938865031236,0.00595004082829179
"O12","Western Africa",0.00132932156850439,0.000655364922158593,3.58125279264091e-05,0.0068125420044377
"O2a.v1","Eastern Africa",0.0505752109235686,0.0503417226928463,0.0385482207100549,0.0640372383209321
"O2a.v1","Southern Africa",0.0200169930015799,0.0188716451257662,0.0071742130624796,0.039553549855183
"O2a.v1","Southern Asia",0.0590051449376062,0.0584259211039757,0.0396574387565969,0.081546082293817
"O2a.v1","Western Africa",0.0717683522038776,0.0683489031351618,0.0285799910878568,0.135267357301086
"O2a.v3","Eastern Africa",0.000524399462338574,0.00033185143888825,1.03953051475797e-05,0.0021604948393083
"O2a.v3","Southern Africa",0.000459011427364994,0.000194049357724835,3.94647981468767e-06,0.00249743833429721
"O2a.v3","Southern Asia",0.000550892696739846,0.000286496020348116,6.40166266459701e-06,0.00264360900105618
"O2a.v3","Western Africa",0.000686096833747953,0.000258312386459385,4.99712339473313e-06,0.00402284920476585
"O2afg.v2","Eastern Africa",0.330569720056335,0.330488235284256,0.304064596918386,0.358084517990084
"O2afg.v2","Southern Africa",0.167269805036127,0.166431086648848,0.124943614631175,0.216309555755564
"O2afg.v2","Southern Asia",0.103379357374071,0.102853386494641,0.0774772125244688,0.132611727123744
"O2afg.v2","Western Africa",0.161103837833009,0.157806451586902,0.0905780662214996,0.248301373699799
"O3/O3a","Eastern Africa",0.00576091424138549,0.00548550457104739,0.00231875842712214,0.0107357641035175
"O3/O3a","Southern Africa",0.0227339646416868,0.0215632494403723,0.00905786114438977,0.0429137709663988
"O3/O3a","Southern Asia",0.0339747241308136,0.0332890585407562,0.0196008968111627,0.0518550129690485
"O3/O3a","Western Africa",0.032621168476025,0.0294553277785829,0.00838278800502865,0.0761522705138104
"O3b","Eastern Africa",0.0217819123626113,0.0215345724343583,0.0143499103222384,0.0309294392934289
"O3b","Southern Africa",0.0215327520417798,0.020397748278451,0.00820000660724212,0.0420227765032876
"O3b","Southern Asia",0.043617231931021,0.0429715762819935,0.0272390234546738,0.0636809067007683
"O3b","Western Africa",0.0473572405506298,0.0438379075217676,0.0151305434952132,0.0989253903932292
"O4","Eastern Africa",0.0683942130623355,0.0681342806228434,0.0546321074657713,0.0837103821246893
"O4","Southern Africa",0.136974002532728,0.136015403512341,0.0971625712077117,0.181712842905456
"O4","Southern Asia",0.288035825781624,0.287965411208374,0.247372750143811,0.329882458804866
"O4","Western Africa",0.0445725684703818,0.0411632660689964,0.0127876719442922,0.0953193894740373
"O5","Eastern Africa",0.0201486219620599,0.0198092501091571,0.0128059788902235,0.0292327703622175
"O5","Southern Africa",0.130097606263226,0.12906666303917,0.0919237327540427,0.173352678363951
"O5","Southern Asia",0.0275949611280022,0.0269931261841,0.0150556118921961,0.043797604711102
"O5","Western Africa",0.0160839388405441,0.0133931223158605,0.00215887323597841,0.0454014638411994
"OL102","Eastern Africa",0.000334955470831079,0.000184627098822361,4.79779889690843e-06,0.0015391996473434
"OL102","Southern Africa",0.000486747299981967,0.000209421784408232,3.79034215514869e-06,0.0026548737993478
"OL102","Southern Asia",0.00100307225852106,0.000595882038813322,1.86703631254729e-05,0.00432142739107608
"OL102","Western Africa",0.00069627631692758,0.000275331874614016,5.33265688722838e-06,0.00422419778688943
"OL103","Eastern Africa",0.00033062837562476,0.000185902500294597,4.51373101186426e-06,0.00150658747002196
"OL103","Southern Africa",0.000472811354754892,0.000198430223695208,4.1135001600048e-06,0.0026644939104068
"OL103","Southern Asia",0.000995450482363124,0.000587494207429598,1.67428261492419e-05,0.00433388310302219
"OL103","Western Africa",0.000705773442787753,0.000267053810947264,5.37108458748651e-06,0.00423435968799261
"OL104","Eastern Africa",0.00117179651279993,0.000962429461493439,0.000155251606049817,0.00335489220594719
"OL104","Southern Africa",0.00136359602416726,0.000875869910718694,7.07975935750488e-05,0.00553128233789662
"OL104","Southern Asia",0.0022745409086992,0.00178705593114396,0.000251647232593966,0.00713952694876182
"OL104","Western Africa",0.00408470447552236,0.00253715421356661,0.000243079999836578,0.0170759479611383
"OL13","Eastern Africa",0.0269550490292899,0.0266368204082456,0.018402651653165,0.0373311021345118
"OL13","Southern Africa",0.00775651043007272,0.00667279340220604,0.00125077462800907,0.0201127811931653
"OL13","Southern Asia",0.119377424266626,0.11875482646154,0.0917488244199064,0.14992231006649
"OL13","Western Africa",0.058136213485865,0.0544839558141586,0.021017556496589,0.115557814906942
