"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.265789391673747,0.26570441359708,0.245729017088617,0.286444705035104,"Global"
"O1.v2",0.174883542886608,0.174710775504348,0.157672093336435,0.192679199103574,"Global"
"O1.v3",0.00222846481657642,0.00204148804818153,0.000619590857774115,0.00489062185211374,"Global"
"O12",0.00112475400293279,0.000941925215501572,0.000136871332785572,0.00313484600133419,"Global"
"O2a.v1",0.047775669848278,0.0476535281159345,0.0383266422745289,0.0582702638937104,"Global"
"O2a.v3",0.000557958106164568,0.00039452988608227,1.40193971368554e-05,0.00199588847304012,"Global"
"O2afg.v2",0.255092157633627,0.254986199957865,0.235889503629436,0.274782726515071,"Global"
"O3/O3a",0.015218956890345,0.0150374674440266,0.0100750402664018,0.0214105284132043,"Global"
"O3b",0.0292824897847252,0.02909577195308,0.0220644703026652,0.0373954336252315,"Global"
"O4",0.1263748350493,0.126301114772353,0.111777035855216,0.141401575597553,"Global"
"O5",0.0348096759363974,0.0346474672627553,0.0269217904503838,0.0435743839610825,"Global"
"OL102",0.000563941173511825,0.000385787116357801,1.46345875050536e-05,0.00211401256671359,"Global"
"OL103",0.00339932040051828,0.00320846183722594,0.00126454926869965,0.00669557831613845,"Global"
"OL104",0.00169517657342534,0.00151022624298854,0.000344962877516649,0.00407611880326836,"Global"
"OL13",0.040945592404181,0.0408493854863479,0.0324762635804686,0.050235704830973,"Global"
