"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.259635905134587,0.259667100298113,0.238633923443438,0.28101086026351,"Global"
"O1.v2",0.157540311208549,0.157449159339422,0.140252677715273,0.175935991458674,"Global"
"O1.v3",0.00247500993069225,0.00225409192832966,0.000664740277196955,0.00544886506158027,"Global"
"O2a.v1",0.0499807251719355,0.0498314447199033,0.0397456297440789,0.0610018748901789,"Global"
"O2a.v3",0.000624899817368149,0.000427898460138348,1.56912401529317e-05,0.00232317825868858,"Global"
"O2afg.v2",0.267508565959076,0.267398657629234,0.246853792625723,0.288772955593084,"Global"
"O3/O3a",0.017277718020394,0.0171633620707001,0.0114121336184228,0.0240307313826949,"Global"
"O3b",0.0259297375763145,0.0257267582026196,0.0188404539217342,0.0342675825300168,"Global"
"O4",0.12357447030231,0.123407816860598,0.108722965648034,0.13934972230827,"Global"
"O5",0.0395333689714708,0.0393651313651094,0.0307331345383794,0.0493624725116323,"Global"
"OL102",0.000627293429748834,0.000436408782244379,1.6508055942993e-05,0.00226718754656542,"Global"
"OL103",0.00369635067549879,0.00349440131102364,0.00132263467606115,0.00726176973695138,"Global"
"OL104",0.00122146591845458,0.0010243473189871,0.000154654239906293,0.00336555036186948,"Global"
"OL13",0.0501154753283838,0.0499221846805286,0.0402722188830768,0.0609221548373802,"Global"
