"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.30868816648394,0.308725960612109,0.280301618623157,0.337998422202355
"O1.v1","Southern Africa",0.257670900789054,0.257322477293066,0.203485058737812,0.315323084237852
"O1.v1","Southern Asia",0.136430765108917,0.135915264586839,0.103951612841516,0.172137720680666
"O1.v1","Western Africa",0.228967370348146,0.222354052715893,0.0972665166040507,0.396328069660826
"O1.v2","Eastern Africa",0.155128859850497,0.154743308702778,0.132904245607939,0.178350968774509
"O1.v2","Southern Africa",0.214455713514547,0.213898225428611,0.163852728385926,0.269579179715772
"O1.v2","Southern Asia",0.117657366027775,0.117001633290834,0.0871066700372964,0.151830036501369
"O1.v2","Western Africa",0.323477548308306,0.318987727416943,0.166486920158921,0.499834110798533
"O1.v3","Eastern Africa",0.00322239982930912,0.00288905605119964,0.000760149613380088,0.00752808062373605
"O1.v3","Southern Africa",0.00118804296098931,0.000621665404939559,2.01854632935172e-05,0.00564139843924654
"O1.v3","Southern Asia",0.00134405816295124,0.000848841054623612,3.88442114235191e-05,0.00542250353500545
"O1.v3","Western Africa",0.00231716024100524,0.000854338829620622,2.45086854650664e-05,0.0139365329761377
"O2a.v1","Eastern Africa",0.054419296085046,0.0541822202739358,0.0410260856960066,0.0694491649562797
"O2a.v1","Southern Africa",0.0184563552277239,0.0171277689832037,0.00608605686781061,0.0380079007593298
"O2a.v1","Southern Asia",0.0597931901475473,0.0590088646621844,0.0388003172280278,0.0854490842676312
"O2a.v1","Western Africa",0.020562172921027,0.0140115434343279,0.00093372245890355,0.0764476004108082
"O2a.v3","Eastern Africa",0.00064476594195382,0.000395133964907355,1.22677861306042e-05,0.00264054035538031
"O2a.v3","Southern Africa",0.00048737900581681,0.000171113080210545,2.21749773017678e-06,0.00306108158307975
"O2a.v3","Southern Asia",0.000636812044430003,0.00028039469752184,4.07772932966472e-06,0.00334793370130458
"O2a.v3","Western Africa",0.000929106736693057,0.000201804206980735,2.22163582509365e-06,0.00616696584554743
"O2afg.v2","Eastern Africa",0.349314441305017,0.349126169872915,0.320228693719396,0.379763453929888
"O2afg.v2","Southern Africa",0.172085935969204,0.171178346866755,0.127718745376039,0.22225839173745
"O2afg.v2","Southern Asia",0.115377947495037,0.114653310355362,0.0854561398724146,0.149457731701893
"O2afg.v2","Western Africa",0.258967309611472,0.251647431008173,0.121109985598248,0.432343392107992
"O3/O3a","Eastern Africa",0.00508877176350198,0.00479222246210606,0.00179120314564395,0.0102189315663533
"O3/O3a","Southern Africa",0.0242699565203985,0.0229805880451773,0.00916165444163573,0.0469995540729129
"O3/O3a","Southern Asia",0.0435594109201122,0.0428465627630435,0.025253768538249,0.0659900856844414
"O3/O3a","Western Africa",0.0301978987073223,0.022096125540324,0.00250598729417872,0.101982982658609
"O3b","Eastern Africa",0.0224047369873793,0.0220533908694343,0.0141214788609549,0.0324784811950436
"O3b","Southern Africa",0.0179540936736081,0.016664396334241,0.00554642300378526,0.0372288069948414
"O3b","Southern Asia",0.0392913491032656,0.0384686326480262,0.022425758732752,0.0607005184127097
"O3b","Western Africa",0.0346773368971955,0.0266363612144424,0.00323665770925471,0.110220815416903
"O4","Eastern Africa",0.0484813188959147,0.0481368644529881,0.0361214182833891,0.0627070136558863
"O4","Southern Africa",0.144299718467497,0.143183886909898,0.101898710745457,0.193004550966726
"O4","Southern Asia",0.310584031996982,0.310097151791962,0.265959262938531,0.357797387924079
"O4","Western Africa",0.0358589841472722,0.0275101471484699,0.00239846732068728,0.115885457410747
"O5","Eastern Africa",0.0226281985956794,0.0223497744192685,0.0142656698344612,0.0327086743119313
"O5","Southern Africa",0.140607683014619,0.139747446936193,0.0982237252288741,0.188167078574321
"O5","Southern Asia",0.0226629659063662,0.0219418961491732,0.0105511035499939,0.0394548304717482
"O5","Western Africa",0.0214018026255044,0.0145541091505462,0.00109894851538206,0.0774693049867954
"OL102","Eastern Africa",0.000340177267514106,0.000165656859950713,2.85039223892176e-06,0.00169938900235561
"OL102","Southern Africa",0.000532739966374866,0.000189943879291656,2.3458249587933e-06,0.00315038950322364
"OL102","Southern Asia",0.00140249724283284,0.000837732754637185,2.23331050919097e-05,0.00605979470145796
"OL102","Western Africa",0.00096317010362856,0.000232293101699782,2.42165599158639e-06,0.00683376761751805
"OL103","Eastern Africa",0.000788347964324943,0.000559897556961499,3.62408862724568e-05,0.00282979797562823
"OL103","Southern Africa",0.00153493656926049,0.000869576124675829,3.33831129214603e-05,0.00686824655646946
"OL103","Southern Asia",0.0125498903750574,0.0117143687161676,0.00405088486538593,0.0256165289686906
"OL103","Western Africa",0.00319426005109052,0.0013139011855276,4.03021079243192e-05,0.018732461547296
"OL104","Eastern Africa",0.00108548698392933,0.00082187265944943,8.56962355739353e-05,0.00355629766628531
"OL104","Southern Africa",0.00111132829670089,0.000577809869754302,2.12651107484502e-05,0.00552511606771809
"OL104","Southern Asia",0.0012678987647518,0.000785202870254622,4.16955557859913e-05,0.00537167699967236
"OL104","Western Africa",0.00665095832186436,0.00275016735035261,0.000118768066795069,0.0373111476817772
"OL13","Eastern Africa",0.0274593196596845,0.027090862305471,0.0182861471645955,0.0386067742123774
"OL13","Southern Africa",0.00550571951287827,0.00437365437599255,0.000433304483769539,0.0170085026699528
"OL13","Southern Asia",0.136776705272924,0.13607380108052,0.104488742640341,0.172416857056135
"OL13","Western Africa",0.0355473416975069,0.0275285477283897,0.00345072839861243,0.111405369501193
