"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.265224754008002,0.265138264908054,0.245074681158174,0.28668033708221,"Global"
"O1.v2",0.176576914658929,0.176445516398786,0.159113143861608,0.194990875165475,"Global"
"O1.v3",0.00237234699724561,0.00217705025063526,0.000615705717276232,0.00529917193432987,"Global"
"O12",0.00117426512513334,0.000981103767887022,0.000136438341665403,0.00330509185777333,"Global"
"O2a.v1",0.0520332918676535,0.0518104832758293,0.0419356906819578,0.0631621912179784,"Global"
"O2a.v3",0.00059625089213795,0.000412571922681502,1.58497742292883e-05,0.0021999820249009,"Global"
"O2afg.v2",0.25588958491822,0.255725326518592,0.235894807049991,0.276315759391873,"Global"
"O3/O3a",0.0171594564928519,0.0169135204476031,0.0114377396779046,0.0241011555410385,"Global"
"O3b",0.0295372723846441,0.0293175713803024,0.0220020246211925,0.037971157228903,"Global"
"O4",0.118227548540953,0.118119048002339,0.103869785206934,0.133201707768636,"Global"
"O5",0.0253821313775491,0.0252291558516392,0.0184702280948722,0.0333273968751992,"Global"
"OL102",0.000594494675629998,0.000411940219061259,1.5935501798738e-05,0.00217447693514644,"Global"
"OL103",0.00352754376628264,0.00332985239028324,0.00131975533866173,0.00685740076642419,"Global"
"OL104",0.00176692765596659,0.00157485787061932,0.000358718390203223,0.00427250926338654,"Global"
"OL13",0.0501436001637185,0.0499935452489827,0.0404733694058065,0.0608577872500063,"Global"
