"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.25623987031233,0.256215467379365,0.236840910488594,0.276231934975543,"Global"
"O1.v2",0.177714786302179,0.17755788849156,0.160498482769315,0.19580833480204,"Global"
"O1.v3",0.00221912876683784,0.00204080733924514,0.000603115450800927,0.0047731564964886,"Global"
"O12",0.00109810262958963,0.000915513411371948,0.000139690441467098,0.00304846404977205,"Global"
"O2a.v1",0.0503740808793985,0.0501732460427581,0.0409794162650995,0.06073665851982,"Global"
"O2a.v3",0.000554914794273465,0.000382601810538553,1.54173067157876e-05,0.00202987059169426,"Global"
"O2afg.v2",0.252962201051981,0.25288940774237,0.233537878347402,0.272631269300633,"Global"
"O3/O3a",0.0160539117193408,0.0158488434376427,0.0107601743512254,0.0225064730273903,"Global"
"O3b",0.0287431016791106,0.0285846141324313,0.0215593660074725,0.0368333747638847,"Global"
"O4",0.127387584410448,0.12717486134666,0.113140175800432,0.142652482890541,"Global"
"O5",0.034260377738346,0.0341439667957041,0.0265043423275902,0.0429060503317573,"Global"
"OL102",0.000548415237461342,0.000378791526721455,1.28397310819577e-05,0.00204896948533791,"Global"
"OL103",0.00333203239853865,0.00313848589799114,0.00125087328721249,0.00646399071572982,"Global"
"OL104",0.00166332777865108,0.00146890510246113,0.000340284772515103,0.00404197912390883,"Global"
"OL13",0.0470112943908009,0.0468393408414312,0.0377812268467154,0.0568520894515404,"Global"
