"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.283432800205608,0.283220462123036,0.257555807199102,0.310056270257546
"O1.v1","Southern Africa",0.231693121020721,0.23074759616008,0.177795942960654,0.290251600133971
"O1.v1","Southern Asia",0.184867397052005,0.184371817903717,0.149637510274475,0.223302246071437
"O1.v1","Western Africa",0.337035877234376,0.335305627038499,0.237412499756701,0.445597837255549
"O1.v2","Eastern Africa",0.189049567741011,0.188773912545303,0.166413693266951,0.213499074581265
"O1.v2","Southern Africa",0.230097348112843,0.229175919549943,0.177629852255753,0.287507785480044
"O1.v2","Southern Asia",0.114820969316809,0.114436293162021,0.0868094383651564,0.146161479533264
"O1.v2","Western Africa",0.220475734678125,0.21786439501462,0.13913621769308,0.316863886539734
"O1.v3","Eastern Africa",0.0027545551083002,0.00248534382334142,0.000662580431799453,0.00633902006026533
"O1.v3","Southern Africa",0.00119670266795888,0.000690172607248293,3.74420325438577e-05,0.00535985162864826
"O1.v3","Southern Asia",0.00141057894056975,0.000980419995257895,7.52679531848747e-05,0.00522108542544707
"O1.v3","Western Africa",0.00198219588819235,0.00103165640097653,5.56972149230975e-05,0.00963791140463987
"O12","Eastern Africa",0.000848449210986373,0.000633462130606718,6.423981037828e-05,0.00285929107316012
"O12","Southern Africa",0.000843949221316592,0.000442794326735557,2.1038616768073e-05,0.00414805708639062
"O12","Southern Asia",0.00181700967556475,0.00128966601394203,0.000114733606748577,0.00638824138759534
"O12","Western Africa",0.00135523745861955,0.000636759427045559,2.78052816746568e-05,0.0070745195428903
"O2a.v1","Eastern Africa",0.0520022249600256,0.0517103550944155,0.0398206240640036,0.065540155408068
"O2a.v1","Southern Africa",0.0217401214603085,0.0203113205020652,0.00737477676366945,0.044302737225572
"O2a.v1","Southern Asia",0.0565148441947683,0.0558149372633406,0.0368849851163102,0.0798585466791549
"O2a.v1","Western Africa",0.0735470602956936,0.0698549513963149,0.0288272608640258,0.140149286985321
"O2a.v3","Eastern Africa",0.000537160612122133,0.000333839845896956,1.20784307724287e-05,0.00220144676631622
"O2a.v3","Southern Africa",0.000467387399951537,0.000178267036381985,3.1414644019145e-06,0.00277024477874663
"O2a.v3","Southern Asia",0.000611520822919057,0.000307244991096177,7.23543320365585e-06,0.00305529575567807
"O2a.v3","Western Africa",0.000738887424672781,0.000254241262941802,4.15943214661064e-06,0.00461750907630885
"O2afg.v2","Eastern Africa",0.32793542667927,0.327579931331206,0.301032531585371,0.356268621480029
"O2afg.v2","Southern Africa",0.184828326767938,0.183526564478768,0.135812123738449,0.240044753303594
"O2afg.v2","Southern Asia",0.112375122065248,0.111916464999896,0.0839569679662348,0.142985171476391
"O2afg.v2","Western Africa",0.161299345661022,0.158729877535433,0.0902681802457627,0.247936901273857
