"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.283813704690095,0.283669259432836,0.261544446230229,0.30678778002941,"Global"
"O1.v2",0.193941917722443,0.193706454835429,0.17470938994338,0.213690887178213,"Global"
"O1.v3",0.00257660718897407,0.00236183844450179,0.000704012828437093,0.00563439844893551,"Global"
"O12",0.0012910325770032,0.00108791329793812,0.000156924346078867,0.00357363254144323,"Global"
"O2a.v1",0.0509916660415093,0.0508166118399356,0.0405738042229633,0.0622688116897197,"Global"
"O2a.v3",0.00064795476165413,0.000447375535016422,1.65473654693495e-05,0.00237156548542698,"Global"
"O2afg.v2",0.271606508814738,0.271478251511938,0.249316495800763,0.294106868336989,"Global"
"O3/O3a",0.016178925120338,0.0159944357692323,0.0105746965208309,0.0228614749549797,"Global"
"O3b",0.0258844131450965,0.0257121706439286,0.0186260303154404,0.034259714523589,"Global"
"O4",0.0801860887424326,0.0800349835721138,0.0672284702402429,0.0940189251387916,"Global"
"O5",0.0388197050344302,0.0386443914098249,0.0299096165378394,0.0486449662748832,"Global"
"OL103",0.00385716685221328,0.00366222557666677,0.0014416628501047,0.00745763539483045,"Global"
"OL104",0.00193617889392587,0.00173261514842012,0.000432599516775596,0.00458461072868748,"Global"
"OL13",0.0284168793852115,0.0282984817746498,0.020822575772324,0.0369573859732756,"Global"
