"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.28371386132541,0.28337045486988,0.257429444938487,0.310946189602725
"O1.v1","Southern Africa",0.2773236453811,0.276771849850992,0.222951149171225,0.334521959495539
"O1.v1","Southern Asia",0.265705874372561,0.264870141379395,0.19644646698586,0.342302004279102
"O1.v1","Western Africa",0.338960868892152,0.33661804552529,0.235884153533813,0.44735549710027
"O1.v2","Eastern Africa",0.189075645175525,0.188865268015335,0.166589058154325,0.212762788373374
"O1.v2","Southern Africa",0.211704758696999,0.210731548088225,0.163908646395661,0.26495194652219
"O1.v2","Southern Asia",0.18529955259895,0.184046007532995,0.124884406247427,0.252818765117725
"O1.v2","Western Africa",0.222335128154593,0.219999707480365,0.138162339493169,0.318440203316191
"O1.v3","Eastern Africa",0.00289015543689916,0.00260013873346602,0.00072059991567869,0.00662404975552403
"O1.v3","Southern Africa",0.00126778604203966,0.000758394469274039,3.90805475884858e-05,0.00534322653053568
"O1.v3","Southern Asia",0.00261841122323742,0.00158359576716788,8.51968025193153e-05,0.0113723136939208
"O1.v3","Western Africa",0.00220988825651661,0.0011276086242976,5.39434602621984e-05,0.0108564912621215
"O12","Eastern Africa",0.000969871578507737,0.000744651765161482,7.5555423632917e-05,0.00315920609443768
"O12","Southern Africa",0.00103236451433532,0.000550077208456295,2.57828818400886e-05,0.00490026872295979
"O12","Southern Asia",0.0040294382852235,0.00264620761714287,0.000198609273510569,0.015475145013877
"O12","Western Africa",0.00175102398382051,0.000820682969083857,3.34662364677566e-05,0.00942142552335797
"O2a.v1","Eastern Africa",0.0520493197268564,0.051777145406762,0.0396868475215823,0.0659641479599969
"O2a.v1","Southern Africa",0.0194250507149009,0.0182722988285922,0.00682457996446874,0.0386470334851829
"O2a.v1","Southern Asia",0.0858884414803978,0.0840122539505265,0.0466160445060024,0.135405635743291
"O2a.v1","Western Africa",0.073816853749178,0.0704145551199708,0.0293883371348059,0.137908565232276
"O2a.v3","Eastern Africa",0.00060690810296484,0.00039368833945819,1.26407074384002e-05,0.00237658460746402
"O2a.v3","Southern Africa",0.000522126926475684,0.000204306979971053,3.11822572548829e-06,0.00295617445200233
"O2a.v3","Southern Asia",0.00108706806158331,0.000445964571049921,8.95639658218212e-06,0.0061825502443813
"O2a.v3","Western Africa",0.000842746441995593,0.000295553092386696,4.79548909093667e-06,0.00496935633709038
"O2afg.v2","Eastern Africa",0.327864912545767,0.327611475085915,0.299873257529754,0.357032930071534
"O2afg.v2","Southern Africa",0.166317595864088,0.165358373195413,0.122653642107053,0.215341484956129
"O2afg.v2","Southern Asia",0.0757303457519569,0.073908048492707,0.0390961312233541,0.12368025506301
"O2afg.v2","Western Africa",0.159185503545414,0.156283810710719,0.0882681517125826,0.24480895856189
"O3/O3a","Eastern Africa",0.00490567464010932,0.00461945756997063,0.00178661285174415,0.00956180023313013
"O3/O3a","Southern Africa",0.0237381629399189,0.0224786431622078,0.00921068718888696,0.0451219798093087
"O3/O3a","Southern Asia",0.0812561135140662,0.0790440973049016,0.0439827943745574,0.13069691092001
"O3/O3a","Western Africa",0.0352771323131903,0.031925211073094,0.00910787763973793,0.0816656628190033
"O3b","Eastern Africa",0.0221929040471963,0.0218820963266476,0.0144699314778837,0.0317995671509961
"O3b","Southern Africa",0.0212849310653731,0.0201020243781552,0.00811638668740459,0.0417924524118326
"O3b","Southern Asia",0.0509480376757485,0.0488850017072603,0.02211285634517,0.0906397757563648
"O3b","Western Africa",0.0480363453797797,0.0443506886474402,0.0147864002721952,0.102440966693742
"O4","Eastern Africa",0.0687638542855118,0.0684822768743108,0.0545524593013443,0.0843518107854265
"O4","Southern Africa",0.135430183674021,0.134466861622797,0.0961449447712488,0.180749742586058
"O4","Southern Asia",0.0962878372433663,0.0946973916313651,0.0546073833691043,0.149669827254381
"O4","Western Africa",0.0372546790996737,0.0340361084533545,0.00949135220685265,0.0843872364713049
"O5","Eastern Africa",0.0204327696207612,0.0201747677430034,0.0130131377744371,0.0295330498631597
"O5","Southern Africa",0.132066860969573,0.131076831124369,0.092701118695297,0.177911726071908
"O5","Southern Asia",0.0327895510732641,0.0307744527876714,0.0115481864765514,0.0653864095439785
"O5","Western Africa",0.0138621769285329,0.0111129856331778,0.00138070788292974,0.041883879742701
"OL103","Eastern Africa",0.000974207932746406,0.000756552547662711,7.63365576710057e-05,0.00307965762782276
"OL103","Southern Africa",0.00193111793005358,0.00127703584536466,8.47023901527901e-05,0.00757574060783912
"OL103","Southern Asia",0.0302316807821701,0.0280072275459435,0.00952157484190736,0.0637849617295204
"OL103","Western Africa",0.00345999945711277,0.00204344626815397,0.000107925196834196,0.014997979966077
"OL104","Eastern Africa",0.00127786642425559,0.0010472062994808,0.000174500020871866,0.00364398246218996
"OL104","Southern Africa",0.00158081704306483,0.000995689224535071,6.655627041456e-05,0.00670315848650329
"OL104","Southern Asia",0.00571494698468691,0.00415974606947398,0.000474249459918734,0.0197690780492313
"OL104","Western Africa",0.00564855487492584,0.00367006432066354,0.00030937434840704,0.0225981975536026
"OL13","Eastern Africa",0.0246570251910875,0.0243962174284189,0.0164606772163973,0.0342797048478161
"OL13","Southern Africa",0.00592528076422243,0.00492469437854285,0.000630542870143121,0.0170471812993509
"OL13","Southern Asia",0.0821867573545558,0.0803112511247935,0.0441739289348647,0.131831178895223
"OL13","Western Africa",0.0568667230845921,0.0532193112869989,0.0193439816182409,0.114077638988441
