"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.283531671591717,0.283464496573712,0.256997835022512,0.310291180758631
"O1.v1","Southern Africa",0.307225137501162,0.306353849311604,0.245269803417946,0.373779843128038
"O1.v1","Southern Asia",0.184958794240141,0.184654897687522,0.149234744463996,0.223092649120083
"O1.v1","Western Africa",0.338379407571809,0.337264216422308,0.238027883752037,0.446476348865166
"O1.v2","Eastern Africa",0.188696485177508,0.188626207097734,0.165989767600449,0.21209464511993
"O1.v2","Southern Africa",0.17422464065941,0.17337680954851,0.125097127766654,0.229312913340646
"O1.v2","Southern Asia",0.114670644944152,0.113963855211537,0.0866338930369641,0.146442448673725
"O1.v2","Western Africa",0.219304543422679,0.216914534974769,0.135760227950389,0.315673850783058
"O1.v3","Eastern Africa",0.00273665320459072,0.0024689548454005,0.000640212202234297,0.0064631261576369
"O1.v3","Southern Africa",0.00133628663192907,0.000768751889323278,4.60476059830448e-05,0.00595662087398795
"O1.v3","Southern Asia",0.00143347168862563,0.00102182839665166,7.49265921154059e-05,0.0052072184237702
"O1.v3","Western Africa",0.00193418140596063,0.00103879867282486,5.58472205427601e-05,0.0091347471869035
"O12","Eastern Africa",0.000851427433403674,0.000641711749727014,6.19062178019762e-05,0.00282721296329159
"O12","Southern Africa",0.000937800576269065,0.000503716284573306,2.62715667938913e-05,0.00443772064412204
"O12","Southern Asia",0.00181191989697372,0.00130713509334434,0.000116284395358862,0.00643114620326947
"O12","Western Africa",0.00137683001516085,0.000659226660280234,3.07188617498907e-05,0.0071126702837555
"O2a.v1","Eastern Africa",0.0519020731643434,0.051532984676068,0.0396166243115398,0.0659542413375725
"O2a.v1","Southern Africa",0.0196895523976847,0.0182690923457251,0.00591774592865148,0.0415822156499812
"O2a.v1","Southern Asia",0.0564508970196731,0.0558451967452035,0.036899347331732,0.0799009242689861
"O2a.v1","Western Africa",0.0724695449860148,0.0691129463928151,0.0282801705700476,0.135082597813757
"O2a.v3","Eastern Africa",0.000539128729113747,0.000336339594128224,1.0184177164359e-05,0.00219743319753939
"O2a.v3","Southern Africa",0.000501837212759813,0.000197981571725908,3.77433106674445e-06,0.00289623940297091
"O2a.v3","Southern Asia",0.000635575362792714,0.000305579401888558,7.18379242478523e-06,0.0031745037602772
"O2a.v3","Western Africa",0.000712552955635214,0.000252807536678941,4.29800049701153e-06,0.0044161632321374
"O2afg.v2","Eastern Africa",0.327311399958309,0.327337768800848,0.299093343931343,0.355796554195216
"O2afg.v2","Southern Africa",0.149722982478005,0.148400040296469,0.10441166584614,0.201611960739182
"O2afg.v2","Southern Asia",0.112615422185678,0.112001439950021,0.0842776676151302,0.14386649543742
"O2afg.v2","Western Africa",0.160389435023493,0.157185882766577,0.0909255070877193,0.248038158847033
"O3/O3a","Eastern Africa",0.00500722835566638,0.00474526257785509,0.00185096383615538,0.00969530849192473
"O3/O3a","Southern Africa",0.0281697856048344,0.0266368082463182,0.0111103247418512,0.0539331480809582
"O3/O3a","Southern Asia",0.0433151265807852,0.0426150722104932,0.026326265646101,0.0641204680476357
"O3/O3a","Western Africa",0.0338513384928435,0.0303094192452618,0.0086643756477072,0.0785850288803164
"O3b","Eastern Africa",0.0222397962143213,0.0219421760047798,0.0145538627323636,0.0315919770667876
"O3b","Southern Africa",0.0263422095592769,0.0249470867844775,0.0098242138213146,0.0512026588570967
"O3b","Southern Asia",0.0468274483778075,0.0461010210679082,0.0289622527470893,0.0684815359583289
"O3b","Western Africa",0.048454582254266,0.0452370604564455,0.0153726831375186,0.100767186032911
"O4","Eastern Africa",0.0692076679908703,0.0689718507234659,0.0546888896505571,0.0850326862689043
"O4","Southern Africa",0.161116768622794,0.160025548045324,0.113407796817348,0.215094328135899
"O4","Southern Asia",0.278855096742858,0.278482578738236,0.238114737024819,0.322419444194543
"O4","Western Africa",0.04321260701292,0.0396315552440968,0.011897779642054,0.0950499411927686
"O5","Eastern Africa",0.0203617466192187,0.0200481769208275,0.0131251734207088,0.029502780837199
"O5","Southern Africa",0.118613367080708,0.117320734902608,0.0769992928357998,0.168335481689109
"O5","Southern Asia",0.0228332386915207,0.0221094825007883,0.0110792492696144,0.0388698287304329
"O5","Western Africa",0.0141610616126457,0.011345440741454,0.00154073696290506,0.0424843787670703
"OL102","Eastern Africa",0.000321054543267611,0.000166675204154394,3.95874231936561e-06,0.0015275318545781
"OL102","Southern Africa",0.000521044838397337,0.000207759248443943,3.90348567228701e-06,0.00296000618875644
"OL102","Southern Asia",0.00114590322905462,0.000694633652569911,1.9249125814402e-05,0.004798420947404
"OL102","Western Africa",0.000737873455021468,0.000266938335417985,4.53959577326631e-06,0.00448126301098445
"OL103","Eastern Africa",0.00085216262513109,0.000645672459852711,6.56164657002987e-05,0.00286298427543225
"OL103","Southern Africa",0.00172740732399813,0.00110553371914422,7.3767678117088e-05,0.0070605008108977
"OL103","Southern Asia",0.0105998374668879,0.00985543904054041,0.00347697686931253,0.0218287015760498
"OL103","Western Africa",0.00260050406939721,0.0015159621755359,0.000100103533977974,0.0116092730767507
"OL104","Eastern Africa",0.00117159270992351,0.000942422550709339,0.000136531951062645,0.00345737923982478
"OL104","Southern Africa",0.00151801646598021,0.000932803852330127,6.70887925062252e-05,0.00638865728362934
"OL104","Southern Asia",0.00253314772104278,0.00197321646067777,0.00028317887604105,0.00786058869860621
"OL104","Western Africa",0.00460485168366749,0.00281656572211799,0.000248033277977422,0.0198778544685157
"OL13","Eastern Africa",0.0249596474861176,0.0246223969996685,0.0168481914354355,0.0348144018487427
"OL13","Southern Africa",0.00825737326987626,0.00690163691384598,0.00115213682700986,0.0229178116621019
"OL13","Southern Asia",0.121401368726718,0.12066503576628,0.092997514992825,0.153634188053727
"OL13","Western Africa",0.0586526268893363,0.0552082485461066,0.0209160556408342,0.116603241164589
