"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.273540243384361,0.273433058842161,0.253424439166817,0.294184439009585,"Global"
"O1.v2",0.141509988023695,0.141265548150906,0.125357488696887,0.158118539723541,"Global"
"O1.v3",0.00226829766871903,0.0020831102735686,0.000633786588056779,0.00497128780319648,"Global"
"O12",0.0011336925813417,0.000955170528697784,0.000139868044393835,0.00313772475422102,"Global"
"O2a.v1",0.0514385302558598,0.0512907543680287,0.0416328857908035,0.062060942778114,"Global"
"O2a.v3",0.000569687771165604,0.000389869236200453,1.49943885361448e-05,0.00209111679650499,"Global"
"O2afg.v2",0.250987828455684,0.250855175711215,0.23206098707726,0.270583828933546,"Global"
"O3/O3a",0.0186642293380294,0.0184707302937857,0.0130085280136288,0.0255651867759528,"Global"
"O3b",0.0288948195466592,0.0286771819042323,0.0215472263366602,0.0372557752444225,"Global"
"O4",0.138134443617478,0.137997212257004,0.122808847512151,0.153832312060648,"Global"
"O5",0.0385126607540063,0.0383533889150665,0.0301444577998359,0.0478892171827216,"Global"
"OL102",0.000575959022836611,0.000402055884596605,1.70690204608159e-05,0.0021066231955248,"Global"
"OL103",0.00395403558277737,0.00378995997921813,0.00162420274982909,0.00731339630529116,"Global"
"OL104",0.000563167305432211,0.000399050795553413,1.45058523832328e-05,0.00202400346782153,"Global"
"OL13",0.0493164697890454,0.0490811334533616,0.0400819886766305,0.0596178121149459,"Global"
