"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.305498102467135,0.305491626520189,0.276969587123189,0.334779585563198
"O1.v1","Southern Africa",0.281220036120043,0.280501231184916,0.22690229267272,0.339881654777974
"O1.v1","Southern Asia",0.184958877804849,0.184434433845541,0.149724733229139,0.222830249592932
"O1.v1","Western Africa",0.390705912892753,0.388638167667518,0.265601334054141,0.523769772133537
"O1.v2","Eastern Africa",0.138089199949052,0.137851452577849,0.116913055061069,0.160635400269212
"O1.v2","Southern Africa",0.194255036839783,0.193613529974135,0.145948025735319,0.246133530268061
"O1.v2","Southern Asia",0.114070273956177,0.113464178164297,0.085908896891147,0.145856687269845
"O1.v2","Western Africa",0.158451568552149,0.154634635573031,0.0748878062334504,0.264620533297298
"O1.v3","Eastern Africa",0.00301409577365627,0.0026997043142496,0.000692844139041296,0.00721466760164475
"O1.v3","Southern Africa",0.00122019395152648,0.000717460840120488,3.86699918318099e-05,0.00552454803105541
"O1.v3","Southern Asia",0.00145340558623198,0.00101034294854811,7.27201667672872e-05,0.00541646775973553
"O1.v3","Western Africa",0.00208584907293831,0.00104624364311265,4.77551509006078e-05,0.010514457613969
"O12","Eastern Africa",0.000921934508706464,0.000671263255411932,6.14187178241886e-05,0.00323709858012944
"O12","Southern Africa",0.000897277597301642,0.000470312453021255,2.28681443522218e-05,0.00443790131333994
"O12","Southern Asia",0.00191571379691145,0.00138760094017338,0.000126450168873235,0.00671152173347654
"O12","Western Africa",0.00147477787936813,0.00064525070098442,2.65224658532524e-05,0.00820911929184135
"O2a.v1","Eastern Africa",0.049116504779567,0.0487883557117061,0.0367062617697299,0.0634134947445011
"O2a.v1","Southern Africa",0.020366806986087,0.0191180277211002,0.00718352727237668,0.0407358427956785
"O2a.v1","Southern Asia",0.0568632926028451,0.056128329808519,0.0369097329688791,0.0804513669317782
"O2a.v1","Western Africa",0.10360488956419,0.0985494137765983,0.0405057180075514,0.194950104735929
"O2a.v3","Eastern Africa",0.000585108150617784,0.000363032065600162,1.19113071379922e-05,0.0024398956024653
"O2a.v3","Southern Africa",0.000477701907258958,0.000185764336966125,3.6742409804679e-06,0.0028386467753182
"O2a.v3","Southern Asia",0.00065299093323762,0.000323015829903958,7.47910457658938e-06,0.0032627123385805
"O2a.v3","Western Africa",0.00077343976202954,0.000243864241571367,4.16160220248647e-06,0.00479233039985165
"O2afg.v2","Eastern Africa",0.353798761720963,0.353821635907068,0.32452645919732,0.384102316517361
"O2afg.v2","Southern Africa",0.165854606219411,0.164927659959472,0.121415351336242,0.216465890358911
"O2afg.v2","Southern Asia",0.112222896686802,0.111539266795644,0.0841156871186978,0.143548476654096
"O2afg.v2","Western Africa",0.110882129892207,0.105707251243387,0.043810087958941,0.203665219583209
"O3/O3a","Eastern Africa",0.00528133961587498,0.00496232347252043,0.0018665582752725,0.0105478419612759
"O3/O3a","Southern Africa",0.023900659309898,0.0225650551047964,0.00934694218773657,0.0463530077653246
"O3/O3a","Southern Asia",0.0435195584764119,0.0427767656340454,0.0266157231670991,0.0645395636344116
"O3/O3a","Western Africa",0.0324402220441323,0.0273814144082418,0.00596021565428974,0.0877622670712791
"O3b","Eastern Africa",0.022332310497455,0.0219813823029922,0.0141912915401556,0.0325182904856406
"O3b","Southern Africa",0.0223263228681718,0.0211054606475012,0.00813223104904208,0.0434771603354931
"O3b","Southern Asia",0.0468872707546617,0.0460617416099005,0.0291904706523415,0.0685330193244545
"O3b","Western Africa",0.0516074220112405,0.046502566711459,0.0132323524314804,0.116619121514935
"O4","Eastern Africa",0.0700596258809303,0.0698486087069064,0.0553223773540642,0.0864083598051563
"O4","Southern Africa",0.143165715891081,0.142086283250388,0.102104083945974,0.189010506812391
"O4","Southern Asia",0.279785699286597,0.279404771884688,0.237132539539851,0.32370972224837
"O4","Western Africa",0.0575832044825939,0.05242365053559,0.0144036943918166,0.129056808912772
"O5","Eastern Africa",0.0224261211930524,0.0221245243625993,0.0143333917650696,0.0324523748931623
"O5","Southern Africa",0.137543602789305,0.136555183828908,0.0958468201487805,0.183548435577274
"O5","Southern Asia",0.0229467007231751,0.0221568228077476,0.0117602103966708,0.0385140117286455
"O5","Western Africa",0.0177115349620385,0.0138815280018611,0.00162866601371223,0.0549041515775955
"OL102","Eastern Africa",0.000328140188788071,0.000169713770794378,3.64105773732788e-06,0.00153515714788385
"OL102","Southern Africa",0.000486090902599757,0.000199531559782886,3.5677058245063e-06,0.00283548164385962
"OL102","Southern Asia",0.00120504462252095,0.000737544236478147,2.16258369462113e-05,0.00504356088639873
"OL102","Western Africa",0.000765348308507026,0.000254528653544352,3.98966463234858e-06,0.00456095334923538
"OL103","Eastern Africa",0.000881950397883872,0.000659646332346806,5.52636708546375e-05,0.0029971051997274
"OL103","Southern Africa",0.00157806979052978,0.00100041307663371,6.45634503209757e-05,0.00638142634801509
"OL103","Southern Asia",0.0108337690272664,0.010165838854721,0.00370405256239566,0.0219141193647679
"OL103","Western Africa",0.00284780106956968,0.00151236876859079,8.02754934299579e-05,0.0138565377595618
"OL104","Eastern Africa",0.000324263306088207,0.000169771311939979,3.66008031536356e-06,0.001590280255155
"OL104","Southern Africa",0.00048151660532625,0.000197107917649905,3.34613987947386e-06,0.00263328017715669
"OL104","Southern Asia",0.00120827441555783,0.000728518205681004,2.10931775169324e-05,0.00516074772918105
"OL104","Western Africa",0.000789933195245141,0.000256853736212041,4.10004087756074e-06,0.00487444811250506
"OL13","Eastern Africa",0.0273000229339489,0.0270206679545299,0.0181796963877413,0.0378947453920183
"OL13","Southern Africa",0.00694799794702262,0.00588206068913163,0.000862641373328537,0.0195545676522672
"OL13","Southern Asia",0.121697296076216,0.121365802371138,0.0918712171503613,0.154292493752738
