"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.177791586705492,0.177563002093537,0.158932153682001,0.19694107562908,"Global"
"O1.v2",0.189790378178488,0.18972728050964,0.170258744804399,0.209665162872173,"Global"
"O12",0.00135681166820979,0.00114774371710448,0.000158910573180376,0.00373799190148369,"Global"
"O2a.v1",0.0569836010145789,0.0568036015937947,0.0460231441724554,0.0690893687435151,"Global"
"O2a.v3",0.000667275499994865,0.000451244188258521,1.63712385684662e-05,0.00250138837724389,"Global"
"O2afg.v2",0.285724728536382,0.285636781392429,0.264332642089954,0.307416795335866,"Global"
"O3/O3a",0.0202444229418566,0.0200454960635656,0.013776449246238,0.0279165190844862,"Global"
"O3b",0.0319028633222072,0.0317020842305498,0.0236579277714822,0.0413588573741027,"Global"
"O4",0.137782727415072,0.137577600110161,0.121010754018033,0.155072061816699,"Global"
"O5",0.0413562776236552,0.0412881953982053,0.031857055712281,0.0517767060838566,"Global"
"OL102",0.000682467364535283,0.000469494854407712,1.73306240435981e-05,0.00248956866958238,"Global"
"OL103",0.00404933331256855,0.00382661375607208,0.00153858127359593,0.00778649514254853,"Global"
"OL104",0.00205559067297601,0.00182608129458158,0.000416078169146917,0.00491299986109398,"Global"
"OL13",0.049575207720206,0.0493805248839084,0.0394485601759187,0.0607653670498671,"Global"
