"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.124385634877106,0.123912271157136,0.10167541351056,0.149221839150789
"O1.v1","Southern Africa",0.276716897566846,0.275970153339429,0.222910221795771,0.333869692380064
"O1.v1","Southern Asia",0.184216205711974,0.183618558719584,0.14864244336008,0.222458793183597
"O1.v1","Western Africa",0.334963150038371,0.333706999194847,0.235241513419644,0.439667907658639
"O1.v2","Eastern Africa",0.223290384932258,0.223052539607046,0.193597615656573,0.254503872952384
"O1.v2","Southern Africa",0.211503146924491,0.210690743509443,0.164108080868559,0.263602554668486
"O1.v2","Southern Asia",0.114640876730271,0.114196562559034,0.086648190013832,0.145930778785013
"O1.v2","Western Africa",0.221848491788655,0.219007858219751,0.138229330983575,0.320543939441061
"O12","Eastern Africa",0.00109387336376532,0.000792151292560599,6.71700977771284e-05,0.00383647374737465
"O12","Southern Africa",0.0009185145820261,0.000506607183231022,2.20956801103832e-05,0.00433336621297244
"O12","Southern Asia",0.00201833374253895,0.00147868379372011,0.000126346887396697,0.00702817183907954
"O12","Western Africa",0.00156247891322821,0.000710552054411551,3.20581339566392e-05,0.00870273000415759
"O2a.v1","Eastern Africa",0.0679266971151403,0.0674974668373063,0.0510989855881942,0.086976146735245
"O2a.v1","Southern Africa",0.0194951836066012,0.0183128955428381,0.00690000477668348,0.0385851050210245
"O2a.v1","Southern Asia",0.0567485324233299,0.0561133209881025,0.0371035621273665,0.080262894226008
"O2a.v1","Western Africa",0.0739825124738123,0.0704609685214314,0.0289178232014718,0.138202835228212
"O2a.v3","Eastern Africa",0.000692004494609313,0.000409953205872581,1.20188420918559e-05,0.00300161363059488
"O2a.v3","Southern Africa",0.000515281028072333,0.00020562844131286,3.2167735066578e-06,0.00303703077148175
"O2a.v3","Southern Asia",0.000681822965429824,0.000337127283018912,7.6336635908889e-06,0.0033981813652113
"O2a.v3","Western Africa",0.000836971609516805,0.000283412697969437,4.8921466780416e-06,0.00509216815043444
"O2afg.v2","Eastern Africa",0.439805602478211,0.4398792931352,0.404142357687214,0.475640272376864
"O2afg.v2","Southern Africa",0.167730290706774,0.166810050620037,0.123979825916036,0.216528877858756
"O2afg.v2","Southern Asia",0.112851652970799,0.112260497734657,0.0849434686047503,0.144204507114221
"O2afg.v2","Western Africa",0.161917501447154,0.159092983562455,0.0901214198045836,0.249596750048194
"O3/O3a","Eastern Africa",0.00447527705581973,0.00410119223722493,0.00120625122111057,0.00995783380870576
"O3/O3a","Southern Africa",0.0229591821273367,0.0217834431274008,0.00879219902992101,0.043644898116421
"O3/O3a","Southern Asia",0.0431498549514486,0.0423945730606776,0.0263490418510124,0.064245075386111
"O3/O3a","Western Africa",0.0336805854391714,0.0301903024674582,0.00839345302893959,0.0783651763899143
"O3b","Eastern Africa",0.0248432843068084,0.0244630776763757,0.0149073682947389,0.0370445795057053
"O3b","Southern Africa",0.0213732903466688,0.020116134270272,0.00785534995524538,0.041288854852186
"O3b","Southern Asia",0.0469678418840781,0.0463439227918936,0.029239967891793,0.0683320786278696
"O3b","Western Africa",0.0485973883788842,0.0447166926777457,0.0149213101151374,0.103264425930303
"O4","Eastern Africa",0.0649161067450956,0.0645881887815531,0.0483727460783707,0.0839374149195716
"O4","Southern Africa",0.137200192086792,0.136053312295252,0.0971581055862926,0.18254873102574
"O4","Southern Asia",0.279355531580714,0.278847084899299,0.237420366127187,0.322801952150126
"O4","Western Africa",0.0412641019998608,0.0378669652292922,0.0109087874404361,0.0928505502362975
"O5","Eastern Africa",0.0247575147657374,0.0242929940839883,0.0149576535275588,0.0367295538226725
"O5","Southern Africa",0.131782775487972,0.130775950279211,0.091921402614527,0.176877780699475
"O5","Southern Asia",0.0228045539090758,0.0221008596140076,0.0111087406799077,0.0384545379472603
"O5","Western Africa",0.0140512926886355,0.0111578720611679,0.00144859031755906,0.0425579936407027
"OL102","Eastern Africa",0.000368752502346128,0.000180480369916359,3.56637167075735e-06,0.00184020566482922
"OL102","Southern Africa",0.000523079082538897,0.000206459113956242,3.58291986483977e-06,0.00305410535807144
"OL102","Southern Asia",0.00127880657843016,0.000772475320687266,2.42819465563001e-05,0.00536261058150994
"OL102","Western Africa",0.000844633170923749,0.000286214604635258,4.86923939829368e-06,0.00519469196032171
"OL103","Eastern Africa",0.000973390784109792,0.000707518182258551,5.89442813000569e-05,0.00347256227595939
"OL103","Southern Africa",0.0015592634354394,0.00098129288739122,6.22019155440261e-05,0.0065314732543636
"OL103","Southern Asia",0.0109433784849278,0.0102121742729569,0.00372070574143927,0.0221583457100684
"OL103","Western Africa",0.00273393830745823,0.00150302858849292,8.74801192379897e-05,0.0131722729529235
"OL104","Eastern Africa",0.00150724545247885,0.00115780307481005,0.000149278215062863,0.0048235557867422
"OL104","Southern Africa",0.00146384891999304,0.000897916111471923,5.92278183939201e-05,0.00622228230773435
"OL104","Southern Asia",0.0027355635777795,0.0021793266554018,0.000293999232854481,0.00837618099931085
"OL104","Western Africa",0.00538037399768893,0.00331036834548764,0.00026223458363518,0.0230885386010101
"OL13","Eastern Africa",0.0208609832375518,0.0204580927833002,0.0120849636789599,0.031974638891264
"OL13","Southern Africa",0.00626331149456862,0.00518433789151695,0.000763023251629792,0.0176370131312864
"OL13","Southern Asia",0.121643823993391,0.120918877487777,0.093496209933675,0.153871722626159
"OL13","Western Africa",0.0583915857372457,0.0550756494187161,0.0206334815575526,0.117634467146787
