"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.25435578688303,0.254484885325972,0.234586237324318,0.274698972883072,"Global"
"O1.v2",0.179128674741473,0.178885532225523,0.16164629390145,0.197383167565348,"Global"
"O1.v3",0.00224869114067639,0.00207070177474316,0.000636100710751777,0.00489114256385468,"Global"
"O12",0.00114244195525595,0.000971592280334726,0.00013564591044897,0.00316716853429214,"Global"
"O2a.v1",0.0349637990489035,0.0347763872142074,0.0270119493818661,0.0438759405668969,"Global"
"O2a.v3",0.000564426835133203,0.000392492837473942,1.38420839529157e-05,0.0021053163278084,"Global"
"O2afg.v2",0.258794618775046,0.258601319644034,0.239415707130025,0.278890114326495,"Global"
"O3/O3a",0.0181000782478975,0.0179370333211413,0.0124693505829603,0.0248163985039041,"Global"
"O3b",0.0299966511750915,0.0298147643130224,0.0225719567635474,0.0385925529370247,"Global"
"O4",0.130523221417751,0.130356793257935,0.115716347482613,0.146149017097189,"Global"
"O5",0.0368023802028688,0.036702660775479,0.0285851582907941,0.045870561736582,"Global"
"OL102",0.000565968028906557,0.000387117361648766,1.41627493737383e-05,0.00208170938219262,"Global"
"OL103",0.00339215346904633,0.0032047890471455,0.00124479019465498,0.00659968002985205,"Global"
"OL104",0.00169672119497152,0.00150684854155128,0.000369490274510395,0.00406344313313245,"Global"
"OL13",0.0480429432626389,0.04794348777849,0.038751429391021,0.0581842769288751,"Global"
