"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.25939312277547,0.259179208619185,0.240271597213573,0.279643434414758,"Global"
"O1.v2",0.177831409859633,0.177653256698844,0.160667574183629,0.195156911132447,"Global"
"O1.v3",0.00213603748111025,0.00196084368163262,0.000577997946011321,0.00471478016552903,"Global"
"O12",0.00107310497614891,0.000901532785390015,0.000131155659584555,0.00296434238413829,"Global"
"O2a.v1",0.0487622471180956,0.0485819293960532,0.0395878249539317,0.0589690004862321,"Global"
"O2a.v3",0.000535750180308346,0.000375589630488674,1.42632217424256e-05,0.00191467813094173,"Global"
"O2afg.v2",0.252417161212112,0.252169192940627,0.233471517850543,0.272234138011792,"Global"
"O3/O3a",0.017629080013016,0.0175142327527409,0.0122163615805946,0.0239538062582778,"Global"
"O3b",0.0283414690018297,0.028165061900751,0.0212845877710428,0.0363805201228878,"Global"
"O4",0.124367915334685,0.124273267791111,0.11042146064331,0.139104284551693,"Global"
"O5",0.0348455914165969,0.0346747325896463,0.0272553636055454,0.0431908952597135,"Global"
"OL102",0.000539454100955504,0.000370969060676127,1.3805805820953e-05,0.00198634074060016,"Global"
"OL103",0.00320369998231174,0.00300576140129184,0.00121817695534963,0.0061773446242162,"Global"
"OL104",0.00161444088643111,0.00143634661452794,0.000331948394020301,0.00394474111234445,"Global"
"OL13",0.0471875882889912,0.0470283669193315,0.0380993503193714,0.0570428787406084,"Global"
