"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.278582019458594,0.278299187090371,0.253224044668899,0.305261967858357
"O1.v1","Southern Africa",0.277372811296997,0.276849789939236,0.224042028474432,0.33414615442901
"O1.v1","Southern Asia",0.18476515833999,0.184217607040019,0.14933980234135,0.223150521463694
"O1.v1","Western Africa",0.338428931016017,0.337413425306793,0.238230303717778,0.44727812088634
"O1.v2","Eastern Africa",0.191732366224337,0.191459270244381,0.168879572863572,0.215431542255558
"O1.v2","Southern Africa",0.211177397611667,0.210695051242873,0.1626076228826,0.263352962528992
"O1.v2","Southern Asia",0.114674052264964,0.114106570801188,0.0866547844063157,0.145880385013926
"O1.v2","Western Africa",0.220944574456008,0.218760429618479,0.139702125277694,0.31824424858585
"O1.v3","Eastern Africa",0.00267171308597859,0.00239406992955543,0.000622799466257486,0.00636937152359261
"O1.v3","Southern Africa",0.001125050726473,0.000657428889168416,3.87819474065332e-05,0.00508108009421261
"O1.v3","Southern Asia",0.00136173685421992,0.000939902218292729,7.53494948064234e-05,0.00504797935556686
"O1.v3","Western Africa",0.00184506555961011,0.000982595233137746,5.31179476344995e-05,0.00879411496205133
"O12","Eastern Africa",0.000833084841842109,0.00062221825395052,6.43262519109587e-05,0.00279758608476098
"O12","Southern Africa",0.00081985744438101,0.000431739210539954,2.16263603454167e-05,0.00391175201984351
"O12","Southern Asia",0.00180268628058923,0.00128796959149895,0.00011814683021729,0.0063616264544869
"O12","Western Africa",0.00132104854252607,0.000617294785762338,2.89986132035731e-05,0.00702878504476104
"O2a.v1","Eastern Africa",0.0505964409567141,0.0502390084465913,0.0385331584567405,0.0641773823226456
"O2a.v1","Southern Africa",0.0193948359235148,0.0182185818320128,0.00663813223035058,0.0390822195418455
"O2a.v1","Southern Asia",0.0565532410416437,0.0558315957700852,0.0369828172826895,0.0800216031253438
"O2a.v1","Western Africa",0.0722679184432087,0.068617467381566,0.028169041378563,0.13519152407648
"O2a.v3","Eastern Africa",0.000524321281571648,0.000330089326379761,1.04128298893084e-05,0.00215619710244867
"O2a.v3","Southern Africa",0.000436606003003643,0.000174788114623657,3.36849733758672e-06,0.00246192129307592
"O2a.v3","Southern Asia",0.000595538962116147,0.000289242564404937,6.74125709377228e-06,0.00296321428952998
"O2a.v3","Western Africa",0.000686412116055487,0.00024236715438898,4.46093273934008e-06,0.00424678744541462
"O2afg.v2","Eastern Africa",0.330605951911773,0.330513028701152,0.30277181753301,0.358621454385241
"O2afg.v2","Southern Africa",0.167525498197624,0.166306367862806,0.123863511395103,0.216756598174726
"O2afg.v2","Southern Asia",0.11237173408062,0.111745960760419,0.085216205843983,0.143685546816073
"O2afg.v2","Western Africa",0.160571192366868,0.157715182518168,0.08892312511002,0.24723899002952
"O3/O3a","Eastern Africa",0.00556437182519428,0.00532294160142357,0.00221628411672074,0.010535013745574
"O3/O3a","Southern Africa",0.0230173534548689,0.0218089299038276,0.00902025856633567,0.0436022536297058
"O3/O3a","Southern Asia",0.0433091703269239,0.042597712205677,0.0265369439828335,0.0640557455604497
"O3/O3a","Western Africa",0.0336852797277755,0.0304162345815505,0.00897985777306764,0.077627561482681
"O3b","Eastern Africa",0.021594974098248,0.0213432483903596,0.0140519764382409,0.0307570876163512
"O3b","Southern Africa",0.0213439820428686,0.0201991012018301,0.00797886010876337,0.0417266358268485
"O3b","Southern Asia",0.0465497717908685,0.0459689932372613,0.0289136996696621,0.0676497283157079
"O3b","Western Africa",0.0478384337936034,0.0440272703161303,0.0148193051474953,0.102378271451764
"O4","Eastern Africa",0.0682213810954676,0.068006197525204,0.0542426741526335,0.0833208182179378
"O4","Southern Africa",0.136965687451584,0.135963152292996,0.0974672472922228,0.182046911250852
"O4","Southern Asia",0.278962074229373,0.278522606993,0.238108206327161,0.32127489224175
"O4","Western Africa",0.0420311991390239,0.0385399015230433,0.011335824418895,0.0931654330569679
"O5","Eastern Africa",0.0198570050449027,0.0195579361918604,0.0127000823649825,0.0285744573409683
"O5","Southern Africa",0.131101965346712,0.129998334208117,0.0928180532257828,0.176169223744688
"O5","Southern Asia",0.0228391150604968,0.0221149022800305,0.0113210067941398,0.0385310019925546
"O5","Western Africa",0.0139566218775513,0.0112225876904897,0.0015208826418241,0.0414329728140205
"OL102","Eastern Africa",0.000309507715018317,0.000164614845906759,3.91404411058633e-06,0.00145601867589501
"OL102","Southern Africa",0.000474763205092149,0.000185930969559267,3.27899864844157e-06,0.00283647239003176
"OL102","Southern Asia",0.00114252768892256,0.000681363431980326,2.15037645994842e-05,0.00488065431279948
"OL102","Western Africa",0.000744482553487597,0.000252369845613092,4.75703194178184e-06,0.00458765136328926
"OL103","Eastern Africa",0.000811357283416765,0.000610169083352767,6.21216661803903e-05,0.00270806504146938
"OL103","Southern Africa",0.00151982020929822,0.000950644388701268,6.41403254976755e-05,0.00642393010648277
"OL103","Southern Asia",0.0105542269607075,0.00975951880808181,0.00351365206760582,0.021565920682414
"OL103","Western Africa",0.00253558320473008,0.00147566738253433,9.39733508377607e-05,0.0114345720467907
"OL104","Eastern Africa",0.00113696878536275,0.000909597722980682,0.000130681852717422,0.00341498348702971
"OL104","Southern Africa",0.00133420013353484,0.000819495308052528,5.936599934565e-05,0.00562069211245235
"OL104","Southern Asia",0.00249488721195757,0.00193955036594751,0.000259909126049954,0.00798562186796271
"OL104","Western Africa",0.00459759146277827,0.00281304512077766,0.000234268079310098,0.0198626465175088
"OL13","Eastern Africa",0.026857150513803,0.0265719290154888,0.0182535883392957,0.0369993997623066
"OL13","Southern Africa",0.00675219876050982,0.0057428528994826,0.000892514811784369,0.0187184373778934
"OL13","Southern Asia",0.121518281678955,0.120930748764367,0.092215459191622,0.153876315954392
"OL13","Western Africa",0.0587242835241309,0.054934995844411,0.0203645932809167,0.116600022909584
