"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.305162347511761,0.305025391858065,0.282340822697873,0.328642298442215,"Global"
"O1.v2",0.203145351347136,0.202930652109584,0.184046438213766,0.223221339559525,"Global"
"O1.v3",0.00259676428935957,0.00238185584533436,0.000721034287794339,0.00561189475201434,"Global"
"O12",0.00128012604933732,0.00108092265322879,0.000157830576490746,0.00357325787197051,"Global"
"O2a.v1",0.0554692488091741,0.0552882885395721,0.0446372107067966,0.0672873127352089,"Global"
"O2a.v3",0.000635740405602305,0.000450127848445021,1.52687952409341e-05,0.00232302198755926,"Global"
"O2afg.v2",0.133570019270118,0.133447209403405,0.117255735336991,0.150914399072033,"Global"
"O3/O3a",0.0206063901041768,0.0204102413480752,0.0141796745951599,0.0283042313422296,"Global"
"O3b",0.0322724146550976,0.0321085846232543,0.0239717601967546,0.0415986216575977,"Global"
"O4",0.14844358248053,0.14823398621736,0.131642898362672,0.165774680164196,"Global"
"O5",0.0419984338848783,0.0418045259348792,0.0325590095636889,0.0523556057326286,"Global"
"OL102",0.000641007981943689,0.00045219338500528,1.56937488945441e-05,0.00234049521218833,"Global"
"OL103",0.00389236897253226,0.00369556488996961,0.00142526644975779,0.00755244313361291,"Global"
"OL104",0.00194728753981109,0.00173960609665369,0.000402234475858221,0.00463201885118064,"Global"
"OL13",0.0484563891823446,0.0482933771364404,0.0382443379431995,0.0595771888467755,"Global"
