"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.37406647906282,0.373962375240837,0.34047707340245,0.408287984053782
"O1.v1","Southern Africa",0.277934668367838,0.277211847628421,0.223568517774948,0.335988799478792
"O1.v1","Southern Asia",0.185069293266022,0.184808564234658,0.149902480232573,0.223638430533412
"O1.v1","Western Africa",0.33928432433474,0.337868015114235,0.237489709046674,0.45029586982879
"O1.v2","Eastern Africa",0.245888298510885,0.245618045967558,0.216813087409837,0.275952918901815
"O1.v2","Southern Africa",0.21126509072545,0.210470819297697,0.162933205912473,0.263774007666134
"O1.v2","Southern Asia",0.114995429645453,0.114556544736212,0.0863032318450387,0.146240963040383
"O1.v2","Western Africa",0.220727109055281,0.218381661566554,0.138753770267817,0.315178575475126
"O1.v3","Eastern Africa",0.00361328936718282,0.00323539085100123,0.000884480345044174,0.00838571155104709
"O1.v3","Southern Africa",0.00127072245615356,0.0007941134204938,5.22994051959158e-05,0.00540324410016185
"O1.v3","Southern Asia",0.00152652076382501,0.00110991524103332,9.93875198752547e-05,0.00544916375557625
"O1.v3","Western Africa",0.00212674527901028,0.00119360491111116,7.40042305119783e-05,0.00996884009842507
"O12","Eastern Africa",0.00107761770840174,0.000812312479683657,7.91789752565553e-05,0.00365183766109506
"O12","Southern Africa",0.000886362287325497,0.000489062032164572,2.68209176726891e-05,0.00420738134515668
"O12","Southern Asia",0.00185547873598191,0.00134088210076047,0.000121531832115819,0.00641160537216312
"O12","Western Africa",0.00145140181913881,0.00070100540555114,3.61145531593964e-05,0.00744808497811442
"O2a.v1","Eastern Africa",0.0640287375172143,0.0636786130114426,0.0481496217004986,0.0815673564625509
"O2a.v1","Southern Africa",0.0197565140620335,0.0186251400942732,0.00702295229713678,0.0381253489997532
"O2a.v1","Southern Asia",0.0566529783518126,0.0559160826646586,0.0370365161450748,0.0805066921841681
"O2a.v1","Western Africa",0.0730374768491652,0.0692292778195014,0.0291462769662552,0.137558612975686
"O2a.v3","Eastern Africa",0.000669239165345357,0.000419570067399746,1.17696961517348e-05,0.0027155085762991
"O2a.v3","Southern Africa",0.000478612418314499,0.000199346362859645,3.71801544539945e-06,0.00261169252431996
"O2a.v3","Southern Asia",0.000641430602454894,0.000335946014076374,6.96721053706293e-06,0.00311293609833046
"O2a.v3","Western Africa",0.000754293178872031,0.000284248155948183,4.16771615211751e-06,0.0043526525314104
"O2afg.v2","Eastern Africa",0.133090214290255,0.132752176993133,0.110720025057747,0.157389750002819
"O2afg.v2","Southern Africa",0.165821167507422,0.165107471116147,0.121957019161454,0.214554155890949
"O2afg.v2","Southern Asia",0.111815920850308,0.111187452162344,0.0839533482865613,0.14320371002026
"O2afg.v2","Western Africa",0.157320062088358,0.154003642706268,0.0876592400208516,0.244520653268348
"O3/O3a","Eastern Africa",0.00661292354758682,0.00623914280248716,0.00244037517227446,0.0130401977592247
"O3/O3a","Southern Africa",0.0230513837594345,0.0218757212969128,0.00878435199248147,0.0441758289905878
"O3/O3a","Southern Asia",0.0431470099873677,0.04235236313612,0.0264820071286802,0.0640673338720695
"O3/O3a","Western Africa",0.0339660019849189,0.0306035507232294,0.00870447016336039,0.0787467655094579
"O3b","Eastern Africa",0.026345404829005,0.02595371000034,0.0165846080195539,0.0384456491129166
"O3b","Southern Africa",0.0216821819048263,0.0204664353664979,0.00822218161251237,0.0421530951461604
"O3b","Southern Asia",0.0467049357490167,0.045930229407564,0.0290402939774367,0.0680382959981268
"O3b","Western Africa",0.0478081932645065,0.0444043779575923,0.0151197882297425,0.0991258897270894
"O4","Eastern Africa",0.0922545445072643,0.0918575608298743,0.0731894785185185,0.113340859383872
"O4","Southern Africa",0.137269344840296,0.136336786980626,0.0976810287428743,0.18208816513009
"O4","Southern Asia",0.279108593219458,0.278919466145024,0.237550575847755,0.323037302885152
"O4","Western Africa",0.0438692652598254,0.040488173060198,0.0122182067190629,0.0935377736759431
"O5","Eastern Africa",0.0274797663458445,0.0270481345846331,0.0175933224396667,0.0398433017208058
"O5","Southern Africa",0.131059917003597,0.130008507569443,0.0916215062048468,0.176042203103948
"O5","Southern Asia",0.0231427949720081,0.0223449067209073,0.0113838012863841,0.0391178511528184
"O5","Western Africa",0.0154043018937252,0.0125977522854311,0.00186012564697535,0.0447133072093858
"OL102","Eastern Africa",0.000402405366120166,0.000214115111003757,4.83539125200195e-06,0.00188235583122608
"OL102","Southern Africa",0.000486741638620063,0.000206933760004646,4.0580475801065e-06,0.00276319223785694
"OL102","Southern Asia",0.00115856855007546,0.000700742733730544,2.09185607430811e-05,0.00497393849150407
"OL102","Western Africa",0.000749435951483008,0.000280992810601477,5.55557409086954e-06,0.00443733179490519
"OL103","Eastern Africa",0.00111809346963922,0.000859073760638476,8.87026691088329e-05,0.00359789765596996
"OL103","Southern Africa",0.00160603643473789,0.00106253002942007,7.92737733320803e-05,0.00617483581116655
"OL103","Southern Asia",0.0106100320515704,0.00990661310456517,0.0034570516723292,0.0218768139188444
"OL103","Western Africa",0.00280245098958019,0.00168264297127894,0.00011257122745614,0.0123189423547846
"OL104","Eastern Africa",0.00150422051755158,0.00121423717729873,0.000176510438108218,0.00442144823743521
"OL104","Southern Africa",0.00140894799716555,0.000880247257359983,6.92592478420331e-05,0.0058388845829649
"OL104","Southern Asia",0.0026210149562674,0.00204067125482387,0.000287620878094646,0.0083330152013787
"OL104","Western Africa",0.00457170938787756,0.00296664969269808,0.000253843325567945,0.0185621641107397
"OL13","Eastern Africa",0.0216410028986653,0.0212556355022614,0.0127947902557051,0.0324503023557858
"OL13","Southern Africa",0.006921935770675,0.00583335357399515,0.000931612735589949,0.0188703056389261
"OL13","Southern Asia",0.121009205272669,0.120425553212457,0.0918311985046287,0.153711291967569
"OL13","Western Africa",0.0574973016517313,0.0539349284633395,0.0198318988620205,0.115647560052642
