"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.266123480544242,0.265811307639067,0.235908810661811,0.297765477117549,"Global"
"O1.v2",0.217591729300439,0.217249187106788,0.189898361990226,0.246728558634298,"Global"
"O1.v3",0.00127800688351196,0.000905012391113839,3.3454475665636e-05,0.00457801320733303,"Global"
"O12",0.00256769403659773,0.00214452074247335,0.000309221135979004,0.00726728480119575,"Global"
"O2a.v1",0.0628359239969571,0.0625155804716729,0.0469434379784518,0.0805466263612954,"Global"
"O2a.v3",0.00128355866890849,0.000895825360126225,2.7871415359856e-05,0.00463595727945493,"Global"
"O2afg.v2",0.159993987423475,0.159762789050263,0.135551996883316,0.186061839585516,"Global"
"O3/O3a",0.0293285527827554,0.0289616767915936,0.0185957892129482,0.0421700718163682,"Global"
"O3b",0.0576761049470443,0.057268999685228,0.0425517087571113,0.0749323091516439,"Global"
"O4",0.0857894088483198,0.0855179943121899,0.0671421565931835,0.105904816540632,"Global"
"O5",0.0576669541721195,0.0573148865188313,0.0426722659905315,0.0747328811858927,"Global"
"OL102",0.00128423080125619,0.000897666463675947,2.78821855323612e-05,0.00470519136600721,"Global"
"OL103",0.00127928623464106,0.000901503721537866,3.26906756942423e-05,0.00466739309584626,"Global"
"OL104",0.00381183032258632,0.00340595634409194,0.000764987139073702,0.00925935929154948,"Global"
"OL13",0.0513253172614149,0.0508854317203394,0.0367536423649025,0.0678527333838455,"Global"
