"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.284055829666018,0.283804475693325,0.239196340958856,0.33167208468365
"O1.v1","Southern Africa",0.262606306496341,0.261938566241811,0.197074110191468,0.333291868015823
"O1.v1","Southern Asia",0.232019457758545,0.231290998105366,0.180361047223167,0.288556418209547
"O1.v1","Western Africa",0.297396766503583,0.295076602708065,0.193935917916934,0.415863430766528
"O1.v2","Eastern Africa",0.228060313773208,0.227770357106664,0.186816649346385,0.271686123814118
"O1.v2","Southern Africa",0.222107368609261,0.221040843001093,0.162571583549118,0.288183007938595
"O1.v2","Southern Asia",0.187668516131384,0.186902390637099,0.140364769051204,0.23926703771146
"O1.v2","Western Africa",0.258051541507142,0.254995906863977,0.160404559289465,0.371895145163469
"O1.v3","Eastern Africa",0.00133170385226721,0.000870448528294908,3.03372708711448e-05,0.00515318688550817
"O1.v3","Southern Africa",0.00106019691616134,0.000611472268095706,1.85653615821684e-05,0.00474628448480322
"O1.v3","Southern Asia",0.0013447204316434,0.000819472013608027,2.6827862348644e-05,0.00563093557379043
"O1.v3","Western Africa",0.00126231386521267,0.000669393758032621,1.93965536820602e-05,0.00595650272510999
"O12","Eastern Africa",0.00239687571638591,0.0018406723775876,0.000232629329587876,0.00752380611838556
"O12","Southern Africa",0.00201499710028003,0.00140949893175508,0.00013625103328797,0.00737299513112003
"O12","Southern Asia",0.0032431462259533,0.00245841620307883,0.000293931931274177,0.0107473634580202
"O12","Western Africa",0.00247045747098636,0.00162123919643357,0.000146645576764606,0.00989379053560971
"O2a.v1","Eastern Africa",0.0517299670898804,0.0508336613062378,0.032279933114713,0.0759442385276348
"O2a.v1","Southern Africa",0.0440010867304511,0.0422833249664293,0.0197763642871861,0.0780706804546216
"O2a.v1","Southern Asia",0.0949848414895869,0.0938722493672953,0.0614391685623752,0.133895919540595
"O2a.v1","Western Africa",0.0568478950238007,0.053202714512146,0.0202523337280548,0.114143977667711
"O2a.v3","Eastern Africa",0.00133378971862072,0.00085361727521744,2.53284199330924e-05,0.00538692455281146
"O2a.v3","Southern Africa",0.0010610778131363,0.000605711240790446,1.63763498824607e-05,0.00481744081202423
"O2a.v3","Southern Asia",0.00136493492706297,0.000812517332374226,2.49013534178263e-05,0.00583667573779427
"O2a.v3","Western Africa",0.00124407984293277,0.000663798686167503,1.73741331196006e-05,0.00607958853131773
"O2afg.v2","Eastern Africa",0.196818348590345,0.196249967038571,0.156925992629779,0.239315329457516
"O2afg.v2","Southern Africa",0.183285304448639,0.182036277093061,0.128158592083795,0.246405524304101
"O2afg.v2","Southern Asia",0.0888064027306893,0.0879999536558048,0.0561571653377118,0.127599794467135
"O2afg.v2","Western Africa",0.145078414573189,0.141072603657617,0.0753687646752975,0.237761075547608
"O3/O3a","Eastern Africa",0.0203065944644389,0.0195239151210684,0.00933333728184934,0.0354446971742966
"O3/O3a","Southern Africa",0.0302341429385141,0.0284269962742081,0.0121584675775551,0.0579548537388377
"O3/O3a","Southern Asia",0.0424087632998623,0.0411268895824619,0.0217978288897181,0.0699488265733058
"O3/O3a","Western Africa",0.0323522365442809,0.0289293254624896,0.00946257760220542,0.0739618831832234
"O3b","Eastern Africa",0.0601785554470377,0.0594584442700985,0.0389684559410381,0.0859072535646161
"O3b","Southern Africa",0.0299870785558278,0.0283351109470538,0.0111083550118153,0.058177745448846
"O3b","Southern Asia",0.0738460635561741,0.0727614496861694,0.0441679159214588,0.109107426349851
"O3b","Western Africa",0.0526145532281046,0.048606064608237,0.0182818766352604,0.10914796801834
"O4","Eastern Africa",0.0660817943548705,0.0653331874536523,0.0436907555147575,0.0929987490138086
"O4","Southern Africa",0.0667737694642053,0.0652034681770378,0.0357470706936178,0.107220516299972
"O4","Southern Asia",0.13774119751716,0.136654278231993,0.0971661960864756,0.18534848079783
"O4","Western Africa",0.0560896230641149,0.0524296052757576,0.0191262764588332,0.114122662236771
"O5","Eastern Africa",0.0327438542236222,0.0319469802856087,0.0173614054386347,0.0524811642564897
"O5","Southern Africa",0.132798533070739,0.13095206691468,0.0840632755693328,0.190964093895957
"O5","Southern Asia",0.0527346798278894,0.0516277889828556,0.0288156342887535,0.0828371831190077
"O5","Western Africa",0.0316295286839636,0.028642597517715,0.00723486009983785,0.0726468244082768
"OL102","Eastern Africa",0.00104899165961937,0.000649295278960155,1.84425459261036e-05,0.00431062413571773
"OL102","Southern Africa",0.00107919181834491,0.000623423590036125,1.60112417988534e-05,0.00504588289335643
"OL102","Southern Asia",0.0018034557384868,0.00112900108265473,3.21155204328714e-05,0.00743671491698186
"OL102","Western Africa",0.0012749004636393,0.000673806444238961,1.77549524648489e-05,0.00622184133813887
"OL103","Eastern Africa",0.00103729682277238,0.000651315562625936,2.07116218913389e-05,0.00427703821797645
"OL103","Southern Africa",0.00106954113021046,0.00061199547793637,1.92281203681628e-05,0.00490927100617097
"OL103","Southern Asia",0.00181358343991605,0.00114866107953052,3.8315802749213e-05,0.00743727234334083
"OL103","Western Africa",0.00126576042018218,0.000674646997205062,2.03957540060503e-05,0.00602641591630232
"OL104","Eastern Africa",0.00340594192739682,0.0028318455407158,0.000516832970717098,0.00961797962423358
"OL104","Southern Africa",0.00303369652300737,0.00235491511817227,0.000341246371569835,0.00970258470389958
"OL104","Southern Asia",0.00466462616989516,0.00380542495204905,0.000672450918260152,0.0135073012372996
