"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.284428571950006,0.283986759045252,0.239676338720393,0.331403721701778
"O1.v1","Southern Africa",0.262499688266258,0.261390420535841,0.198266821966086,0.333418211382725
"O1.v1","Southern Asia",0.236734863578962,0.23560674591486,0.180108077338737,0.297790847034155
"O1.v1","Western Africa",0.299111981017721,0.296026960759318,0.195607496914102,0.416368685454937
"O1.v2","Eastern Africa",0.228255103026795,0.227745887430569,0.186823976078915,0.27231905811115
"O1.v2","Southern Africa",0.222343939215165,0.221168285402885,0.163181186475482,0.287925633342696
"O1.v2","Southern Asia",0.184798530977409,0.183802430090725,0.134388599179793,0.24210574634955
"O1.v2","Western Africa",0.258804136317687,0.25614700758177,0.162270138711946,0.369611604187919
"O1.v3","Eastern Africa",0.00137661226756472,0.00087679480422901,2.78136229029381e-05,0.00557056215348641
"O1.v3","Southern Africa",0.00108764479864705,0.000609092796247618,1.58712677239601e-05,0.00492606335640785
"O1.v3","Southern Asia",0.00145900547588098,0.000855337164311902,2.49793334586631e-05,0.00636892090639063
"O1.v3","Western Africa",0.00127313926710334,0.000687237620644019,1.7368589920436e-05,0.00609880701743043
"O12","Eastern Africa",0.0024567327915176,0.00191320640612494,0.000236774037546076,0.00783974580785192
"O12","Southern Africa",0.00207627234063281,0.00147798534068782,0.000141273881677029,0.00776434526048973
"O12","Southern Asia",0.00350188789769084,0.00267102411308568,0.000303559586894143,0.011529089793785
"O12","Western Africa",0.00255869998893814,0.00165381183938967,0.000142730454162706,0.0103093747748672
"O2a.v1","Eastern Africa",0.0516571979907366,0.0507473235623881,0.0321281628995573,0.0761504539459252
"O2a.v1","Southern Africa",0.0434390993216552,0.0417516781652286,0.0198081070186213,0.0753837935650342
"O2a.v1","Southern Asia",0.0909777249909047,0.0895752694350295,0.0564791403187522,0.133598358889274
"O2a.v1","Western Africa",0.056208669946824,0.0523097311093608,0.0193534750805929,0.114721665126539
"O2a.v3","Eastern Africa",0.00138999436126959,0.000917190537026106,2.96253556154101e-05,0.00562612304084193
"O2a.v3","Southern Africa",0.00109573817885355,0.000624941989749007,1.70875433812471e-05,0.00500143891503199
"O2a.v3","Southern Asia",0.001449117847341,0.000879468962080445,2.74642189223123e-05,0.00617733065956826
"O2a.v3","Western Africa",0.00129356559842355,0.000684413559839123,2.0697674846925e-05,0.00625818860725103
"O2afg.v2","Eastern Africa",0.197048099031737,0.19652779312445,0.157971170324973,0.239298701500593
"O2afg.v2","Southern Africa",0.18370129994879,0.182554054668159,0.128413875033794,0.245863400053635
"O2afg.v2","Southern Asia",0.0933018756914885,0.0918623934811297,0.057210651821097,0.136693147063443
"O2afg.v2","Western Africa",0.14588208211259,0.142333326131354,0.0744654965463817,0.239697925080702
"O3/O3a","Eastern Africa",0.0197921066510359,0.0190844119897056,0.00921876383270396,0.0348525016256068
"O3/O3a","Southern Africa",0.0294624991365501,0.0279036468451601,0.0115197275619279,0.056005549992216
"O3/O3a","Southern Asia",0.0364345047975314,0.0349285000780395,0.0167831079837903,0.0644935515368263
"O3/O3a","Western Africa",0.0312629826070222,0.0278575764589111,0.00880515769295224,0.0735070162866386
"O3b","Eastern Africa",0.0605677767464904,0.0598845759899213,0.0391720753671174,0.0861347409824668
"O3b","Southern Africa",0.0302648467492392,0.0287933268597597,0.0114949711796727,0.0577799662109774
"O3b","Southern Asia",0.0859638610964802,0.0845984780205111,0.0526118076423267,0.126982655735852
"O3b","Western Africa",0.0538799058681695,0.0500642635954727,0.0185815780276892,0.109775852785781
"O4","Eastern Africa",0.0661267077447802,0.0653170419709465,0.0435374873901497,0.0929855211299689
"O4","Southern Africa",0.066710159350298,0.0649754106509335,0.0357806165967258,0.107538191738099
"O4","Southern Asia",0.141286113604123,0.139981235914726,0.0971986903674719,0.192203505374401
"O4","Western Africa",0.0561028050291979,0.052611136494805,0.0185370854412866,0.114244473958892
"O5","Eastern Africa",0.0320925987930127,0.0313277618988174,0.0171209613717456,0.0510617370765466
"O5","Southern Africa",0.132552467190774,0.131243669415305,0.0843476558543261,0.189335801626236
"O5","Southern Asia",0.0476178302701673,0.046264750659329,0.0236220297421728,0.0790357846365793
"O5","Western Africa",0.0305876284202876,0.0275317189923411,0.00698335584205337,0.0714389545511505
"OL102","Eastern Africa",0.00108200927692444,0.000665920023592041,2.20481061825726e-05,0.00461096120950678
"OL102","Southern Africa",0.00113441858896429,0.000633674575742984,1.97337664128201e-05,0.0051842802267428
