"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.245899996367054,0.245668601061547,0.214765595592433,0.278658833765038,"Global"
"O1.v2",0.2192999786328,0.219038445814591,0.189367804726451,0.251227381282268,"Global"
"O1.v3",0.001488555716637,0.00103696497066653,3.66550221125327e-05,0.00541812854634905,"Global"
"O2a.v1",0.0667022478301331,0.0661885151210268,0.0494182424391577,0.0866335921828364,"Global"
"O2a.v3",0.00148011132565904,0.00102577919768568,3.7267614176336e-05,0.00549653253543629,"Global"
"O2afg.v2",0.16002528396273,0.159592864324405,0.133948094956108,0.187950191248188,"Global"
"O3/O3a",0.0311956175600054,0.030748510874671,0.0193202380520886,0.0454446613865328,"Global"
"O3b",0.0531880326480325,0.0527728793516875,0.0376524430874021,0.0710950451392938,"Global"
"O4",0.0933513064588113,0.0930802913537961,0.072706883529403,0.11579589679658,"Global"
"O5",0.0651989308754713,0.0646808908458886,0.0485840448191617,0.0846411528120589,"Global"
"OL102",0.00146443645085703,0.00102699030759964,3.75203086392297e-05,0.00537259584339695,"Global"
"OL103",0.00296869743596835,0.0024792816478544,0.000367960132431906,0.0084086184282575,"Global"
"OL104",0.00297643393810534,0.0025063067729112,0.000351327425582043,0.00828990881891522,"Global"
"OL13",0.054852361032729,0.0544234573142502,0.0391935295178143,0.0726283513195626,"Global"
