"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.298932896379171,0.298905673927507,0.25035441224271,0.34818137593661
"O1.v1","Southern Africa",0.226437036526129,0.225272737314723,0.163106678410975,0.29714307781273
"O1.v1","Southern Asia",0.181314134157683,0.180103165473797,0.132100416623977,0.237325720746519
"O1.v1","Western Africa",0.155887715864357,0.146173355722081,0.0462645828992342,0.316375638853451
"O1.v2","Eastern Africa",0.210126842374023,0.209426626137705,0.16867663431462,0.25602631481249
"O1.v2","Southern Africa",0.230189165736134,0.228929219816183,0.16632763532381,0.301955633522161
"O1.v2","Southern Asia",0.21197823731451,0.21107170903309,0.158436400214573,0.269635611554522
"O1.v2","Western Africa",0.388752008793116,0.383514174514324,0.20044716670278,0.603932640198828
"O1.v3","Eastern Africa",0.00163329075310517,0.00103779243303765,3.28002502438309e-05,0.00657806334845616
"O1.v3","Southern Africa",0.00114744136948827,0.000580605090296802,1.36158363098046e-05,0.00574215199865552
"O1.v3","Southern Asia",0.0014927597745126,0.000830242121636018,2.10496736787375e-05,0.00681144895632766
"O1.v3","Western Africa",0.00149576419240295,0.000639873616327977,1.63176903391381e-05,0.00822832908757319
"O2a.v1","Eastern Africa",0.0504591352509725,0.049642832587922,0.0302570104439831,0.0760135687098526
"O2a.v1","Southern Africa",0.044521121132641,0.0425582407949322,0.019121439401264,0.0802612204602828
"O2a.v1","Southern Asia",0.110761210370096,0.109064081666654,0.0714430234453206,0.156841326424262
"O2a.v1","Western Africa",0.0416164340624398,0.0336135280417991,0.00544644903974744,0.121839300965881
"O2a.v3","Eastern Africa",0.00162213324786201,0.00100276235450941,3.33422911050162e-05,0.0065383110261653
"O2a.v3","Southern Africa",0.00116262618692502,0.000578658869333521,1.32488996056338e-05,0.00567249453877801
"O2a.v3","Southern Asia",0.00146664874325245,0.000829868690406702,2.26006128633179e-05,0.00669146955663324
"O2a.v3","Western Africa",0.00155111065350479,0.000643899115828174,1.45091368808407e-05,0.00830229429295003
"O2afg.v2","Eastern Africa",0.194002314305808,0.19342315715862,0.15315078511426,0.237793244748446
"O2afg.v2","Southern Africa",0.194627443126429,0.193371874482625,0.135307668520394,0.263779927845708
"O2afg.v2","Southern Asia",0.0804485705751616,0.0789104633911686,0.0477521518437658,0.121493860695815
"O2afg.v2","Western Africa",0.162370130248381,0.151405410037729,0.0513232834620024,0.330441003190409
"O3/O3a","Eastern Africa",0.0213672657715063,0.0204372262527916,0.0094850583860807,0.0383528705949976
"O3/O3a","Southern Africa",0.0337088971598681,0.0317996174030596,0.0126084043455698,0.0666374409972951
"O3/O3a","Southern Asia",0.0445034383955067,0.0430568870045761,0.0214276570078092,0.0754675797962317
"O3/O3a","Western Africa",0.0412312960481232,0.0330302492693599,0.00646257885044968,0.122656162723896
"O3b","Eastern Africa",0.0600413895383791,0.059196623244548,0.0373872614856041,0.0878945952766105
"O3b","Southern Africa",0.0227646255374322,0.0210326825385208,0.0066664009605775,0.0486320289469998
"O3b","Southern Asia",0.0636388997582183,0.0624509116182695,0.0349034585633774,0.0998374104966426
"O3b","Western Africa",0.050814758457174,0.0422424114748834,0.00863650529451482,0.144325533604364
"O4","Eastern Africa",0.0665343406657011,0.0656858681018536,0.0429776339256081,0.095473765362165
"O4","Southern Africa",0.0713510507869632,0.0694477142203939,0.0364204931404711,0.116678855524954
"O4","Southern Asia",0.155723330470455,0.154869588526324,0.109493847936856,0.208040272753813
"O4","Western Africa",0.0531525302040901,0.0448217945711908,0.0077694545961992,0.148147407726026
"O5","Eastern Africa",0.0346730477426404,0.0337782557462228,0.0182791160630239,0.0563995054892577
"O5","Southern Africa",0.154424674263771,0.152765049654038,0.100871539373639,0.21909662548316
"O5","Southern Asia",0.0539152788691307,0.052568850397562,0.0280083760296176,0.0869929520935908
"O5","Western Africa",0.0434691221649116,0.0359042853693168,0.0058390030770598,0.123157111700643
"OL102","Eastern Africa",0.00110853783200195,0.000641769522853386,1.77829456310662e-05,0.00492612862189833
"OL102","Southern Africa",0.00116957569815068,0.000592399769094627,1.34346548568735e-05,0.00573034892867432
"OL102","Southern Asia",0.00224052603162521,0.00137072432120383,4.30140507257435e-05,0.00941040691437566
"OL102","Western Africa",0.0015563990559489,0.000668570973269048,1.46977007963128e-05,0.00866696732185278
"OL103","Eastern Africa",0.00192081627224107,0.0013611011836722,0.000110390288874298,0.00711701643111855
"OL103","Southern Africa",0.00215294753720135,0.00136141315353998,9.20906733448199e-05,0.00916816999942697
"OL103","Southern Asia",0.00523393664628983,0.00403464967427253,0.000506270615596982,0.0168627233941814
"OL103","Western Africa",0.00304174013252213,0.00159424089866162,9.32888895418512e-05,0.0148335598409039
"OL104","Eastern Africa",0.00305577212519953,0.00235829068845378,0.000259665663745017,0.00988923469754095
"OL104","Southern Africa",0.00241095554720009,0.0015744897061065,0.000124367680069916,0.00944789517398237
"OL104","Southern Asia",0.00297151150281475,0.00212238078032434,0.000180131241850451,0.0105737244189019
"OL104","Western Africa",0.00615929161258367,0.00330937780615344,0.000234228395757287,0.0297601957254142
"OL13","Eastern Africa",0.0541010373337416,0.0532458333200599,0.0327269244725459,0.0800509599372335
"OL13","Southern Africa",0.0142169898621997,0.0125662048254138,0.00231736747122347,0.0355248210749881
"OL13","Southern Asia",0.0851821742426606,0.0837224251001316,0.051548766050824,0.12606962218454
"OL13","Western Africa",0.048039918945206,0.0391899493823856,0.00735795425926639,0.138476219491073
