"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.263499512670475,0.263256153307963,0.232632111848726,0.296199497411975,"Global"
"O1.v2",0.219637749344846,0.219333994739802,0.189413171536298,0.251007936113706,"Global"
"O1.v3",0.00142867300258274,0.000995198525174761,3.89726112503368e-05,0.00521148621972803,"Global"
"O12",0.00283369824517285,0.00237021227672415,0.000352166633509872,0.00793741179010494,"Global"
"O2a.v1",0.067941090212747,0.0675329911522995,0.0506729598284618,0.087425846277319,"Global"
"O2a.v3",0.00141256258333821,0.000991472482220829,3.6176807629611e-05,0.00523922973673693,"Global"
"O2afg.v2",0.154425667909522,0.15404487604165,0.129050904079359,0.18197256637548,"Global"
"O3/O3a",0.0311652852844675,0.0306310233338548,0.0197417670460261,0.0450484785468527,"Global"
"O3b",0.0623229519512272,0.0619914628171044,0.0455713314825977,0.0816430024843358,"Global"
"O4",0.0848556631459592,0.0844822867868546,0.0654220486860771,0.106247742687391,"Global"
"O5",0.0452764650434169,0.0448112790417261,0.0311022517099192,0.0617655784266654,"Global"
"OL102",0.00140474123405275,0.00100272354705171,3.89192488781189e-05,0.00499916396198824,"Global"
"OL103",0.00283797474417968,0.00240493999922063,0.000339387956086831,0.00793911413442328,"Global"
"OL104",0.00426688987975783,0.00381348358698821,0.000866026803105143,0.0101729355753602,"Global"
"OL13",0.0566869705548002,0.0563610631661536,0.040687155227913,0.0748173259406094,"Global"
