"locus","subgroup","mean","median","lower","upper"
"O1.v1","Eastern Africa",0.284554708633791,0.284344806946963,0.238939071183281,0.332222034311533
"O1.v1","Southern Africa",0.274108565385233,0.273453151166473,0.206602155607635,0.345448180304223
"O1.v1","Southern Asia",0.225693708489607,0.224916527388576,0.174712826592525,0.282042563783384
"O1.v1","Western Africa",0.298556857396829,0.296130669022576,0.193726789563871,0.417022323430047
"O1.v2","Eastern Africa",0.228586125845693,0.227965688844112,0.18716947144403,0.27237860299523
"O1.v2","Southern Africa",0.237796517066158,0.236299855993294,0.173744844789286,0.309300949483954
"O1.v2","Southern Asia",0.19513859223181,0.194079394062199,0.147917758637405,0.247351265822353
"O1.v2","Western Africa",0.261695564428533,0.258495890198952,0.164953662197358,0.375767843924703
"O1.v3","Eastern Africa",0.00134817859300816,0.0008349470637509,2.81909491339033e-05,0.00551315275965944
"O1.v3","Southern Africa",0.00102640471662616,0.000542422881101029,1.56724545013871e-05,0.00487753056446708
"O1.v3","Southern Asia",0.00138707026345118,0.000815505191567138,2.48200131524476e-05,0.00601237758476895
"O1.v3","Western Africa",0.00124562427205979,0.000640281988351387,1.86921142350376e-05,0.00602164730621585
"O12","Eastern Africa",0.00240780848150077,0.00184326722374862,0.000227889166795508,0.00779953308654851
"O12","Southern Africa",0.00194053204562532,0.00135238550588031,0.000130996848913456,0.00719646827226836
"O12","Southern Asia",0.00322089683437343,0.00249455495348129,0.000296505653689459,0.0101113888685749
"O12","Western Africa",0.00244503891239305,0.0016150818459976,0.000155547383847668,0.00971592871655888
"O2a.v1","Eastern Africa",0.051190127938258,0.0505994914658754,0.0320544018401524,0.0746732226006808
"O2a.v1","Southern Africa",0.0357056764029841,0.0341404040577954,0.014455626795002,0.067035186884275
"O2a.v1","Southern Asia",0.0976424605781438,0.0967240892795921,0.0648904276836611,0.137523637917771
"O2a.v1","Western Africa",0.0557575725568511,0.052022467440965,0.0194399194074305,0.1139087114897
"O2a.v3","Eastern Africa",0.00133482610922341,0.000860983700530088,3.0406744957821e-05,0.00522123823704717
"O2a.v3","Southern Africa",0.00100925185496976,0.000560808568404142,1.55290641816576e-05,0.00467546926959732
"O2a.v3","Southern Asia",0.00135700838484687,0.000820327270888518,2.54504929704077e-05,0.00563211872965373
"O2a.v3","Western Africa",0.001244044156925,0.000649060708759591,1.74109290656887e-05,0.00603105780343852
"O2afg.v2","Eastern Africa",0.197212260936534,0.196695789761939,0.158577987842848,0.23781300585667
"O2afg.v2","Southern Africa",0.189486540631293,0.188096230231494,0.131370172076358,0.255141711182985
"O2afg.v2","Southern Asia",0.0890543622783185,0.0881327693373996,0.0565291014579033,0.127842276633086
"O2afg.v2","Western Africa",0.145582539255946,0.141671168500028,0.0749619856372702,0.237740758769249
"O3/O3a","Eastern Africa",0.0192949530721948,0.0184372675489301,0.00873726777128262,0.0342465289696789
"O3/O3a","Southern Africa",0.0184774744933604,0.0168915261205989,0.0057161516357529,0.0393737524825849
"O3/O3a","Southern Asia",0.0426786805520674,0.0414203425880247,0.0224754034187497,0.0698213084946183
"O3/O3a","Western Africa",0.0295876058248392,0.0264240683182128,0.00831887970188069,0.0684798906813754
"O3b","Eastern Africa",0.0603383034488333,0.0596164431138162,0.0385261996243631,0.0869830651760981
"O3b","Southern Africa",0.0305339384553687,0.0289071592259042,0.0113343478795741,0.0593693499694328
"O3b","Southern Asia",0.0750039950238426,0.0738927044722781,0.0466151443956775,0.110216151726046
"O3b","Western Africa",0.0532671104595517,0.0495121046863429,0.0183267989805517,0.109021612604408
"O4","Eastern Africa",0.0661325341911503,0.0653396724117037,0.0440626096973635,0.093020249057876
"O4","Southern Africa",0.0701369544783611,0.0682796942461358,0.037222093229861,0.114388477310823
"O4","Southern Asia",0.135923627010209,0.134960508172047,0.0959450935834892,0.181971624938412
"O4","Western Africa",0.0560432581772507,0.0525629769696939,0.0189485299615571,0.112868558392108
"O5","Eastern Africa",0.0321525953030352,0.0312822888928669,0.017239543136466,0.0518773932333835
"O5","Southern Africa",0.116635509121677,0.114664571636032,0.0701040404482629,0.174778545637182
"O5","Southern Asia",0.0501499419872344,0.0490131912756806,0.0276650723365336,0.0789909161288895
"O5","Western Africa",0.0303043625479915,0.0270918985229228,0.00715041147559063,0.07040719576495
