"locus","mean","median","lower","upper","subgroup"
"O1.v1",0.266739362665078,0.26649791036692,0.23579242503169,0.297903670386431,"Global"
"O1.v2",0.218283699383311,0.218095835833913,0.1897787956398,0.248197433341635,"Global"
"O1.v3",0.00131321151499269,0.000911333377132655,3.18192585351679e-05,0.00491015187073381,"Global"
"O12",0.00260438060967452,0.00219703732711753,0.000300220146360747,0.00738280884786143,"Global"
"O2a.v1",0.0657961395985087,0.0653994626292315,0.0493280242347531,0.0846079797653178,"Global"
"O2a.v3",0.00132139672415779,0.000921070964002967,3.03389711540672e-05,0.00486385107543328,"Global"
"O2afg.v2",0.155187408038942,0.154885841922135,0.130425431314806,0.181762450007897,"Global"
"O3/O3a",0.0314727907240484,0.0311115215729975,0.0201907685114133,0.0450185696063524,"Global"
"O3b",0.0604824246352587,0.0600720281971187,0.0447819128529916,0.0781948495748525,"Global"
"O4",0.0865127575613093,0.0862107801982845,0.0677848499636838,0.107004443977649,"Global"
"O5",0.0499429113657738,0.0495590216779054,0.0357849241899455,0.0662567340966394,"Global"
"OL102",0.00131293740170228,0.000911646441916145,3.46247727788499e-05,0.00473787795970087,"Global"
"OL103",0.00263788807561433,0.00221863221786273,0.000322601488399523,0.00724178020621288,"Global"
"OL104",0.00393997461843464,0.00353048172005678,0.000829164169931594,0.0093685197077645,"Global"
"OL13",0.0525835439676545,0.0521826467025575,0.0380862440698568,0.0693574050601861,"Global"
